,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,1,0,1,1,randomForestRegressor,None,None,None,mae,None,None,56,auto,20,19,None,None,None,None,0.6306110648423066,ok,45.20413685985841
1,1,0,1,1,0,1,nnRegressor,relu,None,31.0,None,None,invscaling,None,None,None,None,7.0,None,sgd,None,-1782.4972777596313,ok,46.343902718042955
2,1,0,1,0,1,0,nnRegressor,relu,None,14.0,None,None,invscaling,None,None,None,None,3.0,None,lbfgs,None,-14.419580195443585,ok,47.03130427491851
3,0,1,1,0,1,1,kneighborsRegressor,None,ball_tree,None,None,11.0,None,None,None,None,None,None,9.0,None,uniform,0.43596845917766647,ok,47.08027517795563
4,0,1,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,55,auto,5,6,None,None,None,None,0.47413242940388245,ok,48.38715242687613
5,1,0,1,1,0,1,randomForestRegressor,None,None,None,poisson,None,None,52,auto,8,9,None,None,None,None,-0.0012149841784483417,ok,48.688209323910996
6,1,0,1,0,0,0,nnRegressor,logistic,None,22.0,None,None,invscaling,None,None,None,None,4.0,None,lbfgs,None,-11.69533255179014,ok,48.79729344788939
7,1,1,1,1,0,1,kneighborsRegressor,None,auto,None,None,14.0,None,None,None,None,None,None,7.0,None,uniform,0.3802158444609379,ok,48.82924055191688
8,0,0,1,0,0,1,nnRegressor,identity,None,14.0,None,None,constant,None,None,None,None,6.0,None,lbfgs,None,0.02200501416900913,ok,48.894215751904994
9,0,0,1,1,1,1,nnRegressor,tanh,None,31.0,None,None,invscaling,None,None,None,None,3.0,None,adam,None,-1.278064896909434,ok,50.503360258881
10,1,0,1,0,0,0,kneighborsRegressor,None,brute,None,None,30.0,None,None,None,None,None,None,2.0,None,uniform,0.23575807103140556,ok,50.58446838497184
11,0,0,1,0,1,1,nnRegressor,logistic,None,21.0,None,None,adaptive,None,None,None,None,4.0,None,adam,None,0.372312656352901,ok,52.34597799484618
12,0,1,0,0,1,0,kneighborsRegressor,None,brute,None,None,37.0,None,None,None,None,None,None,3.0,None,distance,0.18662999083102416,ok,52.439204919850454
13,0,1,0,1,0,0,randomForestRegressor,None,None,None,poisson,None,None,33,sqrt,13,35,None,None,None,None,-0.0012149841784483417,ok,52.668521753977984
14,1,1,1,1,1,1,nnRegressor,relu,None,13.0,None,None,constant,None,None,None,None,5.0,None,adam,None,-7.968515427491873,ok,55.6399264219217
15,1,1,1,1,1,0,nnRegressor,logistic,None,13.0,None,None,invscaling,None,None,None,None,6.0,None,lbfgs,None,-6.383149863857429,ok,55.76379746198654
16,1,1,1,1,0,0,kneighborsRegressor,None,kd_tree,None,None,23.0,None,None,None,None,None,None,5.0,None,uniform,0.3519740398292295,ok,55.79436138900928
17,0,1,1,1,1,0,randomForestRegressor,None,None,None,poisson,None,None,94,sqrt,10,3,None,None,None,None,-0.0012149841784483417,ok,56.049303616862744
18,0,1,1,0,0,1,kneighborsRegressor,None,brute,None,None,6.0,None,None,None,None,None,None,3.0,None,distance,-0.48866132822548725,ok,56.14742913492955
19,1,1,0,0,1,1,randomForestRegressor,None,None,None,mae,None,None,66,log2,13,36,None,None,None,None,0.6267150357895512,ok,74.66530524892733
