,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
60,0,0,1,1,1,0,randomForestRegressor,None,None,None,mae,None,None,51.0,sqrt,12.0,31.0,None,None,None,None,0.4367683384629185,ok,241.66558434301987
61,1,1,1,1,1,1,kneighborsRegressor,None,auto,None,None,4,None,None,None,None,None,None,2,None,uniform,0.451627620058761,ok,241.71811257698573
62,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,93.0,sqrt,19.0,21.0,None,None,None,None,0.6383055875268069,ok,242.37858361401595
63,1,0,0,0,0,1,randomForestRegressor,None,None,None,poisson,None,None,2.0,log2,19.0,10.0,None,None,None,None,-0.0001402425186427525,ok,242.6288057260681
64,1,0,1,1,1,1,nnRegressor,relu,None,14.0,None,None,constant,None,None,None,None,3.0,None,lbfgs,None,-1.1783169605486528,ok,242.9498885499779
65,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,96.0,sqrt,17.0,21.0,None,None,None,None,0.6359936690965693,ok,243.62141239410266
66,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,91.0,sqrt,18.0,18.0,None,None,None,None,0.6359105159497846,ok,244.29174317908473
67,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,100.0,sqrt,20.0,14.0,None,None,None,None,0.6361616917695742,ok,244.9473560610786
68,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,83.0,sqrt,16.0,24.0,None,None,None,None,0.6371802579711419,ok,245.62529393215664
69,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,94.0,sqrt,15.0,12.0,None,None,None,None,0.6386764038432784,ok,246.30870390101336
70,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,94.0,sqrt,15.0,11.0,None,None,None,None,0.6386764038432784,ok,246.99310540105216
71,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,97.0,sqrt,15.0,5.0,None,None,None,None,0.6386764038432784,ok,247.67740307399072
72,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,26.0,sqrt,15.0,4.0,None,None,None,None,0.6386764038432784,ok,248.36021728417836
73,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,22.0,log2,15.0,11.0,None,None,None,None,0.6386764038432784,ok,249.04485683096573
74,1,0,1,1,1,1,randomForestRegressor,None,None,None,mae,None,None,14.0,log2,14.0,6.0,None,None,None,None,0.6228454229665228,ok,267.650526690064
75,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,22.0,sqrt,14.0,2.0,None,None,None,None,0.6376700859869544,ok,268.34493220597506
76,1,0,1,1,1,1,kneighborsRegressor,None,kd_tree,None,None,39,None,None,None,None,None,None,6,None,distance,0.5298926459464893,ok,268.38931170711294
77,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,27.0,log2,16.0,5.0,None,None,None,None,0.6371802579711419,ok,269.06956204399467
78,0,0,1,1,1,0,randomForestRegressor,None,None,None,poisson,None,None,6.0,log2,10.0,12.0,None,None,None,None,-0.0001402425186427525,ok,269.3269939001184
79,1,1,0,1,1,1,randomForestRegressor,None,None,None,mse,None,None,44.0,sqrt,11.0,8.0,None,None,None,None,0.6333030268031965,ok,269.9649343590718
80,1,0,1,1,0,1,nnRegressor,tanh,None,19.0,None,None,adaptive,None,None,None,None,7.0,None,sgd,None,-40.108073645389794,ok,279.5182438630145
81,1,0,1,0,1,1,randomForestRegressor,None,None,None,mse,None,None,40.0,sqrt,13.0,5.0,None,None,None,None,0.6352263248573524,ok,280.18783959699795
82,0,0,1,1,1,0,kneighborsRegressor,None,auto,None,None,18,None,None,None,None,None,None,8,None,uniform,0.3964513405054394,ok,280.2402067501098
83,1,1,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,88.0,auto,17.0,8.0,None,None,None,None,0.6467603340151764,ok,281.62054492905736
84,1,1,1,1,0,1,randomForestRegressor,None,None,None,mae,None,None,88.0,auto,17.0,8.0,None,None,None,None,0.5057959531176015,ok,344.0495228730142
85,1,1,0,0,1,1,randomForestRegressor,None,None,None,mse,None,None,64.0,auto,18.0,2.0,None,None,None,None,0.6313682637092917,ok,344.811288802186
86,1,1,1,1,1,1,nnRegressor,identity,None,11.0,None,None,constant,None,None,None,None,6.0,None,lbfgs,None,0.6373187776748459,ok,344.9254746581428
87,0,1,1,1,1,0,randomForestRegressor,None,None,None,poisson,None,None,54.0,auto,14.0,13.0,None,None,None,None,-0.0001402425186427525,ok,345.24096213118173
88,1,1,1,1,1,1,kneighborsRegressor,None,ball_tree,None,None,23,None,None,None,None,None,None,3,None,uniform,0.49678941398717535,ok,345.29849019204266
89,1,1,0,1,0,1,randomForestRegressor,None,None,None,mse,None,None,18.0,log2,17.0,9.0,None,None,None,None,0.48806178554116986,ok,345.9204803421162
90,1,1,1,0,1,1,randomForestRegressor,None,None,None,mse,None,None,8.0,auto,12.0,11.0,None,None,None,None,0.6479339324417908,ok,346.88543809298426
91,0,1,1,0,1,0,nnRegressor,identity,None,16.0,None,None,invscaling,None,None,None,None,9.0,None,adam,None,-1.8322509638998046,ok,348.88274738611653
92,1,1,1,0,1,1,randomForestRegressor,None,None,None,mse,None,None,47.0,auto,9.0,7.0,None,None,None,None,0.6419385921473313,ok,350.13023380213417
93,1,1,1,0,0,1,kneighborsRegressor,None,brute,None,None,2,None,None,None,None,None,None,5,None,distance,0.30743826912049,ok,350.29143036017194
94,1,1,0,0,1,1,randomForestRegressor,None,None,None,mse,None,None,12.0,auto,5.0,15.0,None,None,None,None,0.6320054569105951,ok,351.1431140790228
95,1,1,1,0,1,1,randomForestRegressor,None,None,None,poisson,None,None,2.0,auto,4.0,7.0,None,None,None,None,-0.0001402425186427525,ok,351.4688217351213
96,0,1,1,0,1,0,randomForestRegressor,None,None,None,mae,None,None,31.0,auto,9.0,3.0,None,None,None,None,0.4423755521350151,ok,384.07847919804044
97,1,1,1,0,1,1,nnRegressor,relu,None,22.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,-64.44167445123735,ok,392.37218435504474
98,1,1,0,0,0,1,randomForestRegressor,None,None,None,mse,None,None,47.0,auto,9.0,7.0,None,None,None,None,0.4666959157160616,ok,393.104667854961
99,1,1,1,0,1,1,kneighborsRegressor,None,kd_tree,None,None,10,None,None,None,None,None,None,1,None,uniform,0.2587457833486755,ok,393.15352292801253
