,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,1,0,1,randomForestRegressor,None,None,None,mae,None,None,17,auto,5,13,None,None,None,None,0.46393240615394027,ok,45.27038790285587
1,1,1,1,0,1,1,nnRegressor,logistic,None,9.0,None,None,constant,None,None,None,None,2.0,None,adam,None,0.4838761214408057,ok,49.31056936993264
2,1,0,1,1,1,0,randomForestRegressor,None,None,None,mse,None,None,82,auto,6,36,None,None,None,None,0.6439858825977267,ok,50.58010672079399
3,0,1,1,1,0,1,randomForestRegressor,None,None,None,mse,None,None,29,log2,7,10,None,None,None,None,0.02774107428463246,ok,51.294339761836454
4,1,1,1,1,1,1,nnRegressor,logistic,None,11.0,None,None,constant,None,None,None,None,7.0,None,lbfgs,None,-9.760813864238433,ok,51.42338973795995
5,1,0,1,0,1,0,nnRegressor,tanh,None,11.0,None,None,invscaling,None,None,None,None,6.0,None,adam,None,-2.4161719194706808,ok,54.68125878600404
6,1,0,1,1,1,1,nnRegressor,logistic,None,30.0,None,None,constant,None,None,None,None,4.0,None,lbfgs,None,-2.3228887846437156,ok,54.81983020599
7,0,1,1,0,1,0,nnRegressor,logistic,None,28.0,None,None,adaptive,None,None,None,None,3.0,None,lbfgs,None,-0.2618867389590742,ok,54.95824051788077
8,0,0,0,1,1,0,randomForestRegressor,None,None,None,poisson,None,None,15,sqrt,4,35,None,None,None,None,-0.0023555564933037676,ok,55.20608699088916
9,0,0,1,1,1,0,randomForestRegressor,None,None,None,mae,None,None,85,log2,2,16,None,None,None,None,0.4406788248376525,ok,71.98251666780561
10,0,1,0,1,0,1,nnRegressor,logistic,None,31.0,None,None,constant,None,None,None,None,3.0,None,sgd,None,-0.047410110329188626,ok,73.08436660887673
11,0,1,0,0,1,1,nnRegressor,relu,None,16.0,None,None,invscaling,None,None,None,None,1.0,None,sgd,None,-244.14575495331223,ok,74.86267645284534
12,0,0,0,1,1,1,kneighborsRegressor,None,auto,None,None,28.0,None,None,None,None,None,None,2.0,None,uniform,0.1096049711947562,ok,74.8958630869165
13,0,0,0,1,0,1,nnRegressor,identity,None,29.0,None,None,constant,None,None,None,None,5.0,None,sgd,None,0.016697450299816397,ok,75.83061209786683
14,0,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,94,sqrt,5,27,None,None,None,None,0.46926733743516247,ok,76.49138543079607
15,1,0,0,1,0,1,randomForestRegressor,None,None,None,poisson,None,None,47,sqrt,20,23,None,None,None,None,-0.0023555564933037676,ok,76.7256476660259
16,0,0,1,0,1,1,nnRegressor,logistic,None,25.0,None,None,adaptive,None,None,None,None,5.0,None,lbfgs,None,-5.984493521330907,ok,76.86917718290351
17,1,1,1,0,1,1,kneighborsRegressor,None,brute,None,None,17.0,None,None,None,None,None,None,7.0,None,uniform,0.543508859684582,ok,77.00999859091826
18,0,0,1,1,0,1,nnRegressor,logistic,None,22.0,None,None,constant,None,None,None,None,7.0,None,sgd,None,-1.9865198673211442,ok,78.47894018283114
19,0,1,1,1,1,0,kneighborsRegressor,None,ball_tree,None,None,27.0,None,None,None,None,None,None,4.0,None,uniform,0.35806165136494106,ok,78.5221221218817
20,1,1,1,0,1,0,kneighborsRegressor,None,brute,None,None,5.0,None,None,None,None,None,None,10.0,None,distance,0.498833790212188,ok,78.67394825583324
