,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,1,1,1,0,1,0,kneighborsClassifier,None,auto,None,None,18,None,None,None,None,None,None,2,None,uniform,0.5995115995115995,ok,0.0722729240078479
1,1,1,1,0,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,69.0,sqrt,3.0,23.0,None,None,None,None,0.8021978021978022,ok,1.3735587559640408
2,1,1,0,1,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,2,None,None,None,None,None,None,5,None,distance,0.9108669108669109,ok,1.4171116349752992
3,0,0,0,1,0,0,1,1,kneighborsClassifier,None,ball_tree,None,None,30,None,None,None,None,None,None,8,None,uniform,0.5396825396825397,ok,1.4759509859140962
4,1,1,0,1,0,0,1,1,nnClassifier,relu,None,27.0,None,None,adaptive,None,None,None,None,7.0,None,adam,None,0.5445665445665445,ok,18.24562862003222
5,0,0,0,1,1,1,0,1,nnClassifier,tanh,None,28.0,None,None,invscaling,None,None,None,None,6.0,None,lbfgs,None,0.5470085470085471,ok,23.025590891949832
6,0,0,0,1,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,78.0,auto,16.0,25.0,None,None,None,None,0.7948717948717948,ok,23.858045835979283
7,0,0,1,0,0,0,1,0,nnClassifier,logistic,None,32.0,None,None,adaptive,None,None,None,None,4.0,None,sgd,None,0.6007326007326007,ok,35.60923980292864
8,1,1,0,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,99.0,auto,10.0,24.0,None,None,None,None,0.7155067155067155,ok,36.9093568099197
9,1,0,1,0,1,1,0,1,nnClassifier,relu,None,28.0,None,None,adaptive,None,None,None,None,5.0,None,adam,None,0.5421245421245421,ok,48.7986098669935
10,0,1,0,0,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,55.0,log2,16.0,18.0,None,None,None,None,0.5616605616605617,ok,50.21139415190555
11,1,0,0,0,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,63.0,sqrt,2.0,11.0,None,None,None,None,0.5042735042735043,ok,52.85977701190859
12,0,1,1,0,0,1,0,1,kneighborsClassifier,None,brute,None,None,37,None,None,None,None,None,None,5,None,uniform,0.7619047619047619,ok,53.000079955905676
13,0,1,1,1,1,0,0,0,nnClassifier,relu,None,23.0,None,None,constant,None,None,None,None,3.0,None,lbfgs,None,0.5653235653235653,ok,55.875801938120276
14,0,0,1,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,13,None,None,None,None,None,None,3,None,distance,0.9291819291819292,ok,55.96202289592475
15,0,0,0,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,69.0,log2,6.0,38.0,None,None,None,None,0.9328449328449329,ok,56.939800115069374
16,1,0,1,0,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,14.0,sqrt,13.0,26.0,None,None,None,None,0.7301587301587301,ok,58.57457399601117
17,1,0,0,0,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,62.0,sqrt,7.0,32.0,None,None,None,None,0.7167277167277167,ok,59.618013435043395
18,1,0,1,1,0,1,1,0,nnClassifier,relu,None,8.0,None,None,adaptive,None,None,None,None,6.0,None,sgd,None,0.5506715506715507,ok,99.78282943600789
19,1,1,1,1,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,78.0,log2,16.0,16.0,None,None,None,None,0.7887667887667887,ok,101.05018931394443
20,0,0,1,0,1,1,1,1,kneighborsClassifier,None,brute,None,None,4,None,None,None,None,None,None,2,None,distance,0.9145299145299145,ok,101.13856357010081
21,0,0,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,16,None,None,None,None,None,None,10,None,distance,0.9340659340659341,ok,101.26504686404951
22,0,0,0,0,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,28,None,None,None,None,None,None,10,None,distance,0.9242979242979243,ok,101.31135355704464
23,0,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,11,None,None,None,None,None,None,10,None,distance,0.9340659340659341,ok,101.35943523910828
24,0,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,10,None,None,None,None,None,None,10,None,distance,0.9340659340659341,ok,101.40693875891156
25,0,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,10,None,None,None,None,None,None,8,None,distance,0.9316239316239316,ok,101.4541623510886
26,0,0,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,20,None,None,None,None,None,None,8,None,distance,0.9316239316239316,ok,101.58134387712926
27,0,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,7,None,None,None,None,None,None,10,None,distance,0.9340659340659341,ok,101.63140456704423
28,0,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,6,None,None,None,None,None,None,9,None,distance,0.9340659340659341,ok,101.68176778312773
29,0,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,3,None,None,None,None,None,None,7,None,distance,0.9328449328449329,ok,101.73317147698253
30,0,0,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,8,None,None,None,None,None,None,6,None,distance,0.9328449328449329,ok,101.77812593593262
31,0,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,25,None,None,None,None,None,None,9,None,distance,0.9340659340659341,ok,101.82656011497602
32,0,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,26,None,None,None,None,None,None,9,None,uniform,0.9340659340659341,ok,101.89487161301076
33,0,1,0,0,1,1,0,0,kneighborsClassifier,None,brute,None,None,16,None,None,None,None,None,None,9,None,uniform,0.927960927960928,ok,102.04199116700329
34,0,0,0,1,1,1,1,0,kneighborsClassifier,None,auto,None,None,36,None,None,None,None,None,None,7,None,uniform,0.9352869352869353,ok,102.10730114998296
35,0,0,0,1,1,1,1,0,kneighborsClassifier,None,auto,None,None,39,None,None,None,None,None,None,4,None,uniform,0.9218559218559218,ok,102.1722421569284
36,0,0,0,1,1,1,0,0,kneighborsClassifier,None,auto,None,None,34,None,None,None,None,None,None,6,None,uniform,0.9194139194139194,ok,102.2359163290821
37,0,1,0,1,1,1,1,0,nnClassifier,identity,None,12.0,None,None,constant,None,None,None,None,10.0,None,sgd,None,0.5604395604395604,ok,105.8785219041165
38,0,0,0,1,1,1,1,0,kneighborsClassifier,None,auto,None,None,32,None,None,None,None,None,None,7,None,uniform,0.9352869352869353,ok,106.01535806711763
39,1,0,0,1,0,0,1,0,nnClassifier,tanh,None,16.0,None,None,invscaling,None,None,None,None,1.0,None,adam,None,0.5885225885225885,ok,110.12855068710633
40,0,1,0,1,1,1,0,0,kneighborsClassifier,None,auto,None,None,33,None,None,None,None,None,None,7,None,uniform,0.9194139194139194,ok,110.19480482907966
41,0,0,0,1,0,0,1,0,kneighborsClassifier,None,auto,None,None,40,None,None,None,None,None,None,7,None,uniform,0.5201465201465202,ok,110.25748184206896
42,1,1,0,1,1,1,1,0,nnClassifier,logistic,None,19.0,None,None,invscaling,None,None,None,None,10.0,None,lbfgs,None,0.5494505494505495,ok,114.66090873698704
43,0,0,0,1,0,1,0,1,kneighborsClassifier,None,auto,None,None,33,None,None,None,None,None,None,6,None,uniform,0.7496947496947497,ok,114.7273195469752
44,0,0,1,1,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,1.0,auto,20.0,3.0,None,None,None,None,0.7301587301587301,ok,116.49965596199036
45,0,1,0,1,1,1,1,0,kneighborsClassifier,None,auto,None,None,23,None,None,None,None,None,None,4,None,uniform,0.9291819291819292,ok,116.56925538508222
46,1,0,1,1,0,0,0,1,nnClassifier,identity,None,8.0,None,None,constant,None,None,None,None,8.0,None,sgd,None,0.6056166056166056,ok,124.65845773392357
47,0,0,0,1,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,29.0,log2,20.0,4.0,None,None,None,None,0.9352869352869353,ok,125.9796214690432
48,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,31.0,log2,20.0,6.0,None,None,None,None,0.9365079365079365,ok,127.28909000009298
49,1,1,1,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,34.0,log2,19.0,8.0,None,None,None,None,0.5616605616605617,ok,129.08565283403732
50,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,37.0,log2,12.0,12.0,None,None,None,None,0.938949938949939,ok,130.44787638192065
51,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,38.0,log2,12.0,11.0,None,None,None,None,0.9352869352869353,ok,131.86501647508703
52,1,0,0,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,18.0,log2,9.0,14.0,None,None,None,None,0.5482295482295483,ok,133.8353794659488
53,1,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,44.0,log2,14.0,6.0,None,None,None,None,0.9316239316239316,ok,135.21217581210658
54,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,22.0,log2,18.0,2.0,None,None,None,None,0.9365079365079365,ok,136.57558183395304
55,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,4.0,log2,18.0,11.0,None,None,None,None,0.9072039072039072,ok,137.4972168249078
56,1,0,0,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,48.0,log2,6.0,19.0,None,None,None,None,0.5384615384615384,ok,139.75116187799722
57,1,1,1,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,19.0,auto,14.0,3.0,None,None,None,None,0.9304029304029304,ok,141.19391411007382
58,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,8.0,log2,9.0,14.0,None,None,None,None,0.9401709401709402,ok,142.53046194300987
59,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,7.0,log2,8.0,30.0,None,None,None,None,0.9377289377289377,ok,143.81062408909202
60,1,0,1,1,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,11.0,log2,11.0,14.0,None,None,None,None,0.7264957264957265,ok,145.44988050498068
61,1,0,1,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,24.0,auto,4.0,20.0,None,None,None,None,0.8034188034188035,ok,147.45615260698833
62,1,1,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,40.0,log2,10.0,9.0,None,None,None,None,0.9291819291819292,ok,148.6455850249622
63,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,53.0,sqrt,12.0,15.0,None,None,None,None,0.9352869352869353,ok,150.09584761993028
64,1,0,1,1,1,1,1,1,nnClassifier,identity,None,12.0,None,None,invscaling,None,None,None,None,2.0,None,adam,None,0.5482295482295483,ok,158.38422489003278
65,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,7.0,log2,8.0,29.0,None,None,None,None,0.9340659340659341,ok,159.6657118711155
66,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,2.0,log2,8.0,36.0,None,None,None,None,0.884004884004884,ok,160.30152178392746
67,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,8.0,log2,4.0,32.0,None,None,None,None,0.9365079365079365,ok,161.65844353102148
68,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,25.0,log2,9.0,22.0,None,None,None,None,0.9401709401709402,ok,163.1157683141064
69,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,27.0,log2,10.0,21.0,None,None,None,None,0.9401709401709402,ok,164.19451638497412
70,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,26.0,log2,10.0,23.0,None,None,None,None,0.9438339438339438,ok,165.26366233592853
71,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,25.0,auto,10.0,22.0,None,None,None,None,0.9413919413919414,ok,166.33012889907695
72,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,29.0,auto,11.0,26.0,None,None,None,None,0.9401709401709402,ok,167.39021140499972
73,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,16.0,auto,14.0,26.0,None,None,None,None,0.938949938949939,ok,168.43251214711927
74,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,46.0,auto,10.0,23.0,None,None,None,None,0.9438339438339438,ok,169.5029625641182
75,1,0,1,1,1,1,1,1,nnClassifier,tanh,None,32.0,None,None,constant,None,None,None,None,8.0,None,lbfgs,None,0.5421245421245421,ok,174.8369645071216
76,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,57.0,auto,6.0,24.0,None,None,None,None,0.9413919413919414,ok,175.93541463906877
77,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,59.0,auto,6.0,17.0,None,None,None,None,0.9438339438339438,ok,177.0346251220908
78,1,0,1,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,79.0,auto,5.0,18.0,None,None,None,None,0.5702075702075702,ok,178.4992852411233
79,1,1,1,1,1,1,0,1,nnClassifier,logistic,None,23.0,None,None,constant,None,None,None,None,1.0,None,sgd,None,0.5457875457875457,ok,193.85425394703634
80,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,73.0,auto,3.0,17.0,None,None,None,None,0.9426129426129426,ok,194.9721276939381
81,1,0,1,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,100.0,auto,7.0,29.0,None,None,None,None,0.9413919413919414,ok,195.9982788839843
82,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,65.0,sqrt,7.0,24.0,None,None,None,None,0.9438339438339438,ok,197.08928247191943
83,1,1,1,1,0,0,0,1,nnClassifier,tanh,None,14.0,None,None,invscaling,None,None,None,None,9.0,None,lbfgs,None,0.5482295482295483,ok,202.25949443597347
84,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,87.0,sqrt,7.0,35.0,None,None,None,None,0.9426129426129426,ok,203.3948582969606
85,1,0,1,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,58.0,auto,2.0,28.0,None,None,None,None,0.9401709401709402,ok,204.44239900493994
86,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,65.0,sqrt,5.0,25.0,None,None,None,None,0.9401709401709402,ok,205.5398820170667
87,1,0,1,1,0,0,1,1,nnClassifier,logistic,None,19.0,None,None,adaptive,None,None,None,None,4.0,None,adam,None,0.5995115995115995,ok,213.76192489895038
88,1,1,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,48.0,sqrt,13.0,33.0,None,None,None,None,0.927960927960928,ok,214.83108237409033
89,1,0,1,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,92.0,sqrt,16.0,23.0,None,None,None,None,0.9413919413919414,ok,215.82428333209828
90,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,69.0,sqrt,13.0,27.0,None,None,None,None,0.9401709401709402,ok,216.87530251406133
91,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,61.0,auto,3.0,39.0,None,None,None,None,0.9401709401709402,ok,217.96305061597377
92,1,1,1,1,0,0,0,1,nnClassifier,identity,None,24.0,None,None,adaptive,None,None,None,None,2.0,None,adam,None,0.6056166056166056,ok,219.39853606908582
93,1,0,1,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,44.0,auto,15.0,19.0,None,None,None,None,0.9426129426129426,ok,220.39895176305436
94,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,34.0,auto,11.0,21.0,None,None,None,None,0.9413919413919414,ok,221.46065190411173
95,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,78.0,sqrt,6.0,18.0,None,None,None,None,0.938949938949939,ok,222.55015832791105
96,1,0,1,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,43.0,sqrt,9.0,24.0,None,None,None,None,0.5787545787545788,ok,223.89138695411384
97,1,1,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,53.0,sqrt,12.0,34.0,None,None,None,None,0.9304029304029304,ok,224.9637636949774
98,1,0,1,0,1,1,1,1,nnClassifier,logistic,None,16.0,None,None,constant,None,None,None,None,5.0,None,sgd,None,0.5506715506715507,ok,240.72766465204768
99,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,73.0,sqrt,7.0,13.0,None,None,None,None,0.9401709401709402,ok,241.82750232890248
