,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,1,1,0,1,0,0,kneighborsClassifier,None,kd_tree,None,None,5,None,None,None,None,None,None,6,None,uniform,0.7765567765567766,ok,0.07857690588571131
1,1,1,1,0,1,0,1,1,kneighborsClassifier,None,ball_tree,None,None,34,None,None,None,None,None,None,3,None,distance,0.6874236874236874,ok,0.11447980394586921
2,0,1,0,1,1,0,1,1,nnClassifier,identity,None,13.0,None,None,invscaling,None,None,None,None,1.0,None,sgd,None,0.5421245421245421,ok,11.120165691012517
3,0,1,0,0,1,0,0,1,nnClassifier,identity,None,25.0,None,None,constant,None,None,None,None,9.0,None,sgd,None,0.5555555555555556,ok,12.288878666004166
4,1,0,0,0,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,83.0,auto,11.0,11.0,None,None,None,None,0.5726495726495726,ok,13.4256580111105
5,0,0,1,1,1,1,0,1,nnClassifier,relu,None,18.0,None,None,constant,None,None,None,None,10.0,None,sgd,None,0.5262515262515263,ok,26.133518042974174
6,1,1,1,0,1,0,1,1,nnClassifier,relu,None,17.0,None,None,adaptive,None,None,None,None,5.0,None,lbfgs,None,0.5421245421245421,ok,29.309365649009123
7,1,0,1,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,33,None,None,None,None,None,None,7,None,uniform,0.9255189255189256,ok,29.36667299293913
8,0,0,0,0,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,74.0,auto,4.0,33.0,None,None,None,None,0.8229548229548229,ok,30.268209730042145
9,1,0,0,1,1,0,0,0,kneighborsClassifier,None,ball_tree,None,None,7,None,None,None,None,None,None,8,None,uniform,0.6776556776556777,ok,30.318980207899585
10,0,0,1,1,1,1,1,1,nnClassifier,logistic,None,30.0,None,None,constant,None,None,None,None,9.0,None,lbfgs,None,0.5177045177045178,ok,34.706850552000105
11,1,1,0,0,1,0,1,0,nnClassifier,relu,None,18.0,None,None,invscaling,None,None,None,None,9.0,None,lbfgs,None,0.557997557997558,ok,37.834381548920646
12,0,1,1,0,1,0,0,1,nnClassifier,identity,None,32.0,None,None,constant,None,None,None,None,10.0,None,lbfgs,None,0.5531135531135531,ok,37.93638793192804
13,1,0,0,1,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,6,None,None,None,None,None,None,5,None,uniform,0.9206349206349206,ok,37.99185749096796
14,0,1,0,0,0,0,0,1,kneighborsClassifier,None,brute,None,None,20,None,None,None,None,None,None,4,None,distance,0.5274725274725275,ok,38.11323972209357
