feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,82,auto,19,20,nan,nan,NA,NA,0.5751633986928104,8.530224084854126
0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,53,log2,17,29,nan,nan,NA,NA,0.5947712418300654,16.16267442703247
0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,91,log2,1,18,nan,nan,NA,NA,0.619281045751634,23.81463932991028
1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,nnClassifier,identity,NA,16,NA,nan,constant,nan,NA,nan,nan,4,nan,sgd,NA,0.1454248366013072,35.54595994949341
1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,78,auto,5,4,nan,nan,NA,NA,0.6225490196078431,42.78229355812073
0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,kneighborsClassifier,NA,auto,nan,NA,14,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.553921568627451,48.79431653022766
0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,92,log2,1,12,nan,nan,NA,NA,0.619281045751634,56.27152872085571
1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,7,log2,7,8,nan,nan,NA,NA,0.5392156862745098,62.773465633392334
1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,100,auto,12,15,nan,nan,NA,NA,0.5980392156862745,69.42183232307434
1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,90,sqrt,7,30,nan,nan,NA,NA,0.6094771241830066,76.37881779670715
0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,22,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.565359477124183,82.11129140853882
1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,nnClassifier,tanh,NA,27,NA,nan,constant,nan,NA,nan,nan,8,nan,adam,NA,0.20751633986928106,101.97792291641235
0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,nnClassifier,logistic,NA,8,NA,nan,adaptive,nan,NA,nan,nan,3,nan,sgd,NA,0.16993464052287582,138.13118195533752
0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,87,log2,6,10,nan,nan,NA,NA,0.6045751633986928,144.731130361557
1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,83,sqrt,1,20,nan,nan,NA,NA,0.6143790849673203,153.95189142227173
0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,76,auto,4,19,nan,nan,NA,NA,0.6241830065359477,160.54757261276245
1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.5620915032679739,165.87340807914734
0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,85,sqrt,1,15,nan,nan,NA,NA,0.6143790849673203,173.73528409004211
1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,93,sqrt,1,26,nan,nan,NA,NA,0.5996732026143791,180.0282497406006
0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,94,log2,5,9,nan,nan,NA,NA,0.6062091503267973,187.62542366981506
0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,55,auto,2,16,nan,nan,NA,NA,0.6127450980392157,196.39962005615234
1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,8,sqrt,3,29,nan,nan,NA,NA,0.5555555555555556,204.41276693344116
0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,kneighborsClassifier,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.5800653594771242,210.69039177894592
0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,39,sqrt,5,14,nan,nan,NA,NA,0.6160130718954249,218.73899173736572
0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,27,sqrt,3,5,nan,nan,NA,NA,0.6290849673202614,225.61831974983215
1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,30,log2,1,6,nan,nan,NA,NA,0.6225490196078431,234.56276607513428
1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,kneighborsClassifier,NA,auto,nan,NA,30,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.5588235294117647,240.293842792511
0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,22,log2,8,20,nan,nan,NA,NA,0.6078431372549019,247.36452460289001
1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,19,log2,1,6,nan,nan,NA,NA,0.619281045751634,255.90175485610962
1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,15,log2,4,10,nan,nan,NA,NA,0.6176470588235294,263.787150144577
1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,13,auto,7,28,nan,nan,NA,NA,0.5915032679738562,272.2360107898712
1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,13,auto,4,36,nan,nan,NA,NA,0.5996732026143791,280.2344648838043
0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,11,auto,10,2,nan,nan,NA,NA,0.6094771241830066,286.52868390083313
