activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,29,mse,1,0,0,1,1,0,6,adaptive,94,sqrt,3,3,randomForestRegressor,8,6,lbfgs,uniform,0.5989303984863903
tanh,brute,16,poisson,1,1,0,1,1,1,32,constant,63,log2,13,24,nnRegressor,7,2,sgd,uniform,-53.01556398998573
tanh,brute,23,mse,0,1,0,0,0,1,34,constant,14,log2,15,15,nnRegressor,8,10,adam,distance,-21.72134273155183
relu,ball_tree,22,mse,0,1,1,0,0,1,26,adaptive,38,log2,20,5,nnRegressor,6,9,lbfgs,distance,-9.116881274853402
logistic,brute,27,poisson,0,1,1,1,0,0,18,adaptive,53,auto,5,37,randomForestRegressor,7,3,sgd,uniform,-0.002737806644207641
identity,auto,28,poisson,1,1,1,0,1,1,11,invscaling,8,auto,13,2,nnRegressor,4,7,adam,distance,-6.237879600947645
identity,kd_tree,21,poisson,0,0,0,0,0,1,10,constant,63,auto,5,15,kneighborsRegressor,1,7,sgd,uniform,-0.11908223629748194
logistic,ball_tree,16,mse,1,1,1,1,1,0,25,adaptive,12,auto,9,29,kneighborsRegressor,6,9,adam,distance,0.5250035586675759
logistic,auto,28,poisson,0,1,0,1,0,1,13,invscaling,37,auto,10,17,nnRegressor,4,9,sgd,distance,-1.6974102734244636
identity,kd_tree,12,mae,0,1,1,0,0,1,34,constant,71,sqrt,19,29,nnRegressor,6,4,sgd,uniform,0.0076837976570265365
relu,brute,13,mae,1,0,0,1,0,1,22,adaptive,76,log2,7,10,nnRegressor,6,2,sgd,distance,-33.379075339139604
tanh,auto,13,mae,1,0,1,0,0,0,13,constant,100,log2,16,34,randomForestRegressor,1,9,lbfgs,uniform,0.5029437508464276
identity,auto,20,poisson,0,1,1,1,1,1,17,adaptive,95,log2,3,12,nnRegressor,9,10,sgd,distance,0.44214018380789033
relu,auto,20,mae,0,0,0,0,0,1,18,constant,47,log2,3,19,nnRegressor,10,3,sgd,distance,-0.4720357063941334
relu,kd_tree,25,mse,1,0,1,0,0,0,24,constant,100,log2,10,30,kneighborsRegressor,2,2,lbfgs,uniform,0.26521002983756703
tanh,kd_tree,30,mae,0,1,1,0,1,1,29,invscaling,34,sqrt,15,35,kneighborsRegressor,4,4,sgd,uniform,0.35822993027604244
identity,auto,31,poisson,0,0,0,1,1,0,20,invscaling,29,log2,5,26,nnRegressor,9,3,lbfgs,distance,0.3699416024996779
relu,ball_tree,10,mae,1,1,0,0,1,0,8,invscaling,98,log2,7,28,nnRegressor,6,8,adam,distance,-0.15448013249436365
tanh,kd_tree,15,poisson,0,0,0,0,0,0,13,adaptive,99,auto,16,36,randomForestRegressor,2,2,sgd,uniform,0.0
identity,ball_tree,26,mae,1,1,0,1,0,1,40,constant,17,log2,15,27,nnRegressor,5,7,lbfgs,uniform,0.4486878915549053
logistic,brute,29,mse,1,0,0,1,1,0,6,adaptive,94,sqrt,3,3,randomForestRegressor,8,6,lbfgs,uniform,0.5989303984863903
logistic,ball_tree,16,mse,1,1,1,1,1,0,25,adaptive,12,auto,9,29,kneighborsRegressor,6,9,adam,distance,0.5250035586675759
tanh,auto,13,mae,1,0,1,0,0,0,13,constant,100,log2,16,34,randomForestRegressor,1,9,lbfgs,uniform,0.5029437508464276
identity,ball_tree,26,mae,1,1,0,1,0,1,40,constant,17,log2,15,27,nnRegressor,5,7,lbfgs,uniform,0.4486878915549053
identity,auto,20,poisson,0,1,1,1,1,1,17,adaptive,95,log2,3,12,nnRegressor,9,10,sgd,distance,0.44214018380789033
identity,auto,31,poisson,0,0,0,1,1,0,20,invscaling,29,log2,5,26,nnRegressor,9,3,lbfgs,distance,0.3699416024996779
tanh,kd_tree,30,mae,0,1,1,0,1,1,29,invscaling,34,sqrt,15,35,kneighborsRegressor,4,4,sgd,uniform,0.35822993027604244
relu,kd_tree,25,mse,1,0,1,0,0,0,24,constant,100,log2,10,30,kneighborsRegressor,2,2,lbfgs,uniform,0.26521002983756703
identity,kd_tree,12,mae,0,1,1,0,0,1,34,constant,71,sqrt,19,29,nnRegressor,6,4,sgd,uniform,0.0076837976570265365
tanh,kd_tree,15,poisson,0,0,0,0,0,0,13,adaptive,99,auto,16,36,randomForestRegressor,2,2,sgd,uniform,0.0
logistic,auto,29,mse,1,0,0,1,1,0,25,adaptive,15,auto,9,29,kneighborsRegressor,6,9,adam,distance,0.4927046155147914
logistic,ball_tree,16,mse,1,1,1,1,1,0,13,constant,100,auto,16,34,randomForestRegressor,1,9,lbfgs,uniform,0.6457091908720467
tanh,auto,13,mae,1,0,1,0,0,1,40,constant,17,log2,15,27,nnRegressor,5,7,lbfgs,uniform,-2.530882874463287
identity,ball_tree,26,mae,1,1,0,1,0,1,17,adaptive,95,log2,3,12,nnRegressor,9,10,sgd,distance,0.4498157813601713
identity,auto,20,poisson,0,1,1,1,1,0,20,invscaling,29,log2,5,26,nnRegressor,9,3,lbfgs,distance,0.4245844658780368
identity,auto,31,poisson,0,0,0,1,1,1,29,invscaling,34,sqrt,15,35,kneighborsRegressor,4,4,sgd,uniform,0.2745120198814147
tanh,kd_tree,30,mae,0,1,1,0,1,0,24,constant,100,log2,10,30,kneighborsRegressor,2,2,lbfgs,uniform,0.20253927281925954
relu,kd_tree,25,mse,1,0,1,0,0,1,34,constant,71,sqrt,19,29,nnRegressor,6,4,sgd,uniform,-52.15379643098324
identity,kd_tree,12,mae,0,1,1,0,0,0,13,adaptive,99,auto,16,36,randomForestRegressor,2,2,sgd,uniform,-0.003158219646006266
tanh,kd_tree,15,poisson,0,0,0,0,0,0,6,adaptive,94,sqrt,3,3,randomForestRegressor,8,6,lbfgs,uniform,0.0
logistic,ball_tree,16,mse,1,1,1,1,1,0,13,constant,100,auto,16,34,randomForestRegressor,1,9,lbfgs,uniform,0.6457091908720467
logistic,brute,29,mse,1,0,0,1,1,0,6,adaptive,94,sqrt,3,3,randomForestRegressor,8,6,lbfgs,uniform,0.5989303984863903
logistic,ball_tree,16,mse,1,1,1,1,1,0,25,adaptive,12,auto,9,29,kneighborsRegressor,6,9,adam,distance,0.5250035586675759
tanh,auto,13,mae,1,0,1,0,0,0,13,constant,100,log2,16,34,randomForestRegressor,1,9,lbfgs,uniform,0.5029437508464276
logistic,auto,29,mse,1,0,0,1,1,0,25,adaptive,15,auto,9,29,kneighborsRegressor,6,9,adam,distance,0.4927046155147914
identity,ball_tree,26,mae,1,1,0,1,0,1,17,adaptive,95,log2,3,12,nnRegressor,9,10,sgd,distance,0.4498157813601713
identity,ball_tree,26,mae,1,1,0,1,0,1,40,constant,17,log2,15,27,nnRegressor,5,7,lbfgs,uniform,0.4486878915549053
identity,auto,20,poisson,0,1,1,1,1,1,17,adaptive,95,log2,3,12,nnRegressor,9,10,sgd,distance,0.44214018380789033
identity,auto,20,poisson,0,1,1,1,1,0,20,invscaling,29,log2,5,26,nnRegressor,9,3,lbfgs,distance,0.4245844658780368
identity,auto,31,poisson,0,0,0,1,1,0,20,invscaling,29,log2,5,26,nnRegressor,9,3,lbfgs,distance,0.3699416024996779
logistic,ball_tree,16,mse,1,1,1,1,1,0,6,adaptive,93,sqrt,3,3,randomForestRegressor,8,6,lbfgs,uniform,0.645483373355682
logistic,brute,29,mse,1,0,0,1,1,0,25,adaptive,12,auto,9,29,kneighborsRegressor,6,9,adam,distance,0.4935411229252129
logistic,ball_tree,16,mse,1,1,1,1,1,0,13,constant,100,log2,16,34,randomForestRegressor,9,9,lbfgs,uniform,0.6451971979790732
tanh,auto,13,mae,1,0,1,0,0,0,25,adaptive,15,auto,9,29,randomForestRegressor,6,9,adam,distance,0.500751583353723
logistic,auto,29,mse,1,0,0,0,1,1,17,adaptive,95,log2,3,12,nnRegressor,9,10,sgd,distance,-0.5344812862918498
identity,ball_tree,26,mae,1,1,0,1,0,1,40,constant,17,log2,15,27,nnRegressor,5,7,sgd,uniform,0.4477098854765733
identity,ball_tree,26,mae,1,1,0,1,0,1,17,adaptive,95,log2,3,12,nnRegressor,9,10,lbfgs,distance,0.4497844583406426
identity,auto,20,poisson,0,0,1,1,1,0,20,invscaling,29,log2,5,26,nnRegressor,9,3,lbfgs,distance,0.3916759542300984
identity,auto,20,poisson,0,1,1,1,1,0,20,invscaling,29,log2,5,26,nnRegressor,9,3,lbfgs,distance,0.4245844658780368
identity,auto,31,poisson,0,0,0,1,1,1,13,constant,100,auto,16,34,randomForestRegressor,1,9,lbfgs,uniform,-0.002737806644207641
logistic,ball_tree,16,mse,1,1,1,1,1,0,13,constant,100,auto,16,34,randomForestRegressor,1,9,lbfgs,uniform,0.6457091908720467
logistic,ball_tree,16,mse,1,1,1,1,1,0,6,adaptive,93,sqrt,3,3,randomForestRegressor,8,6,lbfgs,uniform,0.645483373355682
logistic,ball_tree,16,mse,1,1,1,1,1,0,13,constant,100,log2,16,34,randomForestRegressor,9,9,lbfgs,uniform,0.6451971979790732
logistic,brute,29,mse,1,0,0,1,1,0,6,adaptive,94,sqrt,3,3,randomForestRegressor,8,6,lbfgs,uniform,0.5989303984863903
logistic,ball_tree,16,mse,1,1,1,1,1,0,25,adaptive,12,auto,9,29,kneighborsRegressor,6,9,adam,distance,0.5250035586675759
tanh,auto,13,mae,1,0,1,0,0,0,13,constant,100,log2,16,34,randomForestRegressor,1,9,lbfgs,uniform,0.5029437508464276
tanh,auto,13,mae,1,0,1,0,0,0,25,adaptive,15,auto,9,29,randomForestRegressor,6,9,adam,distance,0.500751583353723
logistic,brute,29,mse,1,0,0,1,1,0,25,adaptive,12,auto,9,29,kneighborsRegressor,6,9,adam,distance,0.4935411229252129
logistic,auto,29,mse,1,0,0,1,1,0,25,adaptive,15,auto,9,29,kneighborsRegressor,6,9,adam,distance,0.4927046155147914
identity,ball_tree,26,mae,1,1,0,1,0,1,17,adaptive,95,log2,3,12,nnRegressor,9,10,sgd,distance,0.4498157813601713
logistic,auto,16,mse,1,1,1,1,1,0,6,adaptive,93,sqrt,3,3,randomForestRegressor,8,6,lbfgs,uniform,0.645483373355682
logistic,ball_tree,17,mse,1,1,1,1,1,0,13,constant,100,log2,16,34,randomForestRegressor,9,9,lbfgs,uniform,0.6451971979790732
logistic,ball_tree,16,mse,1,1,1,1,1,0,6,adaptive,94,sqrt,3,3,randomForestRegressor,7,6,lbfgs,uniform,0.645483373355682
logistic,brute,29,mse,1,0,0,1,1,0,25,adaptive,12,auto,9,27,kneighborsRegressor,6,9,adam,distance,0.4935411229252129
logistic,ball_tree,16,mse,1,1,1,1,1,0,13,constant,100,log2,16,34,randomForestRegressor,1,9,sgd,uniform,0.6451971979790732
tanh,auto,13,mae,1,0,1,0,0,0,25,adaptive,15,auto,9,29,randomForestRegressor,6,9,adam,distance,0.500751583353723
tanh,auto,13,mae,1,0,1,0,0,0,25,adaptive,12,auto,9,29,kneighborsRegressor,6,9,adam,distance,0.3140980052287441
logistic,brute,29,mse,1,0,0,1,1,0,25,adaptive,15,auto,9,29,kneighborsRegressor,6,9,adam,distance,0.4935411229252129
logistic,auto,29,mse,1,0,0,1,1,1,17,adaptive,95,log2,3,14,nnRegressor,1,10,sgd,distance,-0.16268393341549858
identity,ball_tree,26,mae,1,1,0,1,0,0,13,constant,100,auto,16,34,randomForestRegressor,1,9,lbfgs,uniform,0.4769330421340502
logistic,ball_tree,16,mse,1,1,1,1,1,0,13,constant,100,auto,16,34,randomForestRegressor,1,9,lbfgs,uniform,0.6457091908720467
logistic,ball_tree,16,mse,1,1,1,1,1,0,6,adaptive,93,sqrt,3,3,randomForestRegressor,8,6,lbfgs,uniform,0.645483373355682
logistic,auto,16,mse,1,1,1,1,1,0,6,adaptive,93,sqrt,3,3,randomForestRegressor,8,6,lbfgs,uniform,0.645483373355682
logistic,ball_tree,16,mse,1,1,1,1,1,0,6,adaptive,94,sqrt,3,3,randomForestRegressor,7,6,lbfgs,uniform,0.645483373355682
logistic,ball_tree,16,mse,1,1,1,1,1,0,13,constant,100,log2,16,34,randomForestRegressor,9,9,lbfgs,uniform,0.6451971979790732
logistic,ball_tree,17,mse,1,1,1,1,1,0,13,constant,100,log2,16,34,randomForestRegressor,9,9,lbfgs,uniform,0.6451971979790732
logistic,ball_tree,16,mse,1,1,1,1,1,0,13,constant,100,log2,16,34,randomForestRegressor,1,9,sgd,uniform,0.6451971979790732
logistic,brute,29,mse,1,0,0,1,1,0,6,adaptive,94,sqrt,3,3,randomForestRegressor,8,6,lbfgs,uniform,0.5989303984863903
logistic,ball_tree,16,mse,1,1,1,1,1,0,25,adaptive,12,auto,9,29,kneighborsRegressor,6,9,adam,distance,0.5250035586675759
tanh,auto,13,mae,1,0,1,0,0,0,13,constant,100,log2,16,34,randomForestRegressor,1,9,lbfgs,uniform,0.5029437508464276
logistic,ball_tree,16,mse,1,1,1,0,1,0,6,adaptive,93,sqrt,3,3,randomForestRegressor,8,6,lbfgs,uniform,0.6469063760401419
logistic,ball_tree,16,mse,1,1,1,1,1,0,6,adaptive,93,sqrt,3,3,randomForestRegressor,8,6,lbfgs,uniform,0.645483373355682
logistic,auto,16,mse,1,1,1,1,1,0,6,adaptive,15,sqrt,3,3,randomForestRegressor,7,9,lbfgs,uniform,0.64985780819847
logistic,ball_tree,16,mse,1,1,1,1,1,0,13,constant,100,log2,16,34,randomForestRegressor,9,9,lbfgs,uniform,0.6451971979790732
logistic,ball_tree,16,mse,1,1,1,1,1,0,13,constant,100,log2,17,34,randomForestRegressor,9,9,lbfgs,uniform,0.6475339664157567
logistic,ball_tree,17,mse,1,1,1,1,1,0,13,constant,100,log2,16,40,randomForestRegressor,1,9,sgd,uniform,0.6462301447081611
logistic,ball_tree,13,mse,1,1,1,1,1,0,6,adaptive,94,sqrt,3,3,randomForestRegressor,6,6,lbfgs,uniform,0.645483373355682
logistic,brute,29,mse,1,0,1,1,0,0,25,adaptive,12,auto,9,29,kneighborsRegressor,6,9,adam,distance,0.43576400460133335
logistic,ball_tree,16,mse,1,1,1,1,1,0,13,constant,100,log2,16,34,randomForestRegressor,1,9,sgd,uniform,0.6451971979790732
tanh,auto,13,mae,1,0,1,0,0,0,13,constant,76,auto,16,34,randomForestRegressor,1,9,lbfgs,uniform,0.5051258408096774
