activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,21,mae,1,1,0,1,1,1,3,constant,73,log2,4,32,randomForestRegressor,9,7,lbfgs,distance,0.613731135644318
identity,auto,32,mae,1,1,1,1,1,0,3,invscaling,78,auto,13,28,nnRegressor,6,1,lbfgs,distance,0.6276830049163955
logistic,kd_tree,8,mse,0,1,0,1,0,1,10,adaptive,91,auto,2,21,randomForestRegressor,2,2,lbfgs,uniform,-0.0312302000851159
identity,auto,12,mse,0,1,1,1,1,0,7,adaptive,63,log2,6,24,randomForestRegressor,1,6,sgd,distance,0.47702511947875736
identity,brute,9,mae,1,1,0,0,1,1,38,invscaling,80,log2,20,32,randomForestRegressor,7,6,sgd,distance,0.6029984298306661
identity,ball_tree,20,mae,0,0,0,1,0,1,40,constant,12,auto,2,27,randomForestRegressor,1,7,lbfgs,distance,-0.02817462301337037
logistic,kd_tree,12,mse,0,1,1,0,0,0,4,constant,43,log2,9,27,randomForestRegressor,9,2,adam,distance,0.005149741514102746
tanh,brute,32,mse,0,1,1,1,0,1,31,invscaling,88,auto,6,28,nnRegressor,6,1,sgd,distance,-803.7206199894483
logistic,kd_tree,16,poisson,1,0,1,1,0,1,35,constant,65,sqrt,7,35,kneighborsRegressor,10,9,lbfgs,distance,0.40911094708486806
identity,kd_tree,29,mae,0,0,0,1,1,1,38,invscaling,52,auto,3,26,nnRegressor,5,1,lbfgs,uniform,0.4045593769067526
relu,ball_tree,18,poisson,0,1,1,1,0,0,29,invscaling,51,auto,7,23,kneighborsRegressor,3,4,lbfgs,uniform,-0.15226588843265132
identity,auto,12,poisson,0,0,0,1,0,0,2,invscaling,79,sqrt,13,33,nnRegressor,5,3,sgd,distance,0.023458723463692488
logistic,auto,18,mae,1,0,0,1,1,1,28,constant,43,log2,11,3,nnRegressor,3,8,adam,uniform,0.5371554398952709
tanh,kd_tree,17,mae,0,1,0,1,1,1,7,adaptive,96,log2,6,39,kneighborsRegressor,1,1,adam,uniform,-0.08834080526810384
logistic,brute,10,poisson,1,0,1,1,0,1,33,invscaling,39,auto,9,27,nnRegressor,3,10,sgd,uniform,-2.159657099802458
logistic,auto,28,poisson,1,1,1,1,0,1,29,constant,57,auto,14,3,randomForestRegressor,4,2,lbfgs,distance,-0.0018799228913897181
tanh,ball_tree,12,mse,1,1,0,0,0,1,19,constant,15,sqrt,20,27,randomForestRegressor,2,3,adam,uniform,0.45687301002795444
relu,kd_tree,24,poisson,1,1,0,1,0,1,17,constant,98,auto,20,22,randomForestRegressor,9,2,adam,distance,-0.0018799228913897181
identity,auto,16,mae,0,0,0,0,0,1,29,invscaling,88,log2,12,31,nnRegressor,4,6,lbfgs,distance,0.0040520222934301575
logistic,ball_tree,21,mse,1,0,1,1,1,0,6,adaptive,15,log2,15,29,nnRegressor,2,5,adam,distance,0.49566505486115775
identity,auto,32,mae,1,1,1,1,1,0,3,invscaling,78,auto,13,28,nnRegressor,6,1,lbfgs,distance,0.6276830049163955
logistic,kd_tree,21,mae,1,1,0,1,1,1,3,constant,73,log2,4,32,randomForestRegressor,9,7,lbfgs,distance,0.613731135644318
identity,brute,9,mae,1,1,0,0,1,1,38,invscaling,80,log2,20,32,randomForestRegressor,7,6,sgd,distance,0.6029984298306661
logistic,auto,18,mae,1,0,0,1,1,1,28,constant,43,log2,11,3,nnRegressor,3,8,adam,uniform,0.5371554398952709
logistic,ball_tree,21,mse,1,0,1,1,1,0,6,adaptive,15,log2,15,29,nnRegressor,2,5,adam,distance,0.49566505486115775
identity,auto,12,mse,0,1,1,1,1,0,7,adaptive,63,log2,6,24,randomForestRegressor,1,6,sgd,distance,0.47702511947875736
tanh,ball_tree,12,mse,1,1,0,0,0,1,19,constant,15,sqrt,20,27,randomForestRegressor,2,3,adam,uniform,0.45687301002795444
logistic,kd_tree,16,poisson,1,0,1,1,0,1,35,constant,65,sqrt,7,35,kneighborsRegressor,10,9,lbfgs,distance,0.40911094708486806
identity,kd_tree,29,mae,0,0,0,1,1,1,38,invscaling,52,auto,3,26,nnRegressor,5,1,lbfgs,uniform,0.4045593769067526
identity,auto,12,poisson,0,0,0,1,0,0,2,invscaling,79,sqrt,13,33,nnRegressor,5,3,sgd,distance,0.023458723463692488
identity,auto,32,mae,1,1,1,1,1,1,3,constant,73,log2,4,32,randomForestRegressor,9,7,lbfgs,distance,0.6298162190356457
