activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,21,entropy,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,27,invscaling,96,log2,3,39,kneighborsClassifier,4,2,sgd,distance,0.847985347985348
tanh,kd_tree,30,entropy,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,6,constant,14,sqrt,20,36,nnClassifier,2,7,sgd,uniform,0.31135531135531136
relu,kd_tree,23,entropy,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,15,invscaling,66,auto,19,4,kneighborsClassifier,7,2,adam,distance,0.9084249084249084
identity,ball_tree,22,gini,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,26,adaptive,74,log2,6,14,nnClassifier,1,5,adam,uniform,0.15384615384615385
identity,auto,23,gini,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,20,adaptive,1,sqrt,7,30,kneighborsClassifier,7,6,sgd,distance,0.8644688644688645
relu,ball_tree,9,gini,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,34,constant,91,auto,19,14,randomForestClassifier,6,6,adam,uniform,0.9194139194139194
logistic,brute,15,entropy,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,32,invscaling,35,auto,17,29,randomForestClassifier,5,4,adam,uniform,0.9633699633699634
tanh,ball_tree,16,entropy,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,18,invscaling,81,auto,16,40,kneighborsClassifier,4,6,sgd,uniform,0.8168498168498168
identity,brute,11,entropy,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,33,invscaling,8,log2,11,19,randomForestClassifier,2,6,adam,distance,0.9652014652014652
relu,brute,14,gini,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,5,adaptive,8,log2,16,33,randomForestClassifier,6,9,lbfgs,distance,0.9377289377289377
tanh,ball_tree,25,entropy,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,26,invscaling,82,auto,7,9,kneighborsClassifier,4,5,sgd,uniform,0.8608058608058609
identity,ball_tree,14,entropy,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,5,constant,81,log2,11,11,kneighborsClassifier,5,6,adam,uniform,0.8076923076923077
logistic,auto,8,gini,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,20,adaptive,40,sqrt,14,4,randomForestClassifier,2,7,lbfgs,uniform,0.9615384615384616
identity,kd_tree,14,entropy,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,17,adaptive,80,sqrt,13,8,randomForestClassifier,6,9,adam,uniform,0.9743589743589743
logistic,kd_tree,25,entropy,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,6,adaptive,69,sqrt,19,9,kneighborsClassifier,10,2,adam,distance,0.8901098901098901
identity,auto,12,entropy,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,8,constant,55,sqrt,7,28,nnClassifier,1,2,adam,distance,0.18315018315018314
logistic,brute,31,entropy,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,26,adaptive,56,auto,17,38,kneighborsClassifier,2,5,adam,uniform,0.8882783882783882
