activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,30,entropy,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,8,invscaling,37,log2,15,3,nnClassifier,8,10,lbfgs,distance,0.16666666666666666
identity,kd_tree,26,entropy,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,15,adaptive,31,auto,19,4,randomForestClassifier,4,4,adam,distance,0.9761904761904762
logistic,brute,12,entropy,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,31,adaptive,15,log2,17,14,kneighborsClassifier,10,3,sgd,uniform,0.8772893772893773
relu,ball_tree,18,entropy,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,3,invscaling,30,auto,10,19,kneighborsClassifier,5,2,adam,distance,0.8846153846153846
tanh,auto,16,entropy,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,38,invscaling,3,log2,4,28,kneighborsClassifier,5,8,sgd,uniform,0.8644688644688645
identity,auto,15,entropy,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,23,invscaling,86,auto,4,35,kneighborsClassifier,6,3,sgd,distance,0.86996336996337
logistic,auto,30,gini,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,29,adaptive,97,log2,20,12,nnClassifier,9,7,sgd,distance,0.23443223443223443
identity,brute,15,entropy,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,invscaling,44,log2,10,30,randomForestClassifier,7,6,sgd,distance,0.9413919413919414
tanh,auto,13,gini,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,24,adaptive,32,log2,16,19,randomForestClassifier,8,2,lbfgs,uniform,0.9175824175824175
identity,auto,23,entropy,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,2,constant,44,auto,14,17,nnClassifier,7,6,lbfgs,uniform,0.25824175824175827
tanh,ball_tree,25,entropy,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,19,invscaling,99,sqrt,2,38,randomForestClassifier,8,3,sgd,uniform,0.9743589743589743
identity,kd_tree,31,gini,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,24,constant,73,sqrt,17,20,randomForestClassifier,2,9,lbfgs,uniform,0.8827838827838828
identity,auto,23,entropy,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,4,invscaling,87,auto,16,20,kneighborsClassifier,6,8,adam,distance,0.8608058608058609
relu,brute,23,gini,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,39,invscaling,83,sqrt,7,16,randomForestClassifier,4,4,adam,uniform,0.9871794871794872
tanh,kd_tree,30,gini,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,5,adaptive,29,sqrt,8,5,randomForestClassifier,9,6,adam,uniform,0.9835164835164835
tanh,brute,20,gini,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,29,adaptive,47,auto,12,30,nnClassifier,2,7,sgd,distance,0.3663003663003663
identity,auto,16,gini,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,9,constant,80,sqrt,5,30,nnClassifier,5,3,adam,uniform,0.27106227106227104
tanh,auto,20,gini,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,14,constant,21,auto,15,32,nnClassifier,6,2,sgd,uniform,0.3443223443223443
relu,kd_tree,16,entropy,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,30,invscaling,87,log2,5,39,randomForestClassifier,4,7,adam,distance,0.8754578754578755
relu,ball_tree,26,entropy,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,22,constant,64,auto,20,8,randomForestClassifier,1,10,lbfgs,distance,0.847985347985348
relu,brute,23,gini,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,39,invscaling,83,sqrt,7,16,randomForestClassifier,4,4,adam,uniform,0.9871794871794872
tanh,kd_tree,30,gini,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,5,adaptive,29,sqrt,8,5,randomForestClassifier,9,6,adam,uniform,0.9835164835164835
identity,kd_tree,26,entropy,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,15,adaptive,31,auto,19,4,randomForestClassifier,4,4,adam,distance,0.9761904761904762
tanh,ball_tree,25,entropy,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,19,invscaling,99,sqrt,2,38,randomForestClassifier,8,3,sgd,uniform,0.9743589743589743
identity,brute,15,entropy,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,invscaling,44,log2,10,30,randomForestClassifier,7,6,sgd,distance,0.9413919413919414
tanh,auto,13,gini,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,24,adaptive,32,log2,16,19,randomForestClassifier,8,2,lbfgs,uniform,0.9175824175824175
relu,ball_tree,18,entropy,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,3,invscaling,30,auto,10,19,kneighborsClassifier,5,2,adam,distance,0.8846153846153846
identity,kd_tree,31,gini,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,24,constant,73,sqrt,17,20,randomForestClassifier,2,9,lbfgs,uniform,0.8827838827838828
logistic,brute,12,entropy,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,31,adaptive,15,log2,17,14,kneighborsClassifier,10,3,sgd,uniform,0.8772893772893773
relu,kd_tree,16,entropy,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,30,invscaling,87,log2,5,39,randomForestClassifier,4,7,adam,distance,0.8754578754578755
