activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,22,gini,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,36,adaptive,100,log2,19,17,kneighborsClassifier,3,8,lbfgs,distance,0.8516483516483516
relu,kd_tree,26,gini,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,15,adaptive,82,auto,20,12,kneighborsClassifier,8,3,lbfgs,uniform,0.8772893772893773
identity,kd_tree,13,gini,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,33,invscaling,10,log2,8,5,kneighborsClassifier,1,5,adam,uniform,0.8644688644688645
tanh,auto,12,entropy,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,39,adaptive,100,sqrt,14,35,nnClassifier,10,8,sgd,uniform,0.3241758241758242
tanh,ball_tree,28,entropy,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,21,constant,72,log2,12,11,kneighborsClassifier,7,9,sgd,uniform,0.8021978021978022
identity,ball_tree,21,gini,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,26,invscaling,83,sqrt,10,2,kneighborsClassifier,2,9,sgd,uniform,0.8589743589743589
logistic,ball_tree,22,entropy,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,17,invscaling,46,log2,7,12,kneighborsClassifier,3,3,lbfgs,distance,0.8424908424908425
identity,auto,19,entropy,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,25,invscaling,66,log2,16,7,nnClassifier,7,4,adam,distance,0.27106227106227104
tanh,ball_tree,9,gini,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,11,adaptive,49,auto,20,29,randomForestClassifier,1,10,sgd,uniform,0.9304029304029304
identity,auto,29,gini,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,38,adaptive,28,auto,2,10,kneighborsClassifier,5,6,lbfgs,uniform,0.793040293040293
logistic,kd_tree,23,gini,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,30,invscaling,23,auto,15,22,kneighborsClassifier,9,5,lbfgs,uniform,0.836996336996337
logistic,ball_tree,22,entropy,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,17,adaptive,3,auto,8,38,kneighborsClassifier,8,5,lbfgs,uniform,0.8754578754578755
tanh,kd_tree,27,entropy,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,32,invscaling,31,auto,20,7,nnClassifier,6,4,lbfgs,distance,0.30036630036630035
logistic,auto,14,gini,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,18,constant,6,log2,20,19,nnClassifier,3,10,lbfgs,distance,0.315018315018315
relu,auto,8,entropy,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,8,adam,uniform,0.967032967032967
logistic,ball_tree,12,gini,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,29,invscaling,59,log2,4,13,randomForestClassifier,10,3,sgd,distance,0.9560439560439561
tanh,ball_tree,31,entropy,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,11,constant,28,log2,12,10,nnClassifier,5,7,adam,uniform,0.31135531135531136
identity,kd_tree,21,entropy,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,10,constant,19,sqrt,18,37,kneighborsClassifier,9,3,lbfgs,distance,0.8589743589743589
logistic,kd_tree,17,gini,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,20,invscaling,63,sqrt,19,5,kneighborsClassifier,6,4,sgd,distance,0.8901098901098901
relu,ball_tree,8,gini,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,22,adaptive,75,sqrt,15,37,kneighborsClassifier,4,2,adam,uniform,0.8095238095238095
relu,auto,8,entropy,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,8,adam,uniform,0.967032967032967
logistic,ball_tree,12,gini,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,29,invscaling,59,log2,4,13,randomForestClassifier,10,3,sgd,distance,0.9560439560439561
tanh,ball_tree,9,gini,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,11,adaptive,49,auto,20,29,randomForestClassifier,1,10,sgd,uniform,0.9304029304029304
logistic,kd_tree,17,gini,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,20,invscaling,63,sqrt,19,5,kneighborsClassifier,6,4,sgd,distance,0.8901098901098901
relu,kd_tree,26,gini,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,15,adaptive,82,auto,20,12,kneighborsClassifier,8,3,lbfgs,uniform,0.8772893772893773
logistic,ball_tree,22,entropy,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,17,adaptive,3,auto,8,38,kneighborsClassifier,8,5,lbfgs,uniform,0.8754578754578755
identity,kd_tree,13,gini,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,33,invscaling,10,log2,8,5,kneighborsClassifier,1,5,adam,uniform,0.8644688644688645
identity,ball_tree,21,gini,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,26,invscaling,83,sqrt,10,2,kneighborsClassifier,2,9,sgd,uniform,0.8589743589743589
identity,kd_tree,21,entropy,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,10,constant,19,sqrt,18,37,kneighborsClassifier,9,3,lbfgs,distance,0.8589743589743589
logistic,kd_tree,22,gini,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,36,adaptive,100,log2,19,17,kneighborsClassifier,3,8,lbfgs,distance,0.8516483516483516
relu,auto,8,entropy,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,29,adaptive,59,log2,4,13,randomForestClassifier,10,3,sgd,distance,0.9468864468864469
logistic,ball_tree,12,gini,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,11,adaptive,49,auto,20,29,randomForestClassifier,1,10,sgd,uniform,0.9084249084249084
tanh,kd_tree,9,gini,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,20,invscaling,63,sqrt,19,5,kneighborsClassifier,6,4,sgd,distance,0.8772893772893773
logistic,kd_tree,17,gini,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,15,adaptive,82,auto,20,12,kneighborsClassifier,8,3,lbfgs,uniform,0.9029304029304029
relu,ball_tree,26,gini,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,17,adaptive,3,auto,8,38,kneighborsClassifier,8,5,lbfgs,uniform,0.8663003663003663
logistic,ball_tree,22,entropy,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,19,invscaling,10,log2,8,5,kneighborsClassifier,1,5,adam,uniform,0.8772893772893773
identity,kd_tree,13,gini,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,26,invscaling,83,sqrt,10,2,kneighborsClassifier,2,9,sgd,uniform,0.8095238095238095
identity,ball_tree,21,gini,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,10,constant,19,sqrt,18,37,kneighborsClassifier,9,3,lbfgs,distance,0.9175824175824175
identity,kd_tree,21,entropy,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,36,adaptive,100,log2,19,17,kneighborsClassifier,3,8,adam,distance,0.826007326007326
logistic,kd_tree,22,gini,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,2,adam,uniform,0.9743589743589743
logistic,kd_tree,22,gini,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,2,adam,uniform,0.9743589743589743
relu,auto,8,entropy,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,8,adam,uniform,0.967032967032967
logistic,ball_tree,12,gini,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,29,invscaling,59,log2,4,13,randomForestClassifier,10,3,sgd,distance,0.9560439560439561
relu,auto,8,entropy,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,29,adaptive,59,log2,4,13,randomForestClassifier,10,3,sgd,distance,0.9468864468864469
tanh,ball_tree,9,gini,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,11,adaptive,49,auto,20,29,randomForestClassifier,1,10,sgd,uniform,0.9304029304029304
identity,ball_tree,21,gini,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,10,constant,19,sqrt,18,37,kneighborsClassifier,9,3,lbfgs,distance,0.9175824175824175
logistic,ball_tree,12,gini,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,11,adaptive,49,auto,20,29,randomForestClassifier,1,10,sgd,uniform,0.9084249084249084
logistic,kd_tree,17,gini,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,15,adaptive,82,auto,20,12,kneighborsClassifier,8,3,lbfgs,uniform,0.9029304029304029
logistic,kd_tree,17,gini,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,20,invscaling,63,sqrt,19,5,kneighborsClassifier,6,4,sgd,distance,0.8901098901098901
relu,kd_tree,26,gini,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,15,adaptive,82,auto,20,12,kneighborsClassifier,8,3,lbfgs,uniform,0.8772893772893773
logistic,kd_tree,22,gini,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,15,adaptive,94,sqrt,7,4,randomForestClassifier,1,8,lbfgs,uniform,0.9706959706959707
relu,auto,8,entropy,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,25,invscaling,59,log2,4,13,randomForestClassifier,10,2,sgd,distance,0.9597069597069597
logistic,ball_tree,12,gini,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,25,adaptive,59,log2,4,13,randomForestClassifier,10,3,sgd,distance,0.9560439560439561
relu,auto,8,entropy,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,11,adaptive,49,auto,20,29,randomForestClassifier,1,5,sgd,uniform,0.8974358974358975
tanh,ball_tree,9,gini,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,16,constant,19,sqrt,18,37,kneighborsClassifier,9,3,lbfgs,distance,0.891941391941392
relu,ball_tree,21,gini,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,11,adaptive,89,auto,20,29,randomForestClassifier,1,10,sgd,uniform,0.9358974358974359
logistic,ball_tree,12,gini,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,15,adaptive,82,auto,20,12,kneighborsClassifier,8,3,lbfgs,uniform,0.8974358974358975
logistic,kd_tree,17,gini,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,20,constant,63,sqrt,19,10,kneighborsClassifier,6,4,sgd,distance,0.8974358974358975
logistic,kd_tree,17,gini,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,15,adaptive,82,auto,20,12,kneighborsClassifier,8,3,adam,uniform,0.9029304029304029
relu,kd_tree,26,gini,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,10,2,lbfgs,uniform,0.9761904761904762
relu,kd_tree,26,gini,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,10,2,lbfgs,uniform,0.9761904761904762
logistic,kd_tree,22,gini,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,2,adam,uniform,0.9743589743589743
logistic,kd_tree,22,gini,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,15,adaptive,94,sqrt,7,4,randomForestClassifier,1,8,lbfgs,uniform,0.9706959706959707
relu,auto,8,entropy,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,8,adam,uniform,0.967032967032967
relu,auto,8,entropy,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,25,invscaling,59,log2,4,13,randomForestClassifier,10,2,sgd,distance,0.9597069597069597
logistic,ball_tree,12,gini,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,29,invscaling,59,log2,4,13,randomForestClassifier,10,3,sgd,distance,0.9560439560439561
logistic,ball_tree,12,gini,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,25,adaptive,59,log2,4,13,randomForestClassifier,10,3,sgd,distance,0.9560439560439561
relu,auto,8,entropy,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,29,adaptive,59,log2,4,13,randomForestClassifier,10,3,sgd,distance,0.9468864468864469
relu,ball_tree,21,gini,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,11,adaptive,89,auto,20,29,randomForestClassifier,1,10,sgd,uniform,0.9358974358974359
tanh,ball_tree,9,gini,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,11,adaptive,49,auto,20,29,randomForestClassifier,1,10,sgd,uniform,0.9304029304029304
relu,kd_tree,26,gini,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,2,adam,uniform,0.978021978021978
identity,kd_tree,22,gini,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,15,adaptive,94,sqrt,7,4,randomForestClassifier,1,8,lbfgs,uniform,0.9743589743589743
logistic,kd_tree,22,gini,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,8,adam,uniform,0.9725274725274725
relu,auto,8,entropy,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,25,invscaling,59,log2,4,13,randomForestClassifier,9,2,sgd,distance,0.9597069597069597
relu,auto,8,entropy,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,29,invscaling,59,log2,4,13,randomForestClassifier,10,9,sgd,distance,0.9377289377289377
logistic,ball_tree,12,gini,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,25,adaptive,59,log2,4,13,randomForestClassifier,10,3,sgd,distance,0.9560439560439561
logistic,ball_tree,12,gini,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,29,invscaling,59,log2,4,13,randomForestClassifier,10,3,sgd,distance,0.9560439560439561
relu,auto,8,entropy,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,11,adaptive,89,auto,20,29,randomForestClassifier,1,10,sgd,uniform,0.9047619047619048
relu,ball_tree,21,gini,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,28,adaptive,49,auto,20,29,randomForestClassifier,1,10,sgd,uniform,0.9853479853479854
tanh,ball_tree,9,gini,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,10,2,lbfgs,uniform,0.9652014652014652
relu,ball_tree,21,gini,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,28,adaptive,49,auto,20,29,randomForestClassifier,1,10,sgd,uniform,0.9853479853479854
relu,kd_tree,26,gini,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,2,adam,uniform,0.978021978021978
relu,kd_tree,26,gini,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,10,2,lbfgs,uniform,0.9761904761904762
logistic,kd_tree,22,gini,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,2,adam,uniform,0.9743589743589743
identity,kd_tree,22,gini,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,15,adaptive,94,sqrt,7,4,randomForestClassifier,1,8,lbfgs,uniform,0.9743589743589743
logistic,kd_tree,22,gini,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,8,adam,uniform,0.9725274725274725
logistic,kd_tree,22,gini,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,15,adaptive,94,sqrt,7,4,randomForestClassifier,1,8,lbfgs,uniform,0.9706959706959707
relu,auto,8,entropy,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,8,adam,uniform,0.967032967032967
tanh,ball_tree,9,gini,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,10,2,lbfgs,uniform,0.9652014652014652
relu,auto,8,entropy,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,25,invscaling,59,log2,4,13,randomForestClassifier,10,2,sgd,distance,0.9597069597069597
relu,ball_tree,21,gini,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,2,adam,uniform,0.9853479853479854
relu,kd_tree,26,gini,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,10,2,lbfgs,uniform,0.9761904761904762
relu,kd_tree,26,gini,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,2,adam,uniform,0.9761904761904762
logistic,kd_tree,22,gini,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,15,adaptive,94,sqrt,7,4,randomForestClassifier,1,8,lbfgs,uniform,0.9743589743589743
identity,kd_tree,22,gini,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,5,8,adam,uniform,0.9706959706959707
logistic,kd_tree,22,gini,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,15,adaptive,94,sqrt,7,4,randomForestClassifier,1,8,lbfgs,uniform,0.9725274725274725
logistic,kd_tree,22,gini,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,2,invscaling,94,sqrt,7,4,randomForestClassifier,5,8,adam,uniform,0.9706959706959707
logistic,auto,8,gini,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,15,invscaling,94,sqrt,7,4,randomForestClassifier,10,2,lbfgs,uniform,0.9468864468864469
tanh,ball_tree,9,gini,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,25,invscaling,59,log2,4,13,randomForestClassifier,10,2,sgd,distance,0.9761904761904762
relu,auto,8,entropy,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,28,adaptive,49,auto,20,29,randomForestClassifier,1,10,sgd,uniform,0.9560439560439561
