activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,32,entropy,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,26,invscaling,78,sqrt,9,23,randomForestClassifier,10,8,lbfgs,uniform,0.9084249084249084
identity,kd_tree,31,gini,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,29,constant,10,sqrt,12,29,randomForestClassifier,5,6,sgd,distance,0.9432234432234432
tanh,ball_tree,32,gini,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,7,adaptive,62,log2,15,16,randomForestClassifier,7,5,sgd,uniform,0.9395604395604396
logistic,kd_tree,32,entropy,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,9,adaptive,33,auto,2,23,randomForestClassifier,1,6,sgd,distance,0.9377289377289377
logistic,ball_tree,11,gini,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,16,constant,64,log2,13,40,kneighborsClassifier,1,4,lbfgs,uniform,0.8809523809523809
tanh,auto,16,gini,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,9,adaptive,59,log2,15,20,randomForestClassifier,2,5,lbfgs,distance,0.8901098901098901
logistic,auto,8,gini,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,3,constant,69,sqrt,10,4,randomForestClassifier,2,5,sgd,distance,0.8974358974358975
logistic,auto,20,gini,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,30,invscaling,41,log2,17,15,randomForestClassifier,1,7,adam,distance,0.8791208791208791
logistic,ball_tree,12,entropy,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,9,constant,28,auto,10,15,kneighborsClassifier,7,7,sgd,uniform,0.815018315018315
tanh,kd_tree,17,gini,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,17,constant,98,log2,7,37,kneighborsClassifier,6,9,lbfgs,distance,0.8681318681318682
tanh,auto,8,entropy,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,34,adaptive,87,sqrt,4,4,randomForestClassifier,6,8,lbfgs,uniform,0.9358974358974359
