activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,16,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,75,auto,13,22,nnRegressor,3,10,adam,distance,0.47781891874962557,445.36102473689243
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,64,auto,20,16,nnRegressor,4,10,adam,distance,0.5145175039806789,445.3610893059522
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,52,auto,20,20,nnRegressor,3,10,adam,distance,0.5614153999116287,445.3611532158684
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,34,auto,20,18,nnRegressor,1,10,adam,distance,0.558472213229652,445.3612170149572
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,12,auto,15,20,nnRegressor,3,10,adam,distance,0.4458942823911243,445.36128026386723
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,25,auto,20,19,nnRegressor,3,10,adam,distance,0.5320329380813358,445.361343564
relu,auto,16,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,18,auto,13,26,nnRegressor,4,10,adam,distance,0.5192381419786054,445.3614067030139
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,79,auto,16,21,nnRegressor,2,9,adam,distance,0.42840952107388275,445.3614699130412
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,15,auto,19,22,nnRegressor,2,10,adam,distance,0.536217623815551,445.3615332720801
relu,auto,13,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,78,auto,11,20,nnRegressor,3,10,adam,distance,0.46168038798600297,445.36159708094783
relu,auto,16,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,69,auto,20,18,nnRegressor,2,9,adam,distance,0.5143016041151096,445.36166054103523
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,39,auto,20,18,nnRegressor,3,10,adam,distance,0.4888005291259011,445.36173477000557
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,57,auto,17,18,nnRegressor,5,10,adam,distance,0.5343680541579482,445.3617984498851
relu,auto,15,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,81,auto,20,23,nnRegressor,3,10,adam,distance,0.5554708535954909,445.36186174908653
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,51,auto,20,30,nnRegressor,1,10,adam,distance,0.5482229012284354,445.3619248778559
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,70,auto,20,31,nnRegressor,6,10,adam,distance,0.4971643485260263,445.3619881479535
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,14,auto,10,12,nnRegressor,2,8,adam,distance,0.5419705544964539,445.36205127695575
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,12,auto,18,18,nnRegressor,4,10,adam,distance,0.5364436297238249,597.3024486259092
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,40,auto,17,19,nnRegressor,1,10,adam,distance,0.5398280276898535,597.3025342249312
relu,auto,16,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,23,auto,14,19,nnRegressor,4,10,adam,distance,0.5308348873349005,597.3026009239256
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,71,auto,16,22,nnRegressor,3,10,adam,distance,0.5633589366556878,597.3026659239549
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,60,auto,20,20,nnRegressor,3,10,adam,distance,0.5364436297238249,597.3027504729107
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,48,auto,16,20,nnRegressor,3,10,adam,distance,0.5545077689294791,597.302816262003
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,30,auto,20,22,nnRegressor,1,10,adam,distance,0.5410902205990309,597.3028819819447
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,14,auto,15,19,nnRegressor,1,10,adam,distance,0.5692808757668849,597.3029468508903
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,21,auto,16,20,nnRegressor,3,10,adam,distance,0.546246929770307,597.30301186
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,14,auto,15,22,nnRegressor,2,10,adam,distance,0.5404993009724482,597.3030777098611
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,75,auto,17,21,nnRegressor,2,10,adam,distance,0.5308348873349005,597.3031438288745
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,11,auto,16,20,nnRegressor,4,9,adam,distance,0.5308348873349005,597.3032087888569
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,74,auto,15,18,nnRegressor,2,10,adam,distance,0.5669970711770655,597.3032738380134
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,65,auto,16,22,nnRegressor,2,10,adam,distance,0.565431639037825,597.3033385470044
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,40,auto,18,17,nnRegressor,3,10,adam,distance,0.5545077689294791,597.3034031370189
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,53,auto,13,17,nnRegressor,4,10,adam,distance,0.4969441477876757,597.3034677659161
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,77,auto,19,19,nnRegressor,3,10,adam,distance,0.5588561202435348,597.303532416001
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,47,auto,18,26,nnRegressor,1,10,adam,distance,0.5299726924572474,597.3035965149757
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,66,auto,16,27,nnRegressor,5,10,adam,distance,0.49484708442628533,597.303661173908
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,10,auto,13,15,nnRegressor,4,9,adam,distance,0.54071335889634,597.3037374140695
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,16,auto,18,18,nnRegressor,4,10,adam,distance,0.5486198518744109,735.4782473919913
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,44,auto,16,21,nnRegressor,4,6,adam,distance,0.5299726924572474,735.4783314720262
relu,auto,14,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,27,auto,14,18,nnRegressor,2,10,adam,distance,0.5404993009724482,735.478397611063
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,67,auto,16,21,nnRegressor,3,10,adam,distance,0.5545077689294791,735.4784633300733
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,56,auto,16,22,nnRegressor,3,10,adam,distance,0.5643626092703509,735.478527589934
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,46,auto,14,20,nnRegressor,3,10,adam,distance,0.5704695456304046,735.4785919189453
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,30,auto,16,21,nnRegressor,5,9,adam,distance,0.4930497257718979,735.478655989049
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,18,auto,16,20,nnRegressor,5,10,adam,distance,0.554166538164778,735.4787341279443
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,25,auto,14,20,nnRegressor,3,10,adam,distance,0.5643626092703509,735.4787986769807
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,12,auto,17,18,nnRegressor,2,10,adam,distance,0.5517257155786885,735.4788624970242
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,71,auto,16,20,nnRegressor,4,10,adam,distance,0.5161877732231401,735.4789267559536
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,15,auto,15,19,nnRegressor,5,10,adam,distance,0.5501889281415788,735.4789908060338
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,70,auto,16,18,nnRegressor,3,10,adam,distance,0.5308348873349005,735.4790547150187
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,61,auto,20,21,nnRegressor,4,10,adam,distance,0.5517257155786885,735.4791190740652
