activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,19,mae,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,7,invscaling,87,log2,11,11,kneighborsRegressor,2,8,sgd,distance,0.04680744929661951,616.1875041499734
relu,auto,22,mae,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,13,invscaling,44,log2,7,18,nnRegressor,3,6,adam,distance,0.06798981453215369,616.1875848188065
relu,auto,14,mae,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,29,invscaling,11,log2,12,19,nnRegressor,7,9,sgd,distance,-0.07454198411540292,616.1876514279284
relu,auto,27,mae,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,10,constant,21,auto,10,18,nnRegressor,2,5,sgd,distance,0.13282668871603553,616.1877171068918
relu,auto,20,mae,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,13,invscaling,86,log2,6,19,kneighborsRegressor,3,8,sgd,distance,0.43277608669828205,616.1877820859663
relu,auto,28,mae,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,21,constant,17,log2,14,33,nnRegressor,5,8,sgd,distance,0.2485697168832034,616.1878473558463
relu,auto,18,mse,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,24,invscaling,46,log2,6,8,randomForestRegressor,2,8,adam,distance,0.09625082490245351,616.187912074849
relu,auto,13,mae,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,29,invscaling,33,sqrt,10,8,randomForestRegressor,3,6,sgd,distance,0.1492030029150906,616.1879767139908
relu,auto,20,mse,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,17,constant,84,log2,6,9,randomForestRegressor,3,6,adam,distance,0.37879917193040946,616.1880412928294
relu,auto,20,mae,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,35,invscaling,38,auto,6,10,nnRegressor,3,9,sgd,distance,0.025611666618632012,616.1881053929683
relu,auto,27,mae,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,16,constant,14,log2,14,8,randomForestRegressor,3,8,adam,distance,0.03653880305795476,616.1881695019547
relu,auto,21,mse,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,11,constant,30,auto,13,21,nnRegressor,4,6,sgd,distance,0.049071593327026264,616.1882444508374
relu,auto,17,mae,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,11,constant,36,auto,10,6,nnRegressor,3,8,adam,distance,0.13680919771826783,616.1883085698355
relu,auto,17,mse,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,10,invscaling,54,auto,10,29,nnRegressor,2,8,adam,distance,0.31025104790140856,616.1883729489055
relu,auto,19,mae,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,14,constant,40,auto,7,32,randomForestRegressor,5,8,adam,distance,0.18516106844972502,616.1884369589388
relu,auto,21,mse,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,36,constant,30,auto,13,15,randomForestRegressor,3,7,sgd,distance,0.29695257579471734,616.1885015778244
relu,auto,22,mse,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,35,invscaling,79,sqrt,8,13,kneighborsRegressor,3,6,adam,distance,-0.20474146093088663,616.1885660570115
relu,auto,22,mae,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,16,invscaling,52,auto,16,20,kneighborsRegressor,3,8,adam,distance,0.22715513514930474,616.1886310658883
relu,auto,20,mae,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,17,constant,59,sqrt,12,7,nnRegressor,3,8,sgd,distance,0.4064133892742584,616.1886954959482
relu,auto,14,mse,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,13,constant,13,log2,6,31,nnRegressor,4,1,sgd,distance,0.03364900312652097,616.188759334851
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,83,auto,8,7,nnRegressor,2,8,adam,distance,0.42299882294795166,1689.3590847000014
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,40,auto,11,14,nnRegressor,3,6,adam,distance,0.49746761687485663,1689.3591647190042
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,15,auto,12,15,nnRegressor,3,5,adam,distance,-0.9849718544082207,1689.3592428290285
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,25,auto,8,14,nnRegressor,2,9,adam,distance,0.3053907229125402,1689.3593080979772
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,82,auto,10,15,nnRegressor,3,8,adam,distance,0.43277608669828205,1689.3593730668072
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,21,auto,10,29,nnRegressor,3,8,adam,distance,0.4194767937319338,1689.3594378358684
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,42,auto,10,8,nnRegressor,1,8,adam,distance,0.4479237392700246,1689.3595022459049
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,37,auto,8,6,nnRegressor,4,9,adam,distance,0.4055151151577927,1689.3595660848077
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,80,auto,9,6,nnRegressor,1,9,adam,distance,0.4441786566743261,1689.3596297639888
relu,auto,16,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,36,auto,10,6,nnRegressor,7,7,adam,distance,-0.060847106186368016,1689.3596931230277
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,18,auto,10,6,nnRegressor,3,9,adam,distance,0.37323760945301476,1689.3597575628664
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,34,auto,9,17,nnRegressor,4,10,adam,distance,0.41194900671441725,1689.3598211319186
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,38,auto,8,8,nnRegressor,1,10,adam,distance,0.500649025289051,1689.3598847808316
