activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,auto,19,mse,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,invscaling,42,auto,7,16,kneighborsRegressor,1,10,sgd,distance,0.32182073176178627,593.3664585060906
logistic,auto,31,mse,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,9,invscaling,51,auto,11,32,kneighborsRegressor,5,9,sgd,uniform,0.18039908675814642,593.366554853972
relu,auto,27,mse,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,14,invscaling,93,log2,11,26,nnRegressor,4,5,sgd,uniform,-0.8889626925268206,593.3666247229557
tanh,auto,12,mse,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,20,invscaling,38,sqrt,14,7,kneighborsRegressor,3,10,sgd,uniform,-0.12375843977353518,593.366693212185
relu,auto,28,mse,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,9,invscaling,77,auto,8,7,randomForestRegressor,1,9,sgd,uniform,0.1760742556253505,593.3667652700096
relu,auto,15,mse,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,25,invscaling,42,sqrt,13,28,randomForestRegressor,2,10,sgd,uniform,0.29463332891612626,593.3668322891463
relu,auto,23,mse,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,invscaling,76,sqrt,8,17,randomForestRegressor,3,9,sgd,uniform,0.09305546737102244,593.3668992579915
tanh,auto,13,mse,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,26,invscaling,55,log2,4,33,randomForestRegressor,1,9,adam,distance,0.0278329600135947,593.3669662561733
logistic,auto,28,mse,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,13,constant,17,auto,14,16,randomForestRegressor,5,3,sgd,uniform,0.12126306679393506,593.3670336650684
logistic,auto,20,mse,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,26,invscaling,79,sqrt,19,23,nnRegressor,6,10,sgd,uniform,-0.04845228928412082,593.3671002641786
