activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,ball_tree,24,mse,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,34,constant,6,auto,9,25,randomForestRegressor,4,4,adam,distance,0.003162507683986182,105.72283519804478
identity,ball_tree,14,mse,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,34,adaptive,14,auto,17,39,randomForestRegressor,5,1,lbfgs,uniform,0.4985092771114954,105.72292040707543
relu,auto,14,mse,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,33,constant,38,auto,14,6,randomForestRegressor,4,2,adam,uniform,0.4199713286443918,105.72298577614129
identity,ball_tree,12,mse,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,25,constant,20,auto,19,37,randomForestRegressor,10,4,sgd,distance,-0.32533068785356334,105.723050205037
identity,ball_tree,28,mse,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,13,constant,95,auto,13,6,randomForestRegressor,5,2,sgd,uniform,0.059503747424932585,105.72311491402797
identity,ball_tree,22,mse,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,35,invscaling,5,auto,7,34,randomForestRegressor,4,6,sgd,distance,0.09155115961457738,105.72317922418006
relu,ball_tree,27,mse,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,14,invscaling,14,auto,7,15,randomForestRegressor,10,5,adam,distance,0.4903720012835606,105.72324396297336
relu,ball_tree,18,mse,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,33,invscaling,25,auto,11,30,randomForestRegressor,4,5,lbfgs,distance,0.0019905582221362295,105.72330792201683
relu,auto,14,mse,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,8,constant,6,auto,16,26,randomForestRegressor,4,5,adam,uniform,0.3045399079927774,105.72337272111326
relu,ball_tree,16,mse,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,25,constant,14,auto,17,6,nnRegressor,5,5,sgd,distance,0.0009978340478496994,105.72343649016693
identity,ball_tree,20,mse,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,11,constant,42,auto,15,16,randomForestRegressor,5,6,adam,distance,0.2095573764692521,105.7234998291824
tanh,auto,15,mse,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,invscaling,5,auto,15,8,randomForestRegressor,5,3,lbfgs,uniform,0.11167032870923954,105.7235625879839
relu,ball_tree,12,mse,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,20,invscaling,82,auto,16,13,nnRegressor,3,1,adam,distance,0.47364824946776485,105.72362633701414
relu,auto,14,mse,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,23,constant,69,auto,17,10,randomForestRegressor,4,1,sgd,uniform,-0.23520090874269273,105.72368968720548
relu,ball_tree,15,mse,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,15,adaptive,14,auto,3,15,nnRegressor,4,1,lbfgs,uniform,-0.07819799616390943,105.72376693598926
tanh,ball_tree,25,mse,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,9,constant,65,auto,7,32,randomForestRegressor,5,6,sgd,uniform,0.062429623622934916,105.72383017512038
