activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
logistic,auto,16,mse,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,22,invscaling,64,sqrt,19,30,randomForestRegressor,4,8,adam,distance,-0.005549714222682356,464.69781830511056
logistic,auto,29,mse,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,35,invscaling,20,log2,20,21,randomForestRegressor,4,1,adam,distance,0.42344822266396576,464.6979012840893
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,37,invscaling,71,sqrt,20,34,randomForestRegressor,5,1,adam,distance,-0.2659600853246409,464.69796696305275
relu,auto,29,mse,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,16,constant,20,auto,20,7,randomForestRegressor,4,6,adam,distance,0.11539153448157025,464.6980314429384
logistic,auto,23,mse,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,19,constant,87,log2,20,27,nnRegressor,4,6,adam,distance,0.21226073604960805,464.6980958520435
logistic,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,23,invscaling,6,log2,7,28,randomForestRegressor,7,1,adam,distance,0.17251204073797977,464.69816012098454
logistic,auto,24,mse,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,26,constant,55,auto,20,36,randomForestRegressor,5,3,adam,distance,0.043548999497945995,464.698224009946
logistic,auto,29,mse,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,27,invscaling,21,log2,14,24,randomForestRegressor,5,1,adam,distance,-0.26994647251486414,464.69828788004816
identity,auto,14,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,28,constant,35,sqrt,8,36,nnRegressor,4,3,adam,distance,0.04333279506750343,464.69835129915737
relu,auto,13,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,21,invscaling,38,auto,15,21,randomForestRegressor,5,1,adam,distance,-0.5035710403756402,464.69841521815397
