activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,12,mse,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,28,constant,82,auto,10,30,nnRegressor,6,5,sgd,distance,0.23366539771805828,895.8496130697895
logistic,auto,25,mse,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,15,invscaling,83,log2,17,34,nnRegressor,6,3,sgd,distance,0.3686146766861442,895.8496951188426
identity,auto,14,mse,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,12,invscaling,29,log2,19,8,nnRegressor,7,3,lbfgs,uniform,-0.013386672522885723,895.8497608879115
relu,auto,24,mse,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,15,invscaling,23,auto,13,9,nnRegressor,6,1,adam,distance,-0.9607627745447322,895.8498259969056
identity,auto,19,mse,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,26,invscaling,30,log2,6,9,nnRegressor,6,3,lbfgs,uniform,0.024257815491728563,895.8498900057748
identity,auto,25,mse,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,19,invscaling,87,auto,15,6,nnRegressor,7,3,adam,uniform,0.03457595065616592,895.849954524776
logistic,auto,22,mse,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,18,invscaling,83,log2,19,31,nnRegressor,5,1,lbfgs,uniform,0.18698869047967337,895.8500186938327
logistic,auto,22,mse,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,8,invscaling,75,sqrt,18,10,nnRegressor,6,1,lbfgs,distance,-0.7151307073923363,895.8500825529918
logistic,auto,25,mse,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,24,invscaling,98,log2,20,9,nnRegressor,6,1,lbfgs,uniform,0.48531771543687896,895.8501558618154
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,23,invscaling,35,auto,8,18,nnRegressor,5,6,lbfgs,uniform,0.015189420739227577,895.8502201708034
tanh,auto,25,mse,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,30,invscaling,63,auto,19,27,nnRegressor,6,3,lbfgs,distance,0.17077769677371002,895.8502837989945
logistic,auto,15,mse,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,13,constant,70,log2,10,9,nnRegressor,4,2,sgd,distance,0.05218864014099345,895.8503479578067
tanh,auto,18,mse,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,15,invscaling,84,auto,11,26,nnRegressor,5,8,sgd,uniform,0.2124459104417612,895.8504116369877
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,23,invscaling,61,auto,14,8,nnRegressor,5,1,adam,distance,0.25799489318030344,895.8504753359593
logistic,auto,17,mse,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,6,invscaling,65,log2,6,9,nnRegressor,7,1,lbfgs,uniform,-0.18688354755774483,895.8505391648505
tanh,auto,26,mse,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,31,constant,98,log2,18,33,nnRegressor,2,5,sgd,distance,0.03563087484912275,895.8506032538135
tanh,auto,16,mse,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,24,constant,75,sqrt,13,23,nnRegressor,6,2,sgd,distance,0.0655971692014824,895.8506667129695
logistic,auto,27,mse,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,24,invscaling,65,sqrt,8,19,nnRegressor,6,6,lbfgs,distance,0.01140538299377658,895.8507307618856
logistic,auto,24,mse,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,13,constant,87,log2,20,13,nnRegressor,6,6,adam,distance,0.24460292737249523,895.8507941609714
tanh,auto,23,mse,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,36,invscaling,46,auto,13,22,nnRegressor,8,1,adam,distance,0.16192670523709285,895.8508581898641
relu,auto,16,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,78,auto,14,26,nnRegressor,7,1,adam,distance,0.3298435275430798,981.7113556668628
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,79,auto,13,30,nnRegressor,10,1,adam,distance,0.03857005631011723,981.7114373648074
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,33,auto,16,12,nnRegressor,7,1,adam,distance,0.46842827317877,981.7115036039613
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,27,auto,15,13,nnRegressor,7,1,adam,distance,0.3547118859630918,981.7115687129553
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,34,auto,10,13,nnRegressor,6,1,adam,distance,0.467637382120878,981.7116326519754
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,83,auto,14,10,nnRegressor,8,1,adam,distance,0.452845873869687,981.7116971409414
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,79,auto,15,27,nnRegressor,6,1,adam,distance,0.47959701841982005,981.7117614299059
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,71,auto,20,12,nnRegressor,7,1,adam,distance,0.4793622821353857,981.7118253989611
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,94,auto,16,13,nnRegressor,9,1,adam,distance,0.48531771543687896,981.711889307946
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,39,auto,12,18,nnRegressor,9,2,adam,distance,0.40080723156458253,981.7119530769996
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,59,auto,19,23,nnRegressor,8,1,adam,distance,0.41120557710855776,981.7120169859845
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,66,auto,8,13,nnRegressor,8,1,adam,distance,0.046642731671958315,981.7120803948492
