activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,24,gini,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,3,adaptive,95,log2,7,39,kneighborsClassifier,8,2,lbfgs,uniform,0.5445665445665445
identity,brute,31,gini,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,12,constant,51,sqrt,11,13,nnClassifier,10,5,lbfgs,uniform,0.4822954822954823
tanh,brute,8,entropy,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,20,constant,24,auto,13,23,kneighborsClassifier,2,2,adam,distance,0.536019536019536
relu,ball_tree,16,entropy,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,36,invscaling,5,auto,2,10,kneighborsClassifier,4,8,sgd,uniform,0.5177045177045178
tanh,ball_tree,21,entropy,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,35,invscaling,35,log2,12,22,randomForestClassifier,2,3,lbfgs,uniform,0.4908424908424908
identity,kd_tree,25,gini,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,18,invscaling,48,log2,20,7,nnClassifier,2,2,sgd,distance,0.43956043956043955
logistic,auto,9,entropy,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,25,invscaling,26,log2,14,22,nnClassifier,5,7,sgd,uniform,0.5079365079365079
relu,brute,29,entropy,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,37,constant,46,log2,20,27,randomForestClassifier,3,7,lbfgs,distance,0.8815628815628815
tanh,ball_tree,30,entropy,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,2,constant,63,auto,9,40,kneighborsClassifier,5,3,adam,uniform,0.5067155067155067
identity,kd_tree,30,entropy,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,31,adaptive,4,auto,5,9,kneighborsClassifier,10,2,adam,distance,0.6007326007326007
identity,brute,22,gini,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,33,constant,65,sqrt,15,16,kneighborsClassifier,5,2,lbfgs,uniform,0.5445665445665445
logistic,kd_tree,10,gini,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,39,invscaling,19,log2,19,40,randomForestClassifier,4,9,adam,uniform,0.8827838827838828
relu,ball_tree,23,gini,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,4,constant,78,log2,12,11,kneighborsClassifier,5,5,adam,uniform,0.6336996336996337
tanh,kd_tree,22,entropy,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,24,constant,99,sqrt,11,6,randomForestClassifier,9,7,adam,distance,0.884004884004884
identity,ball_tree,19,entropy,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,23,invscaling,45,auto,6,38,randomForestClassifier,3,10,adam,uniform,0.8754578754578755
logistic,brute,9,gini,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,5,invscaling,96,auto,3,30,randomForestClassifier,3,3,sgd,distance,0.47985347985347987
tanh,auto,32,gini,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,31,invscaling,68,auto,10,10,kneighborsClassifier,6,4,sgd,distance,0.5982905982905983
logistic,auto,19,gini,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,6,constant,13,sqrt,13,11,nnClassifier,7,2,adam,distance,0.4981684981684982
relu,ball_tree,8,entropy,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,22,invscaling,35,log2,2,13,kneighborsClassifier,5,6,lbfgs,uniform,0.4835164835164835
tanh,brute,24,gini,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,20,constant,72,sqrt,11,25,kneighborsClassifier,10,7,sgd,distance,0.5091575091575091
relu,auto,15,entropy,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,33,adaptive,23,auto,15,39,kneighborsClassifier,3,8,sgd,uniform,0.49572649572649574
identity,brute,30,entropy,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,11,adaptive,6,auto,9,35,kneighborsClassifier,10,7,lbfgs,uniform,0.6202686202686203
logistic,kd_tree,13,entropy,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,2,adaptive,53,log2,6,21,kneighborsClassifier,10,2,adam,distance,0.5616605616605617
logistic,brute,16,entropy,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,20,constant,94,auto,17,5,kneighborsClassifier,7,1,sgd,uniform,0.5079365079365079
relu,auto,28,gini,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,10,invscaling,8,auto,12,12,randomForestClassifier,10,10,adam,uniform,0.8766788766788767
logistic,ball_tree,19,entropy,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,27,adaptive,56,auto,11,16,kneighborsClassifier,2,2,lbfgs,distance,0.5543345543345544
