activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,12,gini,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,25,invscaling,85,log2,12,2,kneighborsClassifier,6,5,adam,distance,0.57997557997558
identity,auto,14,gini,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,32,adaptive,30,sqrt,8,21,nnClassifier,6,7,adam,distance,0.42246642246642246
identity,kd_tree,32,entropy,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,15,invscaling,40,sqrt,10,15,nnClassifier,3,3,adam,distance,0.358974358974359
tanh,auto,14,gini,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,23,adaptive,89,sqrt,10,30,randomForestClassifier,5,1,adam,distance,0.6434676434676435
logistic,ball_tree,27,gini,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,34,adaptive,55,log2,17,40,kneighborsClassifier,6,9,lbfgs,distance,0.63003663003663
logistic,ball_tree,13,gini,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,13,invscaling,26,auto,5,16,nnClassifier,6,2,adam,uniform,0.5115995115995116
relu,brute,14,gini,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,31,constant,8,auto,18,5,kneighborsClassifier,10,8,lbfgs,distance,0.5824175824175825
tanh,brute,9,gini,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,17,invscaling,75,log2,5,33,randomForestClassifier,2,1,lbfgs,uniform,0.5274725274725275
relu,brute,30,gini,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,19,constant,99,sqrt,15,27,randomForestClassifier,3,3,adam,distance,0.5042735042735043
identity,auto,8,entropy,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,9,constant,51,auto,3,8,kneighborsClassifier,3,6,sgd,distance,0.5860805860805861
