activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,15,entropy,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,37,invscaling,55,auto,12,19,nnClassifier,4,1,lbfgs,distance,0.5079365079365079
tanh,brute,19,gini,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,32,invscaling,42,auto,13,5,randomForestClassifier,1,8,adam,uniform,0.5177045177045178
relu,ball_tree,27,entropy,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,30,invscaling,86,auto,10,17,nnClassifier,5,2,sgd,distance,0.3492063492063492
logistic,ball_tree,28,entropy,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,5,invscaling,72,auto,19,8,nnClassifier,1,1,adam,distance,0.4908424908424908
tanh,kd_tree,17,entropy,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,40,adaptive,68,auto,8,35,nnClassifier,6,1,lbfgs,uniform,0.4725274725274725
identity,auto,26,gini,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,9,constant,85,sqrt,16,36,kneighborsClassifier,9,7,lbfgs,uniform,0.5067155067155067
logistic,kd_tree,13,entropy,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,12,invscaling,100,log2,6,16,nnClassifier,5,1,sgd,distance,0.4603174603174603
relu,auto,16,entropy,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,40,invscaling,94,auto,4,6,nnClassifier,10,8,lbfgs,uniform,0.4700854700854701
tanh,ball_tree,26,gini,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,16,constant,46,auto,7,14,randomForestClassifier,5,7,sgd,uniform,0.503052503052503
tanh,ball_tree,18,gini,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,29,constant,20,auto,10,3,randomForestClassifier,9,9,lbfgs,uniform,0.63003663003663
tanh,brute,9,gini,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,35,invscaling,37,log2,13,25,nnClassifier,8,6,adam,distance,0.47741147741147744
tanh,kd_tree,23,entropy,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,18,invscaling,43,log2,16,19,nnClassifier,5,3,adam,distance,0.4908424908424908
relu,brute,24,gini,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,17,adaptive,92,auto,12,13,randomForestClassifier,7,1,sgd,distance,0.8876678876678876
tanh,auto,25,entropy,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,11,adaptive,35,sqrt,8,20,nnClassifier,6,8,lbfgs,distance,0.48595848595848595
tanh,brute,24,entropy,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,19,adaptive,68,log2,13,11,randomForestClassifier,2,9,adam,distance,0.6336996336996337
logistic,auto,12,gini,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,16,constant,72,log2,11,33,randomForestClassifier,8,7,lbfgs,uniform,0.6361416361416361
identity,kd_tree,25,entropy,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,21,adaptive,13,log2,4,12,kneighborsClassifier,3,3,lbfgs,distance,0.4810744810744811
identity,auto,11,gini,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,24,adaptive,48,auto,16,26,nnClassifier,5,4,adam,distance,0.4139194139194139
logistic,kd_tree,8,gini,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,20,adaptive,84,sqrt,12,7,nnClassifier,10,5,lbfgs,distance,0.48717948717948717
identity,auto,29,gini,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,22,adaptive,56,log2,20,2,kneighborsClassifier,3,4,sgd,uniform,0.5592185592185592
relu,kd_tree,14,entropy,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,15,constant,78,sqrt,14,23,randomForestClassifier,1,3,adam,distance,0.5335775335775336
tanh,ball_tree,18,gini,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,28,constant,34,auto,5,6,randomForestClassifier,8,4,adam,uniform,0.8913308913308914
identity,auto,10,gini,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,13,invscaling,72,auto,18,5,kneighborsClassifier,7,9,sgd,distance,0.6141636141636142
tanh,kd_tree,20,entropy,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,33,constant,68,sqrt,4,26,randomForestClassifier,9,9,adam,distance,0.5115995115995116
identity,brute,18,entropy,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,15,adaptive,25,auto,19,22,kneighborsClassifier,7,4,lbfgs,distance,0.5518925518925519
identity,auto,8,gini,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,19,constant,48,log2,2,36,randomForestClassifier,3,10,lbfgs,uniform,0.5311355311355311
identity,brute,28,entropy,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,40,adaptive,59,log2,6,7,randomForestClassifier,9,3,sgd,distance,0.6324786324786325
relu,auto,21,entropy,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,invscaling,56,auto,19,16,nnClassifier,2,10,sgd,distance,0.001221001221001221
logistic,kd_tree,13,entropy,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,27,constant,95,sqrt,18,24,nnClassifier,5,10,adam,distance,0.4810744810744811
identity,auto,29,entropy,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,14,constant,55,auto,2,11,nnClassifier,3,7,adam,distance,0.37362637362637363
