activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,30,entropy,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,3,adaptive,43,sqrt,13,11,nnClassifier,4,5,lbfgs,distance,0.5274725274725275
logistic,brute,23,entropy,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,21,adaptive,79,sqrt,9,38,kneighborsClassifier,7,2,lbfgs,uniform,0.590964590964591
relu,auto,9,gini,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,10,constant,8,log2,2,37,nnClassifier,3,4,lbfgs,distance,0.5042735042735043
identity,brute,23,entropy,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,19,adaptive,72,sqrt,19,25,kneighborsClassifier,5,10,lbfgs,uniform,0.48717948717948717
tanh,auto,20,entropy,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,35,invscaling,87,auto,4,10,nnClassifier,4,8,adam,uniform,0.5213675213675214
tanh,auto,10,entropy,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,23,invscaling,10,log2,12,30,kneighborsClassifier,1,1,lbfgs,uniform,0.5567765567765568
tanh,auto,25,gini,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,33,adaptive,100,auto,10,28,randomForestClassifier,3,3,lbfgs,uniform,0.6422466422466423
logistic,kd_tree,30,entropy,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,33,invscaling,75,sqrt,7,18,randomForestClassifier,6,6,sgd,distance,0.6324786324786325
identity,auto,25,entropy,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,27,constant,94,log2,19,29,nnClassifier,1,2,lbfgs,uniform,0.48595848595848595
logistic,auto,8,gini,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,18,adaptive,60,log2,17,10,nnClassifier,4,4,adam,uniform,0.5335775335775336
logistic,ball_tree,32,gini,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,21,constant,63,log2,14,27,nnClassifier,1,9,sgd,distance,0.5323565323565324
relu,kd_tree,23,gini,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,28,constant,17,auto,12,11,randomForestClassifier,7,7,lbfgs,distance,0.6483516483516484
tanh,ball_tree,19,gini,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,6,invscaling,17,log2,3,25,kneighborsClassifier,9,1,lbfgs,uniform,0.525030525030525
logistic,brute,24,entropy,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,9,constant,78,log2,6,19,kneighborsClassifier,4,1,adam,distance,0.5213675213675214
relu,kd_tree,26,gini,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,23,adaptive,98,auto,16,23,randomForestClassifier,5,8,sgd,uniform,0.6422466422466423
logistic,auto,19,gini,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,39,constant,95,auto,17,23,randomForestClassifier,7,2,sgd,distance,0.8937728937728938
logistic,ball_tree,21,gini,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,22,constant,65,auto,18,11,kneighborsClassifier,6,3,adam,distance,0.5604395604395604
relu,kd_tree,30,entropy,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,15,invscaling,78,log2,19,3,nnClassifier,10,3,lbfgs,uniform,0.4810744810744811
tanh,kd_tree,30,entropy,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,39,constant,28,sqrt,9,22,randomForestClassifier,4,7,adam,uniform,0.4810744810744811
identity,auto,23,entropy,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,21,adaptive,76,auto,4,27,randomForestClassifier,2,4,sgd,uniform,0.8937728937728938
identity,ball_tree,9,entropy,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,22,adaptive,71,log2,6,16,kneighborsClassifier,2,4,adam,uniform,0.4884004884004884
tanh,ball_tree,28,entropy,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,3,adaptive,66,sqrt,17,40,kneighborsClassifier,2,4,sgd,distance,0.608058608058608
tanh,brute,20,entropy,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,20,invscaling,96,auto,20,25,kneighborsClassifier,5,10,lbfgs,distance,0.6019536019536019
relu,brute,21,gini,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,33,invscaling,96,auto,2,5,randomForestClassifier,8,5,sgd,uniform,0.6495726495726496
identity,brute,12,gini,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,26,constant,12,log2,20,9,kneighborsClassifier,8,6,lbfgs,distance,0.5738705738705738
identity,ball_tree,32,entropy,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,30,adaptive,57,auto,10,36,kneighborsClassifier,6,10,adam,uniform,0.5067155067155067
relu,auto,22,entropy,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,38,invscaling,87,log2,12,35,kneighborsClassifier,2,6,sgd,uniform,0.48595848595848595
logistic,kd_tree,19,gini,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,33,invscaling,18,log2,5,13,nnClassifier,6,6,sgd,uniform,0.25518925518925517
identity,brute,22,entropy,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,20,adaptive,3,log2,13,5,randomForestClassifier,5,9,adam,distance,0.49572649572649574
logistic,kd_tree,18,gini,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,25,adaptive,2,log2,20,21,nnClassifier,2,1,lbfgs,uniform,0.5201465201465202
tanh,auto,11,gini,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,3,adaptive,68,auto,10,5,nnClassifier,6,5,lbfgs,uniform,0.4981684981684982
logistic,ball_tree,26,gini,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,8,constant,39,auto,10,10,kneighborsClassifier,4,7,sgd,uniform,0.5946275946275946
tanh,brute,19,entropy,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,24,constant,26,log2,13,14,kneighborsClassifier,5,3,lbfgs,uniform,0.4945054945054945
relu,ball_tree,8,gini,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,19,adaptive,78,log2,6,7,randomForestClassifier,8,9,adam,uniform,0.8888888888888888
identity,auto,9,gini,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,4,adaptive,17,log2,20,16,nnClassifier,8,5,adam,distance,0.5177045177045178
