activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,12,gini,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,31,adaptive,86,log2,2,23,kneighborsClassifier,1,10,lbfgs,distance,0.4945054945054945
logistic,brute,20,gini,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,39,constant,26,sqrt,11,26,nnClassifier,7,5,sgd,distance,0.48595848595848595
identity,brute,19,entropy,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,16,invscaling,35,sqrt,8,19,nnClassifier,7,2,sgd,distance,0.4346764346764347
relu,kd_tree,19,gini,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,10,constant,55,log2,13,32,kneighborsClassifier,9,8,sgd,distance,0.63003663003663
logistic,auto,24,gini,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,33,adaptive,5,auto,11,34,randomForestClassifier,7,1,adam,uniform,0.6581196581196581
relu,brute,20,entropy,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,31,constant,43,auto,15,33,randomForestClassifier,1,8,lbfgs,uniform,0.5409035409035409
tanh,auto,17,gini,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,31,adaptive,65,log2,16,13,kneighborsClassifier,1,9,sgd,distance,0.4822954822954823
relu,brute,13,gini,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,6,invscaling,23,log2,16,23,nnClassifier,6,6,sgd,uniform,0.25518925518925517
relu,auto,26,entropy,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,7,invscaling,76,auto,6,18,kneighborsClassifier,10,7,adam,distance,0.47985347985347987
tanh,auto,32,gini,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,15,constant,21,log2,20,15,nnClassifier,9,8,lbfgs,distance,0.49206349206349204
relu,brute,23,entropy,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,18,adaptive,33,auto,9,4,kneighborsClassifier,6,2,sgd,distance,0.5164835164835165
identity,ball_tree,16,entropy,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,30,adaptive,100,auto,2,32,nnClassifier,8,5,adam,uniform,0.48473748473748474
relu,auto,8,entropy,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,8,adaptive,13,sqrt,11,20,randomForestClassifier,7,1,lbfgs,distance,0.6605616605616605
logistic,auto,23,gini,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,25,constant,39,log2,6,40,nnClassifier,7,1,lbfgs,distance,0.49694749694749696
logistic,ball_tree,10,gini,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,35,invscaling,28,log2,9,17,kneighborsClassifier,4,4,sgd,uniform,0.57997557997558
