feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,1,0,0,1,0,0,1,1,1,0,1,nnRegressor,relu,NA,31,NA,nan,adaptive,nan,NA,nan,nan,10,nan,lbfgs,NA,0.6955803537811742,8.289393424987793
0,1,0,0,0,1,0,0,1,0,0,1,1,1,kneighborsRegressor,NA,brute,nan,NA,21,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.7179827713323843,13.363801956176758
1,1,0,1,1,1,0,1,0,0,0,0,1,0,kneighborsRegressor,NA,kd_tree,nan,NA,22,NA,nan,NA,nan,nan,nan,5,NA,distance,0.6737270634831451,19.110806465148926
0,0,1,1,0,1,0,0,0,0,1,1,0,0,kneighborsRegressor,NA,brute,nan,NA,9,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.6106051357922302,23.769145727157593
1,1,1,0,1,0,1,1,1,1,1,1,1,0,kneighborsRegressor,NA,brute,nan,NA,9,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.6973446090813279,28.60437774658203
0,1,0,0,0,0,0,0,1,0,0,1,1,0,randomForestRegressor,NA,NA,nan,poisson,nan,NA,12,auto,14,5,nan,nan,NA,NA,0.28903405410498906,34.76932430267334
1,1,1,0,0,0,1,1,0,0,0,1,1,1,nnRegressor,relu,NA,29,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.7701311305034843,49.22996783256531
1,1,0,0,0,0,1,1,0,1,1,0,1,0,nnRegressor,relu,NA,8,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.7539097245519488,81.52630519866943
1,1,0,0,0,0,1,0,1,0,1,0,0,1,nnRegressor,logistic,NA,30,NA,nan,adaptive,nan,NA,nan,nan,4,nan,sgd,NA,0.6670506389258906,96.78675556182861
0,1,1,0,0,0,0,1,0,1,1,0,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,43,log2,3,36,nan,nan,NA,NA,0.7281727516010204,103.0042495727539
1,1,1,0,1,0,0,1,1,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,57,sqrt,13,18,nan,nan,NA,NA,0.7391641273954681,108.70835089683533
1,0,0,0,0,0,0,0,0,1,1,0,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,64,sqrt,11,24,nan,nan,NA,NA,0.7387513193837254,122.45397543907166
1,1,1,0,1,0,0,1,1,0,0,1,1,1,randomForestRegressor,NA,NA,nan,poisson,nan,NA,60,sqrt,8,20,nan,nan,NA,NA,0.6606379516992393,132.5572531223297
0,1,0,0,0,1,0,0,1,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,68,log2,10,24,nan,nan,NA,NA,0.7219540922526347,138.2242772579193
1,1,1,0,0,0,1,1,0,1,0,0,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,54,auto,11,2,nan,nan,NA,NA,0.7618209237466181,170.6314287185669
0,1,0,0,0,1,1,0,0,1,0,1,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,88,auto,12,23,nan,nan,NA,NA,0.7452234554483548,176.6922309398651
1,1,1,0,0,0,0,0,0,1,1,0,1,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,45,log2,13,23,nan,nan,NA,NA,0.737157531797462,191.07929015159607
1,1,1,0,0,1,0,1,1,1,1,0,1,1,randomForestRegressor,NA,NA,nan,poisson,nan,NA,13,auto,12,3,nan,nan,NA,NA,0.24068025014021055,199.3239438533783
1,1,1,0,0,0,1,0,1,0,0,1,1,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,25,log2,12,7,nan,nan,NA,NA,0.7300669976777144,213.73926210403442
0,1,0,0,0,0,1,0,0,1,0,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,54,auto,20,32,nan,nan,NA,NA,0.7195174045350032,220.1122817993164
0,0,1,0,1,0,0,0,0,1,0,1,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,79,auto,7,12,nan,nan,NA,NA,0.7123533500445102,249.73366284370422
0,1,1,0,0,1,1,0,0,1,1,1,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,31,auto,19,17,nan,nan,NA,NA,0.734029219697363,284.6149892807007
1,1,0,0,0,0,0,0,1,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,48,auto,19,37,nan,nan,NA,NA,0.7474654684365104,290.92707085609436
0,1,0,1,1,1,1,0,0,0,0,1,1,1,randomForestRegressor,NA,NA,nan,poisson,nan,NA,99,sqrt,1,38,nan,nan,NA,NA,0.6395307317333596,301.3604528903961
1,0,0,0,1,0,0,0,1,1,1,1,1,0,nnRegressor,relu,NA,18,NA,nan,constant,nan,NA,nan,nan,1,nan,sgd,NA,-0.0032975214546930864,308.1735107898712
1,1,1,0,0,1,0,1,0,0,1,1,1,0,nnRegressor,logistic,NA,29,NA,nan,invscaling,nan,NA,nan,nan,5,nan,lbfgs,NA,0.7549761997567638,316.74906969070435
1,1,0,0,1,1,1,0,1,0,1,1,1,1,randomForestRegressor,NA,NA,nan,poisson,nan,NA,97,sqrt,5,32,nan,nan,NA,NA,0.6846034153483975,327.30345249176025
1,0,1,0,0,1,0,1,1,1,0,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,43,auto,5,14,nan,nan,NA,NA,0.7230494188703359,334.4972770214081
1,1,1,0,0,0,1,0,0,0,0,1,1,1,nnRegressor,relu,NA,8,NA,nan,constant,nan,NA,nan,nan,2,nan,lbfgs,NA,0.7525408537484802,341.76947593688965
0,1,0,0,0,0,1,1,1,0,1,0,1,0,nnRegressor,tanh,NA,21,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,0.6493565212834621,360.35122656822205
1,1,1,0,0,1,0,0,0,0,1,0,1,1,nnRegressor,identity,NA,23,NA,nan,constant,nan,NA,nan,nan,1,nan,adam,NA,0.7115810205479396,366.8281874656677
0,1,0,0,0,0,0,0,0,1,0,1,1,1,nnRegressor,logistic,NA,14,NA,nan,adaptive,nan,NA,nan,nan,4,nan,sgd,NA,0.730389098774805,388.75842547416687
0,0,0,0,0,1,0,0,0,0,0,0,1,1,nnRegressor,relu,NA,25,NA,nan,adaptive,nan,NA,nan,nan,1,nan,lbfgs,NA,0.6770671070708083,395.08178067207336
