feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,0,1,0,1,0,1,0,1,0,1,kneighborsRegressor,NA,ball_tree,nan,NA,18,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.6993344952063469,5.425504207611084
1,0,0,1,0,0,1,0,0,1,1,0,0,0,nnRegressor,relu,NA,14,NA,nan,constant,nan,NA,nan,nan,10,nan,adam,NA,0.6697676544357237,17.710691213607788
0,1,0,0,1,1,0,0,0,0,1,1,1,1,kneighborsRegressor,NA,auto,nan,NA,16,NA,nan,NA,nan,nan,nan,10,NA,distance,0.7285282602957025,22.737821102142334
0,1,1,0,1,0,0,0,1,1,1,0,0,1,kneighborsRegressor,NA,brute,nan,NA,13,NA,nan,NA,nan,nan,nan,6,NA,distance,0.6580066372052391,27.58838152885437
0,1,0,0,0,1,1,0,0,0,1,1,1,0,kneighborsRegressor,NA,auto,nan,NA,37,NA,nan,NA,nan,nan,nan,9,NA,distance,0.697478076540094,32.05704975128174
0,0,1,0,1,0,1,1,1,0,0,1,1,0,kneighborsRegressor,NA,auto,nan,NA,17,NA,nan,NA,nan,nan,nan,4,NA,distance,0.5915534097034814,36.67095112800598
1,1,0,0,1,1,1,1,0,0,1,1,1,1,kneighborsRegressor,NA,auto,nan,NA,11,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.733353004131222,41.60800123214722
1,1,1,1,1,1,0,0,1,1,1,1,1,1,kneighborsRegressor,NA,kd_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,9,NA,distance,0.7365134007660721,46.40545916557312
1,1,1,1,1,1,0,0,1,1,1,1,1,0,nnRegressor,logistic,NA,25,NA,nan,invscaling,nan,NA,nan,nan,6,nan,adam,NA,0.7659885624874115,64.42045760154724
0,1,0,0,0,1,0,1,0,0,0,1,1,0,nnRegressor,identity,NA,27,NA,nan,adaptive,nan,NA,nan,nan,5,nan,sgd,NA,0.6870894384140827,74.95881295204163
1,0,1,1,1,1,0,1,0,0,1,1,0,1,nnRegressor,logistic,NA,29,NA,nan,invscaling,nan,NA,nan,nan,1,nan,sgd,NA,-0.024146475206442863,88.24422192573547
0,1,0,1,1,1,1,1,0,0,1,0,1,0,nnRegressor,logistic,NA,20,NA,nan,invscaling,nan,NA,nan,nan,5,nan,sgd,NA,0.07331700735300173,106.02887177467346
0,1,0,0,1,1,0,0,0,1,1,1,0,0,nnRegressor,relu,NA,25,NA,nan,invscaling,nan,NA,nan,nan,10,nan,adam,NA,0.7000315205551322,122.99006271362305
0,1,0,0,1,1,0,0,0,1,0,1,1,0,nnRegressor,logistic,NA,17,NA,nan,constant,nan,NA,nan,nan,5,nan,lbfgs,NA,0.7167875268529185,131.39963579177856
1,0,0,0,1,1,0,0,1,0,0,0,1,1,kneighborsRegressor,NA,kd_tree,nan,NA,8,NA,nan,NA,nan,nan,nan,7,NA,distance,0.7054702991851214,136.27727580070496
1,1,0,0,1,1,1,1,1,1,1,1,1,0,nnRegressor,tanh,NA,13,NA,nan,adaptive,nan,NA,nan,nan,3,nan,sgd,NA,0.7623481229612284,160.60506319999695
1,0,1,1,0,1,1,0,0,0,1,1,0,0,nnRegressor,relu,NA,29,NA,nan,adaptive,nan,NA,nan,nan,8,nan,adam,NA,0.6660536229884906,176.9096167087555
0,0,0,1,0,1,0,0,1,1,1,1,1,0,nnRegressor,tanh,NA,29,NA,nan,adaptive,nan,NA,nan,nan,5,nan,sgd,NA,0.6930418567050914,191.61739087104797
1,1,1,0,1,1,0,1,1,1,0,1,0,1,nnRegressor,identity,NA,18,NA,nan,adaptive,nan,NA,nan,nan,9,nan,sgd,NA,0.721016997479845,207.153489112854
1,1,1,0,1,1,0,1,1,1,1,1,1,0,nnRegressor,logistic,NA,8,NA,nan,adaptive,nan,NA,nan,nan,4,nan,adam,NA,0.7646504308238558,246.38205409049988
1,1,1,1,1,1,0,1,1,0,0,1,1,1,nnRegressor,logistic,NA,10,NA,nan,invscaling,nan,NA,nan,nan,6,nan,adam,NA,0.7789515131434818,279.3494007587433
1,1,0,0,1,1,0,1,1,0,1,1,0,0,nnRegressor,identity,NA,30,NA,nan,constant,nan,NA,nan,nan,10,nan,lbfgs,NA,0.6543026268008129,284.3755233287811
1,0,1,1,0,1,0,1,1,0,1,1,0,0,nnRegressor,logistic,NA,17,NA,nan,adaptive,nan,NA,nan,nan,2,nan,lbfgs,NA,0.664598061790219,292.6582112312317
1,1,1,1,1,1,0,0,0,1,0,0,1,1,nnRegressor,logistic,NA,24,NA,nan,invscaling,nan,NA,nan,nan,7,nan,lbfgs,NA,0.7783525154551488,300.4972298145294
1,1,0,0,1,1,0,1,1,1,1,1,1,1,nnRegressor,relu,NA,23,NA,nan,invscaling,nan,NA,nan,nan,2,nan,lbfgs,NA,0.7869218238343687,307.70769691467285
1,1,0,0,1,1,1,1,0,0,1,1,1,1,nnRegressor,relu,NA,21,NA,nan,adaptive,nan,NA,nan,nan,4,nan,lbfgs,NA,0.7895603382111598,315.1180009841919
