feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,1,0,1,0,0,1,0,1,0,1,1,nnRegressor,relu,NA,23,NA,nan,constant,nan,NA,nan,nan,6,nan,adam,NA,0.767085664016774,396.3665065765381
0,0,0,0,1,1,1,1,1,1,1,0,1,1,nnRegressor,tanh,NA,32,NA,nan,constant,nan,NA,nan,nan,4,nan,adam,NA,0.7686007287290537,411.99743032455444
1,0,1,1,0,1,1,1,1,1,0,0,1,0,nnRegressor,logistic,NA,8,NA,nan,constant,nan,NA,nan,nan,5,nan,sgd,NA,0.7720559680292199,445.7390196323395
1,0,1,0,1,0,1,1,1,1,1,0,1,0,nnRegressor,logistic,NA,29,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,-0.002625830849062538,451.14233779907227
1,0,1,0,0,0,0,0,0,1,1,0,1,1,nnRegressor,logistic,NA,29,NA,nan,invscaling,nan,NA,nan,nan,6,nan,lbfgs,NA,0.7719286366441099,459.1901936531067
1,1,0,0,0,1,1,1,1,0,0,0,1,0,nnRegressor,logistic,NA,29,NA,nan,adaptive,nan,NA,nan,nan,10,nan,sgd,NA,0.7256079770564735,473.885888338089
0,1,1,0,1,0,1,0,1,0,1,0,1,0,nnRegressor,logistic,NA,23,NA,nan,adaptive,nan,NA,nan,nan,10,nan,lbfgs,NA,0.7053961864536749,482.02247762680054
1,0,0,1,0,1,1,1,0,1,1,0,1,1,nnRegressor,tanh,NA,23,NA,nan,constant,nan,NA,nan,nan,7,nan,lbfgs,NA,0.8088506828834062,491.2133860588074
1,1,1,0,1,1,1,1,0,0,0,0,1,1,nnRegressor,tanh,NA,18,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,0.798594829639655,513.285400390625
1,1,1,0,1,1,0,1,0,1,0,1,1,1,nnRegressor,tanh,NA,22,NA,nan,constant,nan,NA,nan,nan,2,nan,adam,NA,0.821247268912912,532.4471242427826
1,1,0,0,0,1,1,1,0,0,0,0,1,1,nnRegressor,logistic,NA,21,NA,nan,constant,nan,NA,nan,nan,7,nan,lbfgs,NA,0.8027413704960569,540.2605285644531
1,0,1,1,1,0,1,1,1,1,0,0,1,1,nnRegressor,relu,NA,28,NA,nan,constant,nan,NA,nan,nan,8,nan,adam,NA,0.7870178911978669,555.9651637077332
0,0,1,1,0,0,1,1,0,0,1,1,1,0,nnRegressor,tanh,NA,9,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,0.732613297964355,590.8039889335632
1,0,0,1,0,0,1,0,1,0,0,0,1,1,nnRegressor,relu,NA,10,NA,nan,constant,nan,NA,nan,nan,10,nan,sgd,NA,0.7390321761302211,611.1920719146729
1,1,1,1,1,1,0,0,1,1,0,0,1,1,nnRegressor,tanh,NA,21,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,0.8234566234615326,630.619035243988
1,0,1,1,1,1,1,1,0,1,0,0,1,1,nnRegressor,relu,NA,29,NA,nan,constant,nan,NA,nan,nan,8,nan,sgd,NA,0.7650523918147696,644.0272424221039
1,1,0,0,1,1,1,1,0,1,0,0,1,0,nnRegressor,logistic,NA,29,NA,nan,constant,nan,NA,nan,nan,6,nan,lbfgs,NA,0.7932079760526753,650.9908089637756
1,1,1,0,0,1,1,1,1,1,0,1,1,1,nnRegressor,identity,NA,20,NA,nan,invscaling,nan,NA,nan,nan,2,nan,lbfgs,NA,0.7767629723440208,655.0796074867249
0,1,0,1,0,1,0,1,1,1,0,0,1,1,nnRegressor,logistic,NA,29,NA,nan,constant,nan,NA,nan,nan,2,nan,adam,NA,0.7635282067949537,670.0494210720062
1,1,1,1,1,1,0,0,1,1,0,0,1,1,nnRegressor,identity,NA,13,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,0.769320160246294,678.0606129169464
1,1,0,1,1,0,1,1,1,1,0,1,1,1,nnRegressor,tanh,NA,31,NA,nan,constant,nan,NA,nan,nan,8,nan,adam,NA,0.8124450071137717,693.7866914272308
1,0,1,1,1,0,0,1,1,1,0,0,1,1,nnRegressor,tanh,NA,31,NA,nan,constant,nan,NA,nan,nan,4,nan,lbfgs,NA,0.7879435003301171,701.913941860199
1,0,0,0,0,1,1,1,0,1,1,1,1,1,nnRegressor,logistic,NA,18,NA,nan,constant,nan,NA,nan,nan,7,nan,adam,NA,0.7884756125924905,722.7869021892548
1,1,1,1,1,1,0,0,0,1,1,1,1,1,nnRegressor,tanh,NA,22,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,0.8150934982302116,741.540057182312
1,0,1,0,0,0,0,0,0,0,1,0,1,1,nnRegressor,logistic,NA,18,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,0.7390025731623623,761.5728137493134
1,0,0,0,1,0,0,1,0,1,0,0,1,1,nnRegressor,tanh,NA,31,NA,nan,invscaling,nan,NA,nan,nan,3,nan,adam,NA,0.7809156648704572,776.6109449863434
1,1,1,1,0,1,1,1,0,1,1,0,1,0,nnRegressor,logistic,NA,31,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,0.7920771375430747,791.4523122310638
