feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,0,0,0,1,0,0,0,1,0,0,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,41,auto,13,16,nan,nan,NA,NA,0.5906517868327044,21.17730474472046
0,0,0,0,1,0,1,0,0,0,0,0,0,1,kneighborsRegressor,NA,brute,nan,NA,40,NA,nan,NA,nan,nan,nan,9,NA,distance,0.5607898044506952,25.663933515548706
0,1,1,1,1,0,0,0,1,1,1,0,0,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,6,auto,15,9,nan,nan,NA,NA,0.707338831665558,57.509592056274414
0,1,1,0,1,1,0,1,1,1,1,0,1,0,randomForestRegressor,NA,NA,nan,poisson,nan,NA,75,auto,12,11,nan,nan,NA,NA,0.6636783106357436,72.80412530899048
0,0,0,1,0,0,1,1,1,1,1,1,0,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,8,sqrt,6,6,nan,nan,NA,NA,0.7161531962097777,86.57025289535522
1,1,1,1,0,1,1,0,1,1,1,0,0,0,kneighborsRegressor,NA,auto,nan,NA,37,NA,nan,NA,nan,nan,nan,4,NA,distance,0.6728149863459585,91.79961562156677
1,0,0,0,0,1,1,0,0,1,1,1,1,1,nnRegressor,tanh,NA,27,NA,nan,adaptive,nan,NA,nan,nan,6,nan,lbfgs,NA,0.7714776150253733,103.23000288009644
0,0,0,0,1,1,0,1,1,0,0,1,0,1,nnRegressor,tanh,NA,25,NA,nan,invscaling,nan,NA,nan,nan,3,nan,adam,NA,0.7082729817835683,121.00254321098328
0,1,0,0,1,1,1,0,0,1,0,1,1,1,nnRegressor,tanh,NA,30,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,0.7598252782477825,129.78272247314453
0,0,0,0,1,1,1,0,1,0,1,1,1,1,kneighborsRegressor,NA,brute,nan,NA,20,NA,nan,NA,nan,nan,nan,8,NA,distance,0.7034068928185295,134.86900520324707
0,1,1,1,1,0,0,0,0,0,1,0,1,1,nnRegressor,tanh,NA,30,NA,nan,constant,nan,NA,nan,nan,10,nan,adam,NA,0.725043792411938,153.13601660728455
1,0,1,0,0,1,1,1,0,1,0,0,0,1,nnRegressor,tanh,NA,12,NA,nan,adaptive,nan,NA,nan,nan,3,nan,lbfgs,NA,0.7403338411759134,162.69640827178955
0,1,0,1,1,0,1,0,0,0,1,1,0,1,nnRegressor,relu,NA,20,NA,nan,adaptive,nan,NA,nan,nan,4,nan,lbfgs,NA,0.7284211778067078,170.41206121444702
0,0,0,1,0,1,0,1,0,0,0,0,1,1,kneighborsRegressor,NA,auto,nan,NA,11,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.6690572483742643,176.1958305835724
1,0,1,0,0,0,1,0,0,1,0,1,0,0,nnRegressor,tanh,NA,31,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,0.6834754886718084,185.04322409629822
1,1,1,0,0,1,1,1,0,1,1,0,1,1,nnRegressor,identity,NA,21,NA,nan,invscaling,nan,NA,nan,nan,7,nan,lbfgs,NA,0.7518281329199406,190.84122252464294
1,0,1,1,1,1,1,0,0,0,0,1,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,37,sqrt,15,30,nan,nan,NA,NA,0.7319135587224513,208.49604320526123
1,1,0,1,0,0,1,0,0,1,1,1,0,1,kneighborsRegressor,NA,brute,nan,NA,25,NA,nan,NA,nan,nan,nan,1,NA,distance,0.5468980469925409,213.2332820892334
1,1,0,0,1,1,1,0,0,1,0,0,0,1,nnRegressor,identity,NA,26,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.7108708373917247,223.28596186637878
1,1,0,0,0,0,0,0,1,1,0,1,0,1,nnRegressor,relu,NA,21,NA,nan,constant,nan,NA,nan,nan,4,nan,lbfgs,NA,0.7480965864731992,230.30393075942993
0,0,0,1,0,0,1,0,0,0,1,1,0,1,kneighborsRegressor,NA,brute,nan,NA,7,NA,nan,NA,nan,nan,nan,3,NA,distance,0.591602687363434,234.64613699913025
1,0,0,1,0,1,1,0,0,1,1,0,1,0,nnRegressor,relu,NA,27,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,0.763458180363213,242.0850841999054
1,1,1,1,1,1,0,1,0,1,1,0,0,0,nnRegressor,relu,NA,28,NA,nan,adaptive,nan,NA,nan,nan,4,nan,lbfgs,NA,0.7193253104283743,251.6280438899994
1,0,0,0,0,0,0,1,1,0,0,0,1,1,nnRegressor,tanh,NA,12,NA,nan,adaptive,nan,NA,nan,nan,6,nan,lbfgs,NA,0.7188501259097984,260.77961444854736
