feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,0,1,1,0,1,1,1,0,1,0,nnRegressor,identity,NA,25,NA,nan,invscaling,nan,NA,nan,nan,2,nan,adam,NA,0.7258800335163278,6.300395727157593
0,1,0,0,1,0,1,1,0,0,1,0,0,0,kneighborsRegressor,NA,brute,nan,NA,36,NA,nan,NA,nan,nan,nan,2,NA,distance,0.41040506678281097,10.860146284103394
0,0,0,1,0,0,1,1,1,0,1,1,1,0,nnRegressor,identity,NA,20,NA,nan,invscaling,nan,NA,nan,nan,4,nan,lbfgs,NA,0.7055428690799744,16.0547935962677
0,1,1,1,0,1,1,0,1,0,1,0,0,0,nnRegressor,identity,NA,29,NA,nan,constant,nan,NA,nan,nan,8,nan,adam,NA,0.5484885809244873,21.578188180923462
1,0,0,1,1,1,0,0,1,1,1,0,1,0,nnRegressor,relu,NA,28,NA,nan,invscaling,nan,NA,nan,nan,2,nan,sgd,NA,0.7325353989663071,35.53148913383484
1,0,1,0,1,1,0,0,1,1,1,0,0,0,nnRegressor,relu,NA,14,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,0.6591148926796766,57.4807505607605
1,0,0,0,0,1,0,0,0,1,0,0,1,1,randomForestRegressor,NA,NA,nan,poisson,nan,NA,11,sqrt,17,25,nan,nan,NA,NA,0.2949011126629414,63.17408084869385
1,0,0,1,1,1,0,0,0,1,0,1,0,1,nnRegressor,relu,NA,24,NA,nan,adaptive,nan,NA,nan,nan,4,nan,sgd,NA,0.6964476155653765,78.64169549942017
1,1,0,1,1,0,0,1,0,0,1,0,1,1,nnRegressor,logistic,NA,16,NA,nan,invscaling,nan,NA,nan,nan,1,nan,sgd,NA,-0.00031613524798213,84.95210266113281
1,0,0,1,1,0,1,1,1,1,0,1,1,1,nnRegressor,logistic,NA,32,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,0.7565544427736457,92.70004296302795
1,0,0,1,0,0,1,0,1,1,0,1,1,0,nnRegressor,tanh,NA,19,NA,nan,invscaling,nan,NA,nan,nan,1,nan,adam,NA,0.7393051839424123,112.66578674316406
0,0,0,1,1,0,1,0,0,0,1,0,0,1,nnRegressor,logistic,NA,11,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,0.6229480921508284,120.25445246696472
1,0,0,1,1,0,1,0,0,1,0,1,1,0,nnRegressor,logistic,NA,30,NA,nan,invscaling,nan,NA,nan,nan,5,nan,adam,NA,0.7449629552531174,136.03944945335388
1,0,1,0,1,0,1,1,0,0,0,1,0,0,nnRegressor,logistic,NA,22,NA,nan,invscaling,nan,NA,nan,nan,1,nan,sgd,NA,-0.002157781934093883,152.09721684455872
1,0,0,0,0,0,0,1,0,0,0,1,1,0,nnRegressor,identity,NA,21,NA,nan,adaptive,nan,NA,nan,nan,3,nan,adam,NA,0.7016328836065439,157.74662518501282
0,0,0,1,1,0,0,0,0,1,0,1,1,1,nnRegressor,tanh,NA,24,NA,nan,constant,nan,NA,nan,nan,6,nan,sgd,NA,0.7042797079793117,169.9070484638214
0,0,0,1,0,0,0,1,0,1,0,0,1,1,nnRegressor,tanh,NA,21,NA,nan,invscaling,nan,NA,nan,nan,2,nan,lbfgs,NA,0.7041529410528625,178.91959953308105
0,1,0,1,0,0,1,1,0,1,0,1,1,0,nnRegressor,relu,NA,25,NA,nan,constant,nan,NA,nan,nan,4,nan,lbfgs,NA,0.7427061646039234,185.9203004837036
0,0,0,0,0,0,1,1,1,1,1,1,1,0,nnRegressor,relu,NA,14,NA,nan,invscaling,nan,NA,nan,nan,1,nan,adam,NA,0.7153526307449011,210.06957006454468
0,0,0,0,1,0,1,0,0,1,0,0,1,1,nnRegressor,tanh,NA,28,NA,nan,constant,nan,NA,nan,nan,1,nan,lbfgs,NA,0.706399538497916,219.45643734931946
0,0,1,0,0,1,1,1,1,1,0,1,1,1,nnRegressor,logistic,NA,31,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,0.7255302000676678,234.0221288204193
