feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,31,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9536031589338598,5.3374857902526855
1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,76,log2,8,31,nan,nan,NA,NA,0.9634748272458046,10.741650581359863
1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,log2,2,31,nan,nan,NA,NA,0.9644619940769991,16.056485891342163
0,0,0,nnClassifier,logistic,NA,15,NA,nan,adaptive,nan,NA,nan,nan,9,nan,sgd,NA,0.0,21.180017948150635
1,0,1,nnClassifier,identity,NA,13,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,0.9387956564659428,26.040323972702026
0,0,0,nnClassifier,tanh,NA,10,NA,nan,adaptive,nan,NA,nan,nan,8,nan,adam,NA,0.0,30.886384963989258
1,1,0,nnClassifier,logistic,NA,8,NA,nan,constant,nan,NA,nan,nan,5,nan,lbfgs,NA,0.9555774925962488,36.43417835235596
1,1,1,nnClassifier,tanh,NA,21,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,0.9348469891411648,48.57303786277771
1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,26,log2,3,28,nan,nan,NA,NA,0.9634748272458046,55.01782178878784
1,1,1,nnClassifier,identity,NA,8,NA,nan,constant,nan,NA,nan,nan,2,nan,sgd,NA,0.9397828232971372,65.83889579772949
0,0,0,nnClassifier,logistic,NA,18,NA,nan,constant,nan,NA,nan,nan,6,nan,lbfgs,NA,0.0,70.45748114585876
0,0,0,nnClassifier,tanh,NA,9,NA,nan,constant,nan,NA,nan,nan,4,nan,adam,NA,0.0,75.2874755859375
1,0,1,nnClassifier,logistic,NA,8,NA,nan,invscaling,nan,NA,nan,nan,8,nan,adam,NA,0.9378084896347483,95.74805331230164
