feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,kneighborsClassifier,NA,auto,nan,NA,9,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9575518262586377,215.2800052165985
0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9575518262586377,220.24757432937622
0,1,0,kneighborsClassifier,NA,auto,nan,NA,36,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9575518262586377,224.44533729553223
0,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.0,228.70868515968323
0,1,0,kneighborsClassifier,NA,auto,nan,NA,20,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9575518262586377,233.26093745231628
0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,32,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9575518262586377,238.15792083740234
0,1,1,kneighborsClassifier,NA,auto,nan,NA,12,NA,nan,NA,nan,nan,nan,6,NA,distance,0.9545903257650543,243.02808046340942
0,0,1,kneighborsClassifier,NA,brute,nan,NA,19,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9526159921026653,247.92168307304382
0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9575518262586377,252.5884256362915
0,1,0,kneighborsClassifier,NA,brute,nan,NA,17,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9575518262586377,257.33523178100586
1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9575518262586377,261.66215682029724
0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9575518262586377,266.0725190639496
0,1,0,kneighborsClassifier,NA,auto,nan,NA,36,NA,nan,NA,nan,nan,nan,8,NA,distance,0.9575518262586377,270.74297618865967
0,1,0,kneighborsClassifier,NA,auto,nan,NA,12,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9575518262586377,275.36477184295654
0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,28,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9575518262586377,280.24977707862854
0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9575518262586377,284.8843047618866
0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9575518262586377,289.26398944854736
