activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,15,entropy,1,0,1,1,1,0,1,36,constant,38,sqrt,10,20,nnClassifier,4,7,sgd,distance,0.003913894324853229,209.17836537514813
tanh,kd_tree,19,gini,1,1,1,1,1,1,1,5,constant,62,sqrt,9,5,kneighborsClassifier,5,6,sgd,distance,0.5900195694716243,209.17842387408018
tanh,auto,28,entropy,1,0,1,1,1,0,1,8,constant,48,sqrt,2,31,nnClassifier,3,6,adam,distance,0.0009784735812133072,209.17846155306324
tanh,kd_tree,26,entropy,1,0,1,1,0,0,1,9,constant,82,sqrt,2,5,kneighborsClassifier,4,6,lbfgs,distance,0.8062622309197651,209.17849874217063
relu,auto,20,gini,1,1,1,1,0,1,1,27,constant,30,sqrt,10,10,kneighborsClassifier,4,6,lbfgs,distance,0.5968688845401174,209.17853614105843
tanh,kd_tree,27,entropy,1,1,1,1,1,0,1,24,constant,21,sqrt,2,36,kneighborsClassifier,4,6,adam,distance,0.6702544031311155,209.17857289104722
tanh,kd_tree,15,entropy,1,0,1,1,0,0,1,9,constant,20,auto,4,5,kneighborsClassifier,5,7,sgd,distance,0.5587084148727984,209.17860910017043
tanh,auto,19,gini,1,1,1,1,0,1,1,11,constant,91,sqrt,6,21,kneighborsClassifier,3,4,lbfgs,distance,0.5714285714285714,209.17864481918514
tanh,auto,21,entropy,1,1,1,1,1,0,1,10,constant,37,sqrt,2,24,nnClassifier,6,6,lbfgs,distance,0.01761252446183953,209.17868056800216
tanh,kd_tree,25,entropy,1,0,1,1,1,1,1,9,constant,53,auto,2,5,kneighborsClassifier,4,5,lbfgs,distance,0.5968688845401174,209.17871667817235
tanh,kd_tree,23,gini,1,0,1,1,0,0,1,8,constant,60,sqrt,9,30,kneighborsClassifier,5,6,sgd,distance,0.436399217221135,209.1787518770434
tanh,kd_tree,22,gini,1,0,1,1,1,1,1,13,constant,15,sqrt,2,21,kneighborsClassifier,4,5,sgd,distance,0.5968688845401174,209.17878720606677
tanh,ball_tree,27,entropy,1,1,1,1,1,1,1,19,constant,28,auto,2,16,kneighborsClassifier,4,5,lbfgs,distance,0.6516634050880626,209.1788224352058
relu,kd_tree,23,entropy,1,0,1,1,1,1,1,10,constant,50,sqrt,15,6,nnClassifier,6,7,adam,distance,0.07729941291585127,209.1788580052089
tanh,kd_tree,25,gini,1,1,1,1,1,1,1,11,constant,93,sqrt,13,5,kneighborsClassifier,3,7,sgd,distance,0.6888454011741683,209.17889315402135
tanh,kd_tree,26,entropy,1,1,1,1,1,0,1,9,constant,44,sqrt,8,22,kneighborsClassifier,6,5,sgd,distance,0.6555772994129159,209.1789282830432
tanh,kd_tree,20,gini,1,1,1,1,0,0,1,13,constant,79,sqrt,10,16,kneighborsClassifier,5,6,adam,distance,0.25929549902152643,209.17896363302134
tanh,ball_tree,26,entropy,1,0,1,1,1,1,1,31,constant,67,sqrt,3,21,kneighborsClassifier,3,6,sgd,distance,0.6340508806262231,209.1789987720549
tanh,kd_tree,26,entropy,1,0,1,1,0,0,1,23,constant,83,sqrt,14,21,nnClassifier,3,6,sgd,distance,0.0,209.17903383099474
relu,kd_tree,16,entropy,1,0,1,1,0,1,1,21,constant,81,sqrt,6,27,kneighborsClassifier,3,5,lbfgs,distance,0.7553816046966731,209.17906848015264
relu,auto,19,gini,1,1,1,1,1,1,1,32,constant,34,auto,6,24,nnClassifier,4,8,adam,distance,0.03424657534246575,414.3999821690377
relu,auto,23,gini,1,1,1,1,1,1,1,9,constant,58,auto,5,9,nnClassifier,3,7,adam,distance,0.9031311154598826,414.4000345780514
relu,auto,26,gini,1,1,1,1,1,1,1,12,constant,44,auto,2,35,nnClassifier,5,6,adam,distance,0.05675146771037182,414.4000717171002
relu,auto,28,gini,1,1,1,1,1,1,1,13,constant,78,auto,2,9,nnClassifier,4,6,adam,distance,0.8062622309197651,414.4001076561399
relu,auto,24,gini,1,1,1,1,1,1,1,23,constant,30,auto,6,14,nnClassifier,4,4,adam,distance,0.8943248532289628,414.40014377515763
relu,auto,25,gini,1,1,1,1,1,1,1,22,constant,23,auto,2,34,nnClassifier,2,6,adam,distance,0.9080234833659491,414.4001796049997
relu,auto,19,gini,1,1,1,1,1,1,1,13,constant,23,auto,2,9,nnClassifier,4,5,adam,distance,0.8062622309197651,414.40021482412703
relu,auto,23,gini,1,1,1,1,1,1,1,12,constant,87,auto,2,25,nnClassifier,3,7,adam,distance,0.8953033268101761,414.400250203209
relu,auto,25,gini,1,1,1,1,1,1,1,14,constant,33,auto,2,28,nnClassifier,2,8,adam,distance,0.060665362035225046,414.40029811207205
relu,auto,29,gini,1,1,1,1,1,1,1,13,constant,49,auto,2,9,nnClassifier,2,8,adam,distance,0.901174168297456,414.4003339621704
relu,auto,27,gini,1,1,1,1,1,1,1,12,constant,56,auto,5,29,nnClassifier,3,6,adam,distance,0.8062622309197651,414.4003689410165
relu,auto,26,gini,1,1,1,1,1,1,1,17,constant,19,auto,2,25,nnClassifier,4,7,adam,distance,0.901174168297456,414.40040449006483
relu,auto,26,gini,1,1,1,1,1,1,1,21,constant,25,auto,2,20,nnClassifier,3,7,adam,distance,0.9001956947162426,414.40044001908973
relu,auto,22,gini,1,1,1,1,1,1,1,14,constant,46,auto,11,10,nnClassifier,3,5,adam,distance,0.06653620352250489,414.4004757190123
relu,auto,29,gini,1,1,1,1,1,1,1,15,constant,89,auto,9,9,nnClassifier,4,4,adam,distance,0.901174168297456,414.4005110480357
relu,auto,25,gini,1,1,1,1,1,1,1,13,constant,40,auto,4,24,nnClassifier,2,4,adam,distance,0.9050880626223092,414.4005459169857
relu,auto,24,gini,1,1,1,1,1,1,1,17,constant,75,auto,6,20,nnClassifier,2,7,adam,distance,0.8385518590998043,414.40058124717325
relu,auto,27,gini,1,1,1,1,1,1,1,27,constant,63,auto,2,25,nnClassifier,2,5,adam,distance,0.901174168297456,414.40061609609984
relu,auto,28,gini,1,1,1,1,1,1,1,22,constant,79,auto,10,25,nnClassifier,2,6,adam,distance,0.009784735812133072,414.40065082511865
relu,auto,18,gini,1,1,1,1,1,1,1,22,constant,77,auto,2,31,nnClassifier,5,5,adam,distance,0.8855185909980431,414.4006858950015
relu,auto,23,gini,1,1,1,1,1,1,1,28,constant,30,auto,3,28,nnClassifier,4,5,adam,distance,0.06360078277886497,1472.0150623212103
relu,auto,22,gini,1,1,1,1,1,1,1,13,constant,54,auto,2,13,nnClassifier,6,6,adam,distance,0.0547945205479452,1472.0151371702086
relu,auto,26,gini,1,1,1,1,1,1,1,16,constant,40,auto,2,38,nnClassifier,4,6,adam,distance,0.05870841487279843,1472.0151768391952
relu,auto,25,gini,1,1,1,1,1,1,1,17,constant,74,auto,2,13,nnClassifier,4,6,adam,distance,0.06360078277886497,1472.0152148881461
relu,auto,21,gini,1,1,1,1,1,1,1,25,constant,28,auto,5,12,nnClassifier,4,4,adam,distance,0.06360078277886497,1472.0152538979892
relu,auto,29,gini,1,1,1,1,1,1,1,25,constant,22,auto,2,34,nnClassifier,5,6,adam,distance,0.057729941291585124,1472.0153067160863
relu,auto,23,gini,1,1,1,1,1,1,1,17,constant,19,auto,3,13,nnClassifier,4,8,adam,distance,0.06360078277886497,1472.015346716158
relu,auto,19,gini,1,1,1,1,1,1,1,16,constant,83,auto,6,29,nnClassifier,4,4,adam,distance,0.0547945205479452,1472.0153841751162
relu,auto,23,gini,1,1,1,1,1,1,1,11,constant,29,auto,2,32,nnClassifier,4,7,adam,distance,0.057729941291585124,1472.0154210040346
relu,auto,25,gini,1,1,1,1,1,1,1,17,constant,45,auto,2,13,nnClassifier,6,4,adam,distance,0.06360078277886497,1472.0154584629927
relu,auto,23,gini,1,1,1,1,1,1,1,16,constant,52,auto,2,33,nnClassifier,5,6,adam,distance,0.0675146771037182,1472.0154951331206
relu,auto,22,gini,1,1,1,1,1,1,1,21,constant,17,auto,2,26,nnClassifier,4,5,adam,distance,0.0547945205479452,1472.015532872174
relu,auto,27,gini,1,1,1,1,1,1,1,25,constant,21,auto,2,24,nnClassifier,5,4,adam,distance,0.06262230919765166,1472.0155723211356
relu,auto,26,gini,1,1,1,1,1,1,1,18,constant,42,auto,15,14,nnClassifier,7,8,adam,distance,0.05968688845401174,1472.0156092301477
relu,auto,26,gini,1,1,1,1,1,1,1,19,constant,85,auto,11,13,nnClassifier,3,5,adam,distance,0.0547945205479452,1472.0156459701248
relu,auto,27,gini,1,1,1,1,1,1,1,17,constant,36,auto,3,28,nnClassifier,5,5,adam,distance,0.057729941291585124,1472.0156825291924
relu,auto,22,gini,1,1,1,1,1,1,1,19,constant,71,auto,5,24,nnClassifier,5,7,adam,distance,0.05968688845401174,1472.0157185280696
relu,auto,27,gini,1,1,1,1,1,1,1,26,constant,59,auto,2,29,nnClassifier,2,6,adam,distance,0.060665362035225046,1472.015755207045
relu,auto,29,gini,1,1,1,1,1,1,1,25,constant,75,auto,6,29,nnClassifier,5,6,adam,distance,0.06360078277886497,1472.0157917770557
relu,auto,18,gini,1,1,1,1,1,1,1,24,constant,73,auto,2,31,nnClassifier,4,6,adam,distance,0.05870841487279843,1472.0158286760561
relu,auto,25,gini,1,1,1,1,1,1,1,27,constant,26,auto,2,32,nnClassifier,4,9,adam,distance,0.05870841487279843,2445.376626931131
relu,auto,26,gini,1,1,1,1,1,1,1,17,constant,50,auto,6,17,nnClassifier,3,6,adam,distance,0.07534246575342465,2445.3766825301573
relu,auto,28,gini,1,1,1,1,1,1,1,20,constant,36,auto,2,34,nnClassifier,4,6,adam,distance,0.0547945205479452,2445.376731359167
relu,auto,25,gini,1,1,1,1,1,1,1,21,constant,70,auto,2,17,nnClassifier,4,6,adam,distance,0.0684931506849315,2445.3767683380283
relu,auto,21,gini,1,1,1,1,1,1,1,28,constant,24,auto,7,14,nnClassifier,4,8,adam,distance,0.06457925636007827,2445.376804937143
relu,auto,26,gini,1,1,1,1,1,1,1,25,constant,18,auto,2,38,nnClassifier,5,6,adam,distance,0.07142857142857142,2445.3768415360246
relu,auto,23,gini,1,1,1,1,1,1,1,21,constant,21,auto,2,17,nnClassifier,5,6,adam,distance,0.05870841487279843,2445.376877376111
relu,auto,23,gini,1,1,1,1,1,1,1,20,constant,79,auto,5,25,nnClassifier,4,5,adam,distance,0.06360078277886497,2445.3769136550836
relu,auto,26,gini,1,1,1,1,1,1,1,11,constant,25,auto,2,30,nnClassifier,8,6,adam,distance,0.05870841487279843,2445.3769495540764
relu,auto,26,gini,1,1,1,1,1,1,1,14,constant,49,auto,2,17,nnClassifier,8,3,adam,distance,0.07436399217221135,2445.3769852530677
relu,auto,21,gini,1,1,1,1,1,1,1,20,constant,51,auto,6,31,nnClassifier,6,6,adam,distance,0.06653620352250489,2445.3770209131762
relu,auto,26,gini,1,1,1,1,1,1,1,17,constant,17,auto,2,30,nnClassifier,4,6,adam,distance,0.06457925636007827,2445.377057222184
relu,auto,28,gini,1,1,1,1,1,1,1,21,constant,21,auto,2,20,nnClassifier,3,8,adam,distance,0.06555772994129158,2445.377093191026
relu,auto,27,gini,1,1,1,1,1,1,1,14,constant,38,auto,11,18,nnClassifier,6,7,adam,distance,0.0684931506849315,2445.3771293112077
relu,auto,25,gini,1,1,1,1,1,1,1,15,constant,81,auto,12,17,nnClassifier,4,7,adam,distance,0.06262230919765166,2445.37716515013
relu,auto,26,gini,1,1,1,1,1,1,1,21,constant,32,auto,7,27,nnClassifier,6,6,adam,distance,0.06555772994129158,2445.3772011790425
relu,auto,23,gini,1,1,1,1,1,1,1,18,constant,67,auto,5,24,nnClassifier,5,5,adam,distance,0.06947162426614481,2445.3772366980556
relu,auto,26,gini,1,1,1,1,1,1,1,30,constant,55,auto,3,25,nnClassifier,3,7,adam,distance,0.060665362035225046,2445.377284037182
relu,auto,28,gini,1,1,1,1,1,1,1,25,constant,71,auto,2,33,nnClassifier,5,6,adam,distance,0.07142857142857142,2445.377319917083
relu,auto,16,gini,1,1,1,1,1,1,1,23,constant,69,auto,4,31,nnClassifier,2,5,adam,distance,0.07142857142857142,2445.3773558561224
relu,auto,27,gini,1,1,1,1,1,1,1,25,constant,22,auto,2,36,nnClassifier,4,6,adam,distance,0.0684931506849315,3340.247566870181
relu,auto,27,gini,1,1,1,1,1,1,1,14,constant,46,auto,2,21,nnClassifier,3,6,adam,distance,0.06262230919765166,3340.247626088094
relu,auto,28,gini,1,1,1,1,1,1,1,24,constant,32,auto,2,32,nnClassifier,4,6,adam,distance,0.06360078277886497,3340.2476629482117
relu,auto,28,gini,1,1,1,1,1,1,1,17,constant,66,auto,2,21,nnClassifier,4,6,adam,distance,0.0684931506849315,3340.2476997270714
relu,auto,20,gini,1,1,1,1,1,1,1,24,constant,28,auto,7,18,nnClassifier,4,7,adam,distance,0.06457925636007827,3340.247735266108
relu,auto,26,gini,1,1,1,1,1,1,1,21,constant,22,auto,2,34,nnClassifier,4,6,adam,distance,0.05870841487279843,3340.2477712151594
relu,auto,20,gini,1,1,1,1,1,1,1,24,constant,20,auto,5,13,nnClassifier,4,6,adam,distance,0.06653620352250489,3340.247806585161
relu,auto,26,gini,1,1,1,1,1,1,1,19,constant,75,auto,6,28,nnClassifier,2,6,adam,distance,0.05870841487279843,3340.2478424941655
relu,auto,29,gini,1,1,1,1,1,1,1,12,constant,21,auto,2,33,nnClassifier,6,5,adam,distance,0.0821917808219178,3340.247877933085
relu,auto,28,gini,1,1,1,1,1,1,1,12,constant,45,auto,2,14,nnClassifier,5,7,adam,distance,0.0821917808219178,3340.247913723113
relu,auto,25,gini,1,1,1,1,1,1,1,16,constant,47,auto,6,30,nnClassifier,2,6,adam,distance,0.07534246575342465,3340.2479488721583
relu,auto,23,gini,1,1,1,1,1,1,1,21,constant,15,auto,2,26,nnClassifier,4,5,adam,distance,0.0547945205479452,3340.247984371148
