activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,kd_tree,28,entropy,1,1,0,1,1,1,1,38,constant,53,sqrt,19,30,nnClassifier,9,6,sgd,distance,0.015655577299412915,179.14221898186952
relu,ball_tree,15,gini,1,1,0,1,1,1,1,7,invscaling,30,auto,11,25,nnClassifier,6,5,sgd,distance,0.011741682974559686,179.14227195084095
relu,ball_tree,28,gini,1,1,0,1,1,1,1,17,constant,62,sqrt,10,7,kneighborsClassifier,9,6,sgd,distance,0.6095890410958904,179.14231011085212
relu,kd_tree,14,entropy,1,1,0,1,1,1,1,37,invscaling,54,log2,7,30,kneighborsClassifier,7,4,sgd,distance,0.8816046966731899,179.14234660984948
relu,kd_tree,14,gini,1,1,0,1,1,1,1,34,invscaling,91,auto,7,12,kneighborsClassifier,4,2,sgd,distance,0.3356164383561644,179.1423835598398
relu,auto,27,entropy,1,1,0,1,1,1,1,26,invscaling,32,log2,16,29,kneighborsClassifier,7,1,sgd,distance,0.62426614481409,179.14241990889423
relu,auto,22,entropy,1,1,1,1,1,1,1,18,invscaling,27,sqrt,15,11,kneighborsClassifier,10,5,sgd,distance,0.5841487279843445,179.14245624886826
relu,kd_tree,12,gini,1,1,0,1,1,1,1,10,invscaling,72,log2,10,21,nnClassifier,5,4,adam,distance,0.0,179.14249262795784
relu,kd_tree,16,entropy,1,1,1,1,1,1,1,37,invscaling,91,sqrt,7,18,nnClassifier,5,4,adam,distance,0.03816046966731898,179.14252846781164
relu,ball_tree,27,gini,1,1,0,1,1,1,1,7,invscaling,71,log2,10,25,kneighborsClassifier,6,6,sgd,distance,0.5430528375733855,179.14256527693942
relu,kd_tree,13,gini,1,1,0,1,1,1,1,36,invscaling,70,auto,11,18,kneighborsClassifier,7,5,adam,distance,0.41291585127201563,179.1426017167978
relu,kd_tree,18,gini,1,1,1,1,1,1,1,13,constant,85,sqrt,6,19,nnClassifier,9,5,sgd,distance,0.04207436399217221,179.14263771590777
relu,kd_tree,15,gini,1,1,1,1,1,1,1,10,invscaling,25,auto,7,22,kneighborsClassifier,7,3,adam,distance,0.678082191780822,179.14267326588742
relu,ball_tree,26,gini,1,1,0,1,1,1,1,36,invscaling,11,log2,11,20,kneighborsClassifier,7,2,sgd,distance,0.32289628180039137,179.14270889479667
