activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,24,entropy,1,1,1,1,1,1,1,19,constant,53,auto,12,9,kneighborsClassifier,7,8,sgd,distance,0.4863013698630137,576.3344479738735
relu,auto,13,gini,0,0,0,1,1,1,1,32,invscaling,84,auto,6,18,kneighborsClassifier,7,8,sgd,distance,0.3933463796477495,576.3345074339304
relu,auto,22,gini,1,1,0,1,1,1,1,3,constant,87,auto,4,29,nnClassifier,8,6,sgd,distance,0.02446183953033268,576.3345445229206
relu,auto,22,gini,0,1,0,1,1,1,1,12,invscaling,27,auto,11,31,kneighborsClassifier,8,8,adam,distance,0.48532289628180036,576.3345812230837
relu,auto,23,entropy,1,0,1,1,1,1,1,11,invscaling,56,auto,5,29,kneighborsClassifier,4,6,sgd,distance,0.6086105675146771,576.334618102992
relu,auto,23,entropy,0,0,0,1,1,1,1,14,invscaling,28,auto,4,31,kneighborsClassifier,8,9,sgd,distance,0.87573385518591,576.3346539018676
relu,auto,13,gini,1,0,0,1,1,1,1,15,invscaling,11,auto,8,31,nnClassifier,5,7,adam,distance,0.0009784735812133072,576.3346896718722
relu,auto,22,gini,1,0,1,1,1,1,1,7,invscaling,70,auto,3,18,kneighborsClassifier,8,6,sgd,distance,0.7211350293542075,576.3347267708741
relu,auto,15,entropy,0,0,1,1,1,1,1,12,constant,16,auto,11,21,kneighborsClassifier,5,8,sgd,distance,0.42563600782778865,576.3347628409974
relu,auto,13,entropy,0,1,0,1,1,1,1,6,constant,83,auto,12,23,nnClassifier,7,6,sgd,distance,0.0136986301369863,576.3347993209027
relu,auto,12,gini,1,1,0,1,1,1,1,15,invscaling,50,auto,4,18,kneighborsClassifier,8,9,sgd,distance,0.5743639921722113,576.3348352399189
relu,auto,31,gini,1,1,1,1,1,1,1,15,invscaling,29,auto,14,23,kneighborsClassifier,7,6,adam,distance,0.6320939334637965,576.3348709200509
relu,auto,12,entropy,0,1,1,1,1,1,1,24,constant,80,auto,11,32,nnClassifier,8,6,adam,distance,0.05577299412915851,576.3349063990172
relu,auto,13,entropy,1,0,0,1,1,1,1,14,invscaling,6,auto,12,11,nnClassifier,8,10,adam,distance,0.007827788649706457,576.334941979032
relu,auto,23,entropy,0,1,1,1,1,1,1,25,invscaling,28,auto,3,9,nnClassifier,8,9,sgd,distance,0.003913894324853229,576.3349778789561
relu,auto,24,gini,1,1,0,1,1,1,1,11,constant,39,auto,8,20,kneighborsClassifier,9,6,adam,distance,0.7064579256360078,576.3350136680529
relu,auto,12,entropy,0,1,1,1,1,1,1,15,invscaling,41,auto,5,32,nnClassifier,9,8,adam,distance,0.02446183953033268,576.3350493980106
