activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,kd_tree,16,gini,1,1,1,0,1,1,1,29,constant,62,log2,7,15,kneighborsClassifier,4,3,adam,distance,0.7935420743639922,175.10640615713783
relu,kd_tree,20,gini,1,1,1,0,1,1,1,34,constant,68,log2,13,11,kneighborsClassifier,2,1,adam,distance,0.4383561643835616,175.10646278597414
relu,auto,19,gini,1,1,1,1,1,1,1,11,constant,42,auto,12,29,kneighborsClassifier,6,5,adam,distance,0.8708414872798435,175.106503036106
relu,auto,21,gini,1,1,1,0,1,1,1,20,constant,45,log2,12,11,kneighborsClassifier,1,5,adam,distance,0.6917808219178082,175.10654068505391
relu,auto,20,entropy,1,1,1,0,1,1,1,32,constant,78,sqrt,16,8,kneighborsClassifier,1,5,adam,distance,0.5078277886497065,175.1065773339942
relu,kd_tree,30,entropy,1,1,1,0,1,1,1,7,constant,95,auto,7,26,kneighborsClassifier,2,5,adam,distance,0.3238747553816047,175.1066139540635
relu,ball_tree,19,gini,1,1,1,0,1,1,1,25,constant,67,sqrt,8,16,nnClassifier,2,3,adam,distance,0.0,175.10664955317043
relu,kd_tree,22,gini,1,1,1,0,1,1,1,31,constant,92,log2,7,26,nnClassifier,1,6,adam,distance,0.0009784735812133072,175.10668463306502
relu,kd_tree,20,entropy,1,1,1,0,1,1,1,29,constant,36,log2,3,15,kneighborsClassifier,2,3,adam,distance,0.8894324853228963,175.10672056209296
relu,kd_tree,17,entropy,1,1,1,1,1,1,1,13,constant,90,auto,9,35,kneighborsClassifier,6,2,adam,distance,0.6252446183953033,175.1067561621312
relu,ball_tree,20,entropy,1,1,1,0,1,1,1,7,constant,35,auto,3,12,kneighborsClassifier,3,3,adam,distance,0.5499021526418787,175.10679122107103
relu,ball_tree,16,gini,1,1,1,1,1,1,1,22,constant,37,sqrt,15,15,nnClassifier,1,3,adam,distance,0.02446183953033268,175.10683999001049
relu,kd_tree,25,gini,1,1,1,1,1,1,1,10,constant,35,sqrt,14,21,kneighborsClassifier,3,3,adam,distance,0.7270058708414873,175.10687519004568
relu,ball_tree,25,entropy,1,1,1,1,1,1,1,29,constant,91,log2,10,21,kneighborsClassifier,2,6,adam,distance,0.586105675146771,175.1069110389799
relu,kd_tree,21,entropy,1,1,1,1,1,1,1,21,constant,11,sqrt,3,24,nnClassifier,1,3,adam,distance,0.004892367906066536,175.10694610816427
relu,kd_tree,13,gini,1,1,1,1,1,1,1,32,constant,73,log2,15,12,nnClassifier,2,4,adam,distance,0.0,175.1069814080838
relu,auto,13,gini,1,1,1,0,1,1,1,28,constant,67,auto,3,17,kneighborsClassifier,3,8,adam,distance,0.5342465753424658,175.10701583698392
relu,kd_tree,22,gini,1,1,1,1,1,1,1,31,constant,31,auto,2,13,kneighborsClassifier,4,7,adam,distance,0.8884540117416829,175.10705097718164
