activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,ball_tree,29,gini,1,0,1,1,1,1,1,9,invscaling,12,auto,6,18,nnClassifier,4,10,adam,distance,0.009784735812133072,407.5623550270684
relu,ball_tree,29,gini,1,1,1,1,1,1,1,15,constant,74,auto,18,26,kneighborsClassifier,9,10,adam,distance,0.5636007827788649,407.562409816077
relu,ball_tree,17,gini,1,0,1,1,1,1,1,24,constant,8,auto,14,34,nnClassifier,1,10,adam,distance,0.046966731898238745,407.5624467548914
tanh,ball_tree,28,gini,1,0,1,1,1,0,1,34,constant,76,auto,9,13,kneighborsClassifier,2,9,adam,distance,0.7035225048923679,407.56248278496787
tanh,ball_tree,27,gini,1,0,1,1,1,0,1,32,constant,63,auto,7,14,kneighborsClassifier,2,7,adam,distance,0.6996086105675147,407.56251910398714
identity,auto,20,gini,1,1,1,1,1,0,0,34,invscaling,34,auto,9,9,kneighborsClassifier,1,7,adam,distance,0.6340508806262231,407.5625546439551
relu,ball_tree,22,gini,1,0,1,1,1,1,1,6,constant,34,auto,8,32,kneighborsClassifier,6,10,adam,distance,0.5332681017612525,407.5625900530722
identity,ball_tree,27,gini,1,1,1,1,1,1,0,33,invscaling,41,auto,14,13,kneighborsClassifier,2,8,adam,distance,0.7289628180039139,407.5626248330809
tanh,ball_tree,12,gini,1,0,1,1,1,1,0,35,constant,78,auto,10,20,nnClassifier,2,8,adam,distance,0.0136986301369863,407.56266040191986
tanh,ball_tree,14,gini,1,0,1,1,1,1,0,8,invscaling,38,auto,13,33,nnClassifier,1,9,adam,distance,0.0,407.56269588088617
identity,auto,22,gini,1,1,1,1,1,1,1,16,invscaling,69,auto,15,19,kneighborsClassifier,2,7,adam,distance,0.6252446183953033,407.56273051095195
identity,ball_tree,29,gini,1,0,1,1,1,0,0,34,invscaling,85,auto,20,35,kneighborsClassifier,2,10,adam,distance,0.7544031311154599,407.5627657698933
identity,ball_tree,18,gini,1,0,1,1,1,0,0,31,invscaling,56,auto,8,23,kneighborsClassifier,3,4,adam,distance,0.13894324853228962,407.5628007298801
identity,auto,30,gini,1,0,1,1,1,0,0,22,invscaling,50,auto,18,23,kneighborsClassifier,2,6,adam,distance,0.3287671232876712,407.56284929905087
tanh,auto,13,gini,1,0,1,1,1,1,0,14,invscaling,8,auto,12,7,nnClassifier,3,10,adam,distance,0.0029354207436399216,407.5628856779076
identity,ball_tree,18,gini,1,1,1,1,1,1,1,35,invscaling,79,auto,15,26,kneighborsClassifier,1,10,adam,distance,0.7064579256360078,407.5629218479153
relu,ball_tree,15,gini,1,0,1,1,1,1,0,25,invscaling,64,auto,20,36,nnClassifier,3,5,adam,distance,0.0,407.5629571368918
identity,ball_tree,12,gini,1,0,1,1,1,1,1,25,constant,6,auto,20,25,kneighborsClassifier,3,10,adam,distance,0.2847358121330724,407.5629917969927
relu,auto,30,gini,1,1,1,1,1,0,0,16,invscaling,66,auto,16,7,kneighborsClassifier,1,7,adam,distance,0.273972602739726,407.56302715605125
relu,auto,15,gini,1,0,1,1,1,0,0,36,invscaling,10,auto,18,13,nnClassifier,3,4,adam,distance,0.01761252446183953,407.5630625260528
relu,auto,27,gini,1,1,1,1,1,1,1,13,constant,16,auto,10,18,nnClassifier,4,10,adam,distance,0.009784735812133072,854.3272507449146
relu,auto,25,gini,1,1,1,1,1,1,1,17,constant,71,auto,19,24,nnClassifier,5,6,adam,distance,0.9060665362035225,854.3273056340404
relu,auto,17,gini,1,1,1,1,1,1,1,20,constant,12,auto,12,30,nnClassifier,5,9,adam,distance,0.007827788649706457,854.3273417640012
relu,auto,24,gini,1,1,1,1,1,1,1,30,constant,72,auto,13,17,nnClassifier,2,10,adam,distance,0.9070450097847358,854.3273772129323
relu,auto,26,gini,1,1,1,1,1,1,1,28,constant,67,auto,10,17,nnClassifier,1,9,adam,distance,0.9070450097847358,854.3274123929441
relu,auto,22,gini,1,1,1,1,1,1,1,30,constant,38,auto,13,13,nnClassifier,1,8,adam,distance,0.776908023483366,854.3274473219644
relu,auto,24,gini,1,1,1,1,1,1,1,10,constant,38,auto,12,32,nnClassifier,2,9,adam,distance,0.901174168297456,854.3274820919614
relu,auto,23,gini,1,1,1,1,1,1,1,29,constant,45,auto,17,17,nnClassifier,2,8,adam,distance,0.7818003913894325,854.3275167110842
relu,auto,16,gini,1,1,1,1,1,1,1,31,constant,74,auto,14,20,nnClassifier,1,9,adam,distance,0.03228962818003914,854.327551600989
relu,auto,18,gini,1,1,1,1,1,1,1,12,constant,41,auto,16,29,nnClassifier,2,9,adam,distance,0.009784735812133072,854.3275864000898
relu,auto,24,gini,1,1,1,1,1,1,1,18,constant,71,auto,17,21,nnClassifier,2,9,adam,distance,0.9099804305283757,854.3276213500649
relu,auto,25,gini,1,1,1,1,1,1,1,30,constant,81,auto,19,31,nnClassifier,2,6,adam,distance,0.7544031311154599,854.3276560890954
relu,auto,20,gini,1,1,1,1,1,1,1,27,constant,60,auto,11,20,nnClassifier,2,6,adam,distance,0.7416829745596869,854.3276910590939
relu,auto,26,gini,1,1,1,1,1,1,1,24,constant,54,auto,19,21,nnClassifier,2,9,adam,distance,0.7583170254403131,854.3277252579574
relu,auto,17,gini,1,1,1,1,1,1,1,17,constant,12,auto,16,11,nnClassifier,1,6,adam,distance,0.036203522504892366,854.327759708045
relu,auto,22,gini,1,1,1,1,1,1,1,31,constant,75,auto,16,22,nnClassifier,1,10,adam,distance,0.9060665362035225,854.3277948570903
relu,auto,19,gini,1,1,1,1,1,1,1,21,constant,68,auto,16,32,nnClassifier,1,7,adam,distance,0.040117416829745595,854.3278294170741
relu,auto,16,gini,1,1,1,1,1,1,1,21,constant,10,auto,20,22,nnClassifier,3,6,adam,distance,0.901174168297456,854.3278807159513
relu,auto,26,gini,1,1,1,1,1,1,1,18,constant,70,auto,16,11,nnClassifier,1,9,adam,distance,0.7778864970645792,854.3279150458984
relu,auto,19,gini,1,1,1,1,1,1,1,32,constant,14,auto,15,17,nnClassifier,1,8,adam,distance,0.03816046966731898,854.3279494049493
relu,auto,25,gini,1,1,1,1,1,1,1,16,constant,20,auto,14,20,nnClassifier,2,6,adam,distance,0.05675146771037182,1835.2522585510742
relu,auto,21,gini,1,1,1,1,1,1,1,15,constant,74,auto,16,20,nnClassifier,1,10,adam,distance,0.046966731898238745,1835.252312910976
relu,auto,21,gini,1,1,1,1,1,1,1,16,constant,16,auto,16,26,nnClassifier,4,5,adam,distance,0.05577299412915851,1835.2523497599177
relu,auto,27,gini,1,1,1,1,1,1,1,26,constant,75,auto,12,21,nnClassifier,2,7,adam,distance,0.0410958904109589,1835.2523854000028
relu,auto,23,gini,1,1,1,1,1,1,1,24,constant,67,auto,13,16,nnClassifier,2,6,adam,distance,0.0273972602739726,1835.2524210088886
relu,auto,20,gini,1,1,1,1,1,1,1,26,constant,42,auto,17,17,nnClassifier,1,6,adam,distance,0.0019569471624266144,1835.252456089016
relu,auto,23,gini,1,1,1,1,1,1,1,12,constant,42,auto,12,28,nnClassifier,6,7,adam,distance,0.0410958904109589,1835.252492167987
relu,auto,26,gini,1,1,1,1,1,1,1,25,constant,49,auto,13,19,nnClassifier,2,7,adam,distance,0.03913894324853229,1835.2525272578932
relu,auto,12,gini,1,1,1,1,1,1,1,27,constant,70,auto,12,20,nnClassifier,3,5,adam,distance,0.003913894324853229,1835.252562257927
relu,auto,22,gini,1,1,1,1,1,1,1,16,constant,45,auto,16,25,nnClassifier,3,6,adam,distance,0.033268101761252444,1835.2525974269956
relu,auto,20,gini,1,1,1,1,1,1,1,17,constant,68,auto,17,19,nnClassifier,2,9,adam,distance,0.0410958904109589,1835.25263313693
relu,auto,21,gini,1,1,1,1,1,1,1,26,constant,81,auto,15,27,nnClassifier,2,5,adam,distance,0.03718199608610567,1835.2526682859752
relu,auto,23,gini,1,1,1,1,1,1,1,27,constant,64,auto,8,22,nnClassifier,4,7,adam,distance,0.0410958904109589,1835.2527032559738
relu,auto,22,gini,1,1,1,1,1,1,1,20,constant,58,auto,15,19,nnClassifier,2,6,adam,distance,0.03913894324853229,1835.252738334937
relu,auto,15,gini,1,1,1,1,1,1,1,13,constant,16,auto,12,15,nnClassifier,1,10,adam,distance,0.0029354207436399216,1835.2527734150644
relu,auto,22,gini,1,1,1,1,1,1,1,27,constant,72,auto,16,19,nnClassifier,1,8,adam,distance,0.0019569471624266144,1835.2528086840175
relu,auto,21,gini,1,1,1,1,1,1,1,17,constant,68,auto,20,28,nnClassifier,3,4,adam,distance,0.004892367906066536,1835.2528566739056
relu,auto,20,gini,1,1,1,1,1,1,1,24,constant,14,auto,16,20,nnClassifier,1,7,adam,distance,0.036203522504892366,1835.2528924329672
