activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,17,gini,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,14,constant,11,log2,3,35,nnClassifier,1,6,sgd,distance,0.4986425339366516
logistic,kd_tree,32,entropy,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,33,adaptive,45,auto,14,6,kneighborsClassifier,6,6,sgd,uniform,0.8515837104072398
relu,ball_tree,28,entropy,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,constant,69,log2,8,36,randomForestClassifier,7,4,lbfgs,uniform,0.9248868778280543
logistic,brute,27,entropy,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,22,constant,76,sqrt,15,17,kneighborsClassifier,9,10,adam,uniform,0.9276018099547512
tanh,ball_tree,31,gini,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,18,adaptive,57,auto,7,16,kneighborsClassifier,4,8,adam,distance,0.9321266968325792
identity,auto,9,entropy,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,38,adaptive,94,auto,16,30,nnClassifier,6,6,adam,distance,0.48868778280542985
relu,kd_tree,29,gini,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,8,adaptive,42,sqrt,18,9,kneighborsClassifier,10,6,adam,uniform,0.853393665158371
identity,brute,31,gini,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,40,constant,35,auto,12,30,randomForestClassifier,1,8,sgd,distance,0.9013574660633484
relu,brute,19,entropy,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,2,adaptive,79,log2,5,6,nnClassifier,3,7,sgd,distance,0.49411764705882355
logistic,ball_tree,13,gini,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,11,constant,67,sqrt,18,19,randomForestClassifier,8,8,lbfgs,distance,0.8832579185520362
