activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,25,gini,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,28,invscaling,91,auto,19,17,randomForestClassifier,9,10,lbfgs,uniform,0.9085972850678733
identity,kd_tree,8,entropy,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,11,constant,69,auto,18,20,randomForestClassifier,6,2,adam,uniform,0.930316742081448
relu,brute,27,gini,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,12,invscaling,78,sqrt,12,23,nnClassifier,10,10,lbfgs,distance,0.502262443438914
identity,kd_tree,26,entropy,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,22,invscaling,30,sqrt,9,34,randomForestClassifier,8,6,sgd,distance,0.7538461538461538
tanh,kd_tree,20,gini,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,6,constant,32,log2,8,6,nnClassifier,4,3,adam,uniform,0.485972850678733
identity,ball_tree,16,gini,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,33,constant,84,auto,14,5,kneighborsClassifier,5,1,lbfgs,uniform,0.9049773755656109
tanh,kd_tree,29,gini,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,8,invscaling,37,auto,4,15,kneighborsClassifier,1,10,adam,uniform,0.7900452488687782
relu,brute,12,gini,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,22,invscaling,84,sqrt,2,5,nnClassifier,7,6,adam,distance,0.49502262443438916
relu,brute,27,entropy,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,36,adaptive,1,log2,18,14,kneighborsClassifier,2,1,sgd,distance,0.8570135746606334
tanh,brute,13,entropy,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,39,invscaling,84,log2,11,12,kneighborsClassifier,7,9,lbfgs,distance,0.816289592760181
logistic,auto,17,entropy,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,34,adaptive,40,sqrt,6,40,kneighborsClassifier,5,6,adam,uniform,0.9122171945701357
logistic,ball_tree,16,gini,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,24,invscaling,58,auto,18,37,kneighborsClassifier,1,2,lbfgs,uniform,0.8280542986425339
tanh,brute,22,gini,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,13,invscaling,18,sqrt,19,35,nnClassifier,3,8,lbfgs,distance,0.48959276018099546
relu,kd_tree,9,entropy,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,36,invscaling,7,auto,12,39,randomForestClassifier,7,1,lbfgs,uniform,0.9366515837104072
relu,auto,27,gini,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,17,adaptive,93,auto,20,39,randomForestClassifier,3,6,adam,distance,0.897737556561086
logistic,brute,30,gini,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,30,invscaling,64,sqrt,10,24,randomForestClassifier,2,9,lbfgs,distance,0.9312217194570136
identity,ball_tree,8,gini,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,17,invscaling,36,log2,3,14,nnClassifier,4,6,sgd,distance,0.4751131221719457
identity,auto,14,entropy,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,34,adaptive,23,sqrt,17,26,randomForestClassifier,10,3,adam,uniform,0.7176470588235294
identity,kd_tree,30,gini,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,30,invscaling,42,auto,8,6,randomForestClassifier,10,9,lbfgs,uniform,0.9330316742081448
identity,ball_tree,20,gini,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,28,invscaling,9,auto,8,12,kneighborsClassifier,4,8,sgd,uniform,0.918552036199095
identity,ball_tree,29,gini,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,37,adaptive,6,sqrt,10,34,randomForestClassifier,3,5,adam,uniform,0.9285067873303168
tanh,ball_tree,9,entropy,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,34,adaptive,27,log2,3,15,kneighborsClassifier,4,4,sgd,uniform,0.7113122171945702
tanh,kd_tree,11,gini,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,20,constant,12,auto,9,13,nnClassifier,4,8,lbfgs,uniform,0.49049773755656106
relu,auto,23,gini,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,28,constant,48,auto,10,8,nnClassifier,4,5,lbfgs,distance,0.502262443438914
identity,kd_tree,19,entropy,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,28,constant,45,log2,5,2,kneighborsClassifier,1,2,lbfgs,distance,0.8796380090497737
identity,kd_tree,32,gini,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,6,invscaling,36,log2,9,18,randomForestClassifier,4,9,adam,uniform,0.9076923076923077
identity,brute,22,gini,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,32,adaptive,43,auto,15,29,randomForestClassifier,6,4,adam,uniform,0.902262443438914
logistic,brute,27,entropy,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,33,invscaling,32,log2,15,11,randomForestClassifier,10,2,sgd,uniform,0.9049773755656109
identity,kd_tree,11,gini,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,8,constant,45,auto,6,39,nnClassifier,2,9,lbfgs,uniform,0.5104072398190045
relu,kd_tree,9,entropy,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,34,constant,51,sqrt,5,6,randomForestClassifier,7,3,adam,distance,0.8334841628959276
logistic,auto,13,entropy,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,25,invscaling,55,auto,9,23,nnClassifier,9,3,sgd,uniform,0.5583710407239819
identity,kd_tree,22,entropy,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,38,adaptive,69,sqrt,15,17,kneighborsClassifier,9,3,lbfgs,uniform,0.7936651583710407
identity,brute,12,entropy,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,39,adaptive,47,log2,10,39,nnClassifier,3,1,lbfgs,distance,0.4850678733031674
identity,ball_tree,17,entropy,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,21,invscaling,56,sqrt,7,31,kneighborsClassifier,7,1,sgd,distance,0.7945701357466063
tanh,kd_tree,21,entropy,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,38,constant,8,auto,11,13,nnClassifier,1,10,sgd,uniform,0.5049773755656108
tanh,kd_tree,29,gini,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,17,invscaling,61,log2,4,33,randomForestClassifier,1,3,sgd,uniform,0.8923076923076924
relu,brute,22,gini,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,40,adaptive,54,log2,15,21,nnClassifier,5,9,sgd,distance,0.49592760180995477
logistic,ball_tree,21,gini,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,18,adaptive,25,sqrt,9,13,randomForestClassifier,1,9,lbfgs,distance,0.9321266968325792
logistic,kd_tree,10,entropy,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,6,adaptive,69,auto,13,10,kneighborsClassifier,7,10,sgd,distance,0.9285067873303168
logistic,kd_tree,23,gini,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,31,constant,14,auto,12,29,randomForestClassifier,4,3,lbfgs,distance,0.9294117647058824
tanh,ball_tree,9,entropy,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,2,invscaling,43,sqrt,9,18,randomForestClassifier,3,5,sgd,distance,0.7692307692307693
identity,auto,12,gini,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,10,invscaling,87,sqrt,14,24,kneighborsClassifier,10,6,adam,distance,0.9212669683257918
identity,ball_tree,19,entropy,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,5,adaptive,9,log2,13,3,kneighborsClassifier,9,6,sgd,distance,0.8941176470588236
