activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,27,gini,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,constant,55,log2,13,2,kneighborsClassifier,1,1,adam,uniform,0.848868778280543
tanh,ball_tree,27,entropy,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,5,constant,71,sqrt,12,36,kneighborsClassifier,9,9,adam,distance,0.7484162895927602
tanh,kd_tree,30,gini,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,37,adaptive,36,sqrt,9,33,randomForestClassifier,6,6,adam,distance,0.9076923076923077
logistic,brute,17,gini,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,39,invscaling,13,sqrt,12,36,nnClassifier,1,6,lbfgs,uniform,0.5194570135746607
logistic,auto,27,gini,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,6,adaptive,7,log2,3,24,nnClassifier,6,6,sgd,distance,0.5212669683257919
logistic,brute,27,entropy,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,21,invscaling,27,sqrt,18,12,nnClassifier,6,7,adam,uniform,0.5176470588235295
identity,brute,14,entropy,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,30,invscaling,7,log2,15,13,randomForestClassifier,7,2,lbfgs,uniform,0.9013574660633484
tanh,auto,10,entropy,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,31,constant,100,auto,11,35,nnClassifier,1,7,adam,distance,0.5113122171945701
relu,auto,26,gini,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,21,constant,29,sqrt,13,20,kneighborsClassifier,6,7,sgd,uniform,0.8841628959276018
tanh,ball_tree,32,gini,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,17,adaptive,34,sqrt,2,24,kneighborsClassifier,10,7,adam,uniform,0.7981900452488688
