activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,27,entropy,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,4,constant,8,log2,6,27,randomForestClassifier,8,1,lbfgs,uniform,0.8914027149321267
logistic,ball_tree,22,entropy,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,31,adaptive,7,sqrt,17,4,kneighborsClassifier,10,3,adam,uniform,0.8262443438914027
logistic,kd_tree,32,entropy,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,20,invscaling,22,auto,16,34,kneighborsClassifier,5,6,sgd,uniform,0.930316742081448
relu,brute,18,entropy,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,5,constant,45,log2,10,34,kneighborsClassifier,10,6,adam,uniform,0.9248868778280543
identity,brute,32,entropy,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,6,invscaling,15,log2,9,15,randomForestClassifier,3,6,adam,uniform,0.7746606334841629
tanh,auto,21,gini,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,7,invscaling,96,log2,18,7,nnClassifier,7,2,sgd,distance,0.49592760180995477
relu,auto,12,gini,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,4,invscaling,63,sqrt,20,18,randomForestClassifier,9,8,sgd,uniform,0.8986425339366516
logistic,brute,18,gini,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,24,constant,75,auto,20,29,randomForestClassifier,3,10,lbfgs,distance,0.709502262443439
logistic,kd_tree,11,gini,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,13,constant,16,auto,9,34,kneighborsClassifier,10,1,lbfgs,distance,0.9466063348416289
relu,ball_tree,9,entropy,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,38,invscaling,17,log2,6,32,nnClassifier,5,9,lbfgs,uniform,0.5049773755656108
logistic,brute,19,entropy,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,23,constant,19,sqrt,19,35,nnClassifier,8,6,sgd,uniform,0.5058823529411764
relu,kd_tree,13,gini,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,26,constant,7,auto,3,37,kneighborsClassifier,9,5,lbfgs,uniform,0.6986425339366515
identity,auto,32,entropy,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,12,constant,26,auto,3,3,nnClassifier,10,7,adam,distance,0.49321266968325794
identity,brute,26,entropy,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,27,invscaling,22,auto,20,38,kneighborsClassifier,5,7,adam,distance,0.9402714932126697
