activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,auto,13,gini,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,38,constant,22,sqrt,10,13,randomForestClassifier,5,8,adam,distance,0.890497737556561
logistic,kd_tree,29,gini,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,10,constant,26,auto,2,6,nnClassifier,9,3,lbfgs,uniform,0.49230769230769234
identity,kd_tree,12,gini,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,29,invscaling,15,auto,14,16,nnClassifier,9,6,lbfgs,distance,0.497737556561086
logistic,auto,20,gini,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,4,invscaling,38,log2,9,19,nnClassifier,6,4,lbfgs,uniform,0.49411764705882355
tanh,ball_tree,8,entropy,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,37,invscaling,86,log2,10,12,nnClassifier,7,1,lbfgs,uniform,0.5104072398190045
identity,kd_tree,25,entropy,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,37,adaptive,62,log2,15,20,nnClassifier,7,7,adam,distance,0.4995475113122172
tanh,brute,10,entropy,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,4,constant,39,log2,7,31,randomForestClassifier,8,1,sgd,uniform,0.930316742081448
identity,brute,8,gini,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,35,invscaling,14,auto,8,20,kneighborsClassifier,3,5,lbfgs,uniform,0.9167420814479638
logistic,ball_tree,12,gini,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,3,adaptive,2,sqrt,7,2,randomForestClassifier,7,4,sgd,uniform,0.890497737556561
tanh,auto,20,entropy,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,35,constant,5,sqrt,8,8,kneighborsClassifier,5,5,sgd,distance,0.8705882352941177
logistic,auto,31,entropy,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4,invscaling,46,auto,7,22,randomForestClassifier,1,2,adam,distance,0.7746606334841629
logistic,brute,30,entropy,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,32,invscaling,16,auto,11,10,kneighborsClassifier,5,4,sgd,distance,0.8886877828054298
logistic,brute,26,gini,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,22,constant,53,sqrt,13,8,randomForestClassifier,2,2,adam,uniform,0.9194570135746606
identity,ball_tree,30,gini,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,36,invscaling,40,auto,20,26,nnClassifier,10,4,sgd,distance,0.49411764705882355
logistic,brute,12,entropy,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,28,invscaling,43,log2,15,35,kneighborsClassifier,5,6,lbfgs,uniform,0.7809954751131222
relu,auto,11,gini,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,11,invscaling,4,sqrt,19,25,kneighborsClassifier,6,5,lbfgs,distance,0.8407239819004525
tanh,ball_tree,16,entropy,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,30,adaptive,100,log2,20,13,nnClassifier,6,5,sgd,uniform,0.485972850678733
tanh,kd_tree,12,gini,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,33,invscaling,85,sqrt,18,25,randomForestClassifier,8,4,lbfgs,uniform,0.930316742081448
identity,brute,16,entropy,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,35,invscaling,62,log2,9,21,nnClassifier,2,1,adam,distance,0.49502262443438916
tanh,auto,21,entropy,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,39,constant,37,auto,12,8,kneighborsClassifier,9,3,lbfgs,distance,0.7701357466063349
identity,brute,32,gini,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,13,constant,54,sqrt,13,23,kneighborsClassifier,10,9,sgd,uniform,0.755656108597285
identity,auto,20,entropy,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,3,constant,97,auto,17,16,nnClassifier,4,9,adam,distance,0.49140271493212667
tanh,ball_tree,12,gini,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,36,adaptive,73,auto,8,8,randomForestClassifier,8,8,lbfgs,uniform,0.9420814479638009
relu,ball_tree,32,gini,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,34,constant,89,auto,15,2,randomForestClassifier,7,6,sgd,distance,0.9212669683257918
relu,auto,20,gini,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,19,adaptive,2,log2,4,28,kneighborsClassifier,3,3,adam,distance,0.8959276018099548
relu,brute,13,entropy,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,23,invscaling,59,sqrt,13,36,randomForestClassifier,7,8,adam,uniform,0.9194570135746606
tanh,brute,16,entropy,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,33,invscaling,28,auto,4,17,randomForestClassifier,7,9,lbfgs,distance,0.7864253393665158
logistic,ball_tree,17,entropy,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,34,constant,11,sqrt,14,17,nnClassifier,10,5,lbfgs,uniform,0.5049773755656108
logistic,brute,20,entropy,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,9,constant,42,sqrt,10,6,nnClassifier,6,4,adam,distance,0.5085972850678733
identity,brute,22,entropy,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,2,invscaling,87,log2,6,17,randomForestClassifier,1,10,lbfgs,distance,0.7565610859728507
identity,ball_tree,32,entropy,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,40,adaptive,85,log2,16,12,randomForestClassifier,9,1,sgd,distance,0.9411764705882353
logistic,auto,30,entropy,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,7,adaptive,34,log2,11,33,randomForestClassifier,6,4,lbfgs,distance,0.8099547511312217
tanh,ball_tree,13,entropy,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,35,adaptive,27,sqrt,20,32,kneighborsClassifier,8,6,sgd,distance,0.934841628959276
tanh,auto,15,entropy,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,18,constant,56,sqrt,18,26,randomForestClassifier,4,3,sgd,distance,0.9239819004524887
identity,kd_tree,28,entropy,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,21,invscaling,49,sqrt,5,19,nnClassifier,8,3,lbfgs,uniform,0.5158371040723982
tanh,kd_tree,13,entropy,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,12,invscaling,14,sqrt,5,16,randomForestClassifier,4,4,lbfgs,distance,0.9040723981900453
identity,ball_tree,12,entropy,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,33,invscaling,7,auto,11,21,kneighborsClassifier,7,6,lbfgs,distance,0.832579185520362
relu,kd_tree,18,entropy,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,9,constant,26,log2,6,4,randomForestClassifier,1,9,sgd,uniform,0.9357466063348416
relu,ball_tree,25,gini,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,23,invscaling,34,sqrt,2,35,randomForestClassifier,9,5,sgd,uniform,0.9131221719457013
