feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,15,auto,18,27,nan,nan,NA,NA,0.7032967032967034,7.115453243255615
1,0,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,81,auto,19,40,nan,nan,NA,NA,0.5115995115995116,13.927426815032959
0,0,1,0,0,1,1,0,nnClassifier,relu,NA,21,NA,nan,constant,nan,NA,nan,nan,1,nan,sgd,NA,0.5152625152625152,19.69247055053711
1,1,0,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,51,auto,11,35,nan,nan,NA,NA,0.702075702075702,26.082634925842285
0,1,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,6,auto,19,26,nan,nan,NA,NA,0.8241758241758241,31.712424993515015
0,1,1,0,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,15,sqrt,13,8,nan,nan,NA,NA,0.8327228327228328,36.80850005149841
0,1,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,97,log2,15,40,nan,nan,NA,NA,0.7106227106227107,42.183950901031494
1,1,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,16,sqrt,9,21,nan,nan,NA,NA,0.8363858363858364,48.732726097106934
0,0,1,0,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,84,sqrt,7,2,nan,nan,NA,NA,0.6446886446886447,54.360570192337036
0,1,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,19,log2,6,19,nan,nan,NA,NA,0.8315018315018315,60.255868434906006
1,1,1,0,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,20,auto,18,10,nan,nan,NA,NA,0.8302808302808303,66.13077735900879
1,1,0,0,1,1,0,0,nnClassifier,relu,NA,20,NA,nan,constant,nan,NA,nan,nan,9,nan,lbfgs,NA,0.4932844932844933,73.8102457523346
1,1,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,66,sqrt,13,13,nan,nan,NA,NA,0.8315018315018315,79.94664406776428
1,1,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,55,sqrt,14,26,nan,nan,NA,NA,0.8266178266178266,85.48205089569092
1,1,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,28,sqrt,11,23,nan,nan,NA,NA,0.833943833943834,91.85233736038208
1,1,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,94,log2,15,7,nan,nan,NA,NA,0.8351648351648352,97.67353558540344
1,1,1,0,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,98,sqrt,9,22,nan,nan,NA,NA,0.8327228327228328,104.02591371536255
0,1,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,21,sqrt,2,10,nan,nan,NA,NA,0.8400488400488401,109.88759231567383
0,1,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,15,log2,4,2,nan,nan,NA,NA,0.8351648351648352,115.59027600288391
1,1,1,0,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,33,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.8021978021978022,120.38663935661316
1,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,15,log2,18,5,nan,nan,NA,NA,0.8315018315018315,126.50252079963684
