feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,47,auto,16,7,nan,nan,NA,NA,0.8363858363858364,504.57596254348755
0,1,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,2,log2,8,40,nan,nan,NA,NA,0.8168498168498168,509.6188702583313
1,1,1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,37,auto,3,8,nan,nan,NA,NA,0.833943833943834,516.2592308521271
1,1,1,1,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,67,log2,7,9,nan,nan,NA,NA,0.8437118437118437,522.341465473175
1,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,93,sqrt,5,7,nan,nan,NA,NA,0.8400488400488401,528.0199058055878
0,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,81,log2,3,7,nan,nan,NA,NA,0.8400488400488401,534.5954909324646
0,1,1,1,1,1,0,0,kneighborsClassifier,NA,auto,nan,NA,34,NA,nan,NA,nan,nan,nan,4,NA,distance,0.7997557997557998,539.0182590484619
1,1,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,93,sqrt,1,6,nan,nan,NA,NA,0.8424908424908425,546.167179107666
1,1,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,47,log2,19,11,nan,nan,NA,NA,0.833943833943834,552.0903470516205
0,1,1,0,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,20,auto,7,5,nan,nan,NA,NA,0.8424908424908425,557.4522042274475
0,0,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,91,auto,19,37,nan,nan,NA,NA,0.6813186813186813,562.5314602851868
1,1,1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,62,log2,20,4,nan,nan,NA,NA,0.8388278388278388,567.8977718353271
1,1,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,96,auto,19,5,nan,nan,NA,NA,0.8363858363858364,573.6481835842133
1,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,10,sqrt,1,8,nan,nan,NA,NA,0.8473748473748474,578.7547550201416
1,1,1,1,1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,37,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.8205128205128205,582.8670139312744
1,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,log2,8,12,nan,nan,NA,NA,0.8315018315018315,587.647049665451
1,1,1,0,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,30,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.8034188034188035,592.0395019054413
1,1,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,7,log2,3,20,nan,nan,NA,NA,0.8437118437118437,597.8931608200073
0,1,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,25,log2,3,3,nan,nan,NA,NA,0.8388278388278388,603.0606553554535
0,1,1,0,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8144078144078144,607.1045143604279
1,0,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,87,sqrt,15,11,nan,nan,NA,NA,0.6605616605616605,613.1876337528229
0,1,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,72,sqrt,15,40,nan,nan,NA,NA,0.8400488400488401,618.3128232955933
0,1,1,0,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,64,log2,9,20,nan,nan,NA,NA,0.8388278388278388,623.4512186050415
0,1,1,0,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,log2,4,34,nan,nan,NA,NA,0.8388278388278388,627.9809691905975
0,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,3,auto,4,22,nan,nan,NA,NA,0.8290598290598291,632.7894952297211
1,1,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,12,sqrt,16,40,nan,nan,NA,NA,0.8351648351648352,638.5330452919006
0,1,0,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,73,auto,15,37,nan,nan,NA,NA,0.7008547008547008,644.4372148513794
0,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,47,auto,8,10,nan,nan,NA,NA,0.8461538461538461,649.2494218349457
1,1,1,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,1,log2,9,34,nan,nan,NA,NA,0.8388278388278388,654.4570338726044
1,1,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,35,sqrt,2,6,nan,nan,NA,NA,0.8424908424908425,659.9085693359375
1,1,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,72,sqrt,8,16,nan,nan,NA,NA,0.8400488400488401,665.1163339614868
