feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,0,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,7,log2,1,18,nan,nan,NA,NA,0.4461839530332681,6.697314739227295
1,1,0,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,17,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.5841487279843445,12.017532587051392
1,1,1,0,0,1,0,kneighborsClassifier,NA,auto,nan,NA,7,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.5225048923679061,16.801907062530518
1,0,0,0,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,30,NA,nan,NA,nan,nan,nan,1,NA,distance,0.3268101761252446,21.40765881538391
0,1,0,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,27,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.4843444227005871,25.566041707992554
1,1,0,0,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,22,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.4432485322896282,30.371692657470703
1,1,0,1,1,0,0,kneighborsClassifier,NA,auto,nan,NA,12,NA,nan,NA,nan,nan,nan,1,NA,distance,0.7162426614481409,34.82813048362732
1,0,1,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,13,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8972602739726028,39.794798374176025
1,0,0,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,33,NA,nan,NA,nan,nan,nan,8,NA,distance,0.87573385518591,45.22411251068115
1,1,0,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8835616438356164,50.108880043029785
0,0,1,1,1,0,0,kneighborsClassifier,NA,brute,nan,NA,34,NA,nan,NA,nan,nan,nan,8,NA,distance,0.7054794520547946,55.155539751052856
1,1,1,1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,27,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8894324853228963,59.64389228820801
1,0,1,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,31,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9090019569471625,64.47261595726013
1,1,1,1,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,21,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8835616438356164,69.2163815498352
0,1,0,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,36,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8610567514677103,73.50451970100403
1,1,1,1,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8649706457925636,78.21883654594421
1,0,1,1,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,27,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8767123287671232,82.82067894935608
1,1,0,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,29,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8894324853228963,88.73359727859497
0,0,1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9001956947162426,93.39512395858765
1,1,1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,27,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.6203522504892368,98.19785189628601
1,0,0,1,1,1,0,kneighborsClassifier,NA,brute,nan,NA,29,NA,nan,NA,nan,nan,nan,3,NA,distance,0.7602739726027398,102.70175266265869
1,0,1,1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,11,NA,nan,NA,nan,nan,nan,1,NA,distance,0.837573385518591,108.01308584213257
0,0,1,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,21,NA,nan,NA,nan,nan,nan,4,NA,distance,0.87573385518591,112.42878794670105
0,0,1,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8718199608610567,117.47085642814636
0,0,1,1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,34,NA,nan,NA,nan,nan,nan,1,NA,distance,0.7847358121330724,122.25750803947449
1,0,0,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8806262230919765,128.3550682067871
0,0,0,0,1,0,1,kneighborsClassifier,NA,brute,nan,NA,18,NA,nan,NA,nan,nan,nan,1,NA,distance,0.761252446183953,133.25132203102112
1,1,0,0,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8933463796477495,138.95542216300964
1,0,1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,9,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9041095890410958,144.38885951042175
0,1,1,0,0,1,0,kneighborsClassifier,NA,brute,nan,NA,10,NA,nan,NA,nan,nan,nan,5,NA,distance,0.6800391389432485,149.31561541557312
1,0,1,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,12,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8845401174168297,154.19922351837158
1,0,0,0,0,1,1,kneighborsClassifier,NA,auto,nan,NA,3,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8307240704500979,159.84322547912598
1,1,0,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8904109589041096,164.8914692401886
0,0,0,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,20,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8649706457925636,169.96254968643188
1,0,0,0,0,1,0,kneighborsClassifier,NA,auto,nan,NA,25,NA,nan,NA,nan,nan,nan,4,NA,distance,0.3669275929549902,175.0940957069397
1,1,0,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,26,NA,nan,NA,nan,nan,nan,5,NA,distance,0.898238747553816,179.90226459503174
1,1,0,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8894324853228963,185.0188193321228
1,1,0,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,32,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8943248532289628,190.43846559524536
1,1,0,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8767123287671232,195.71790194511414
1,1,1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,19,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8904109589041096,200.74367928504944
1,0,0,1,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,3,NA,distance,0.7583170254403131,205.00097393989563
0,0,0,0,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,32,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8072407045009785,210.28894329071045
1,1,0,1,0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,6,NA,distance,0.6604696673189824,215.4130187034607
1,1,0,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8894324853228963,220.70328330993652
1,0,0,0,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,4,NA,distance,0.837573385518591,225.94159865379333
0,0,1,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,34,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8776908023483366,230.901043176651
1,0,1,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,35,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8992172211350293,236.1585555076599
1,0,1,0,1,0,1,kneighborsClassifier,NA,brute,nan,NA,33,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8894324853228963,241.07374835014343
1,1,1,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,7,NA,nan,NA,nan,nan,nan,6,NA,distance,0.898238747553816,246.32551836967468
0,0,1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8923679060665362,251.4591212272644
