feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,18,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9207436399217221,194.43868565559387
1,0,0,0,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,2,NA,distance,0.5596868884540117,199.3789529800415
1,1,1,1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,17,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8542074363992173,204.37640643119812
0,1,1,0,1,0,1,kneighborsClassifier,NA,brute,nan,NA,10,NA,nan,NA,nan,nan,nan,3,NA,distance,0.901174168297456,209.02089929580688
0,1,0,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,27,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8913894324853229,214.08328247070312
1,1,0,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9090019569471625,218.5764660835266
1,1,0,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8708414872798435,223.46478366851807
0,1,0,1,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8679060665362035,227.92826008796692
0,1,1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,8,NA,distance,0.9119373776908023,233.04360556602478
1,1,1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,6,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9178082191780822,238.21017456054688
0,0,1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,13,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9148727984344422,243.06564140319824
1,0,0,1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,16,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8845401174168297,247.65633726119995
0,1,1,1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,21,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8933463796477495,252.05225777626038
0,1,1,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,13,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9129158512720157,256.43674421310425
0,0,1,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,40,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9021526418786693,261.2617235183716
0,1,0,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8864970645792564,265.8746132850647
1,0,1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9119373776908023,270.7638170719147
0,0,1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,8,NA,distance,0.9070450097847358,275.6202700138092
1,0,1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,20,NA,nan,NA,nan,nan,nan,8,NA,distance,0.9129158512720157,280.36899733543396
1,0,0,1,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8786692759295499,285.24238324165344
1,1,1,0,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,28,NA,nan,NA,nan,nan,nan,2,NA,distance,0.898238747553816,290.0527300834656
1,0,1,0,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9178082191780822,294.5439381599426
1,1,1,1,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8003913894324853,299.3681399822235
1,0,0,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9031311154598826,304.5171983242035
0,1,1,0,0,0,1,kneighborsClassifier,NA,auto,nan,NA,35,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8228962818003914,309.27489709854126
1,1,0,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,8,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8649706457925636,313.94408655166626
1,1,1,0,1,0,1,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,8,NA,distance,0.9070450097847358,318.5939519405365
1,1,1,0,1,0,1,kneighborsClassifier,NA,brute,nan,NA,17,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9070450097847358,323.80494475364685
1,1,0,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,9,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9021526418786693,328.4393939971924
1,1,1,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,3,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9080234833659491,333.36357712745667
1,0,1,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,30,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9031311154598826,338.14010405540466
0,1,1,0,0,1,1,kneighborsClassifier,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8855185909980431,342.80805230140686
1,0,0,0,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,17,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8639921722113503,347.51215839385986
0,1,1,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,5,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9129158512720157,352.34510231018066
1,1,1,0,0,1,1,kneighborsClassifier,NA,auto,nan,NA,2,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8943248532289628,356.7177381515503
1,1,1,1,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,17,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9070450097847358,361.4307806491852
1,0,0,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,2,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9021526418786693,366.4341320991516
0,1,1,0,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8845401174168297,371.3383295536041
0,1,0,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8052837573385518,376.34784269332886
0,0,1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,40,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9168297455968689,381.27581119537354
0,0,1,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,3,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9148727984344422,385.7975060939789
1,0,1,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,13,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9119373776908023,391.2673647403717
1,1,1,0,1,1,1,nnClassifier,logistic,NA,20,NA,nan,constant,nan,NA,nan,nan,5,nan,lbfgs,NA,0.03131115459882583,402.4031558036804
1,1,0,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,30,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9119373776908023,407.0094184875488
