feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,65,auto,2,21,nan,nan,NA,NA,0.7309197651663405,6.183969259262085
1,1,1,0,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8297455968688845,11.205119848251343
1,1,0,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,20,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8923679060665362,16.134148120880127
0,0,0,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,1,NA,distance,0.87279843444227,20.55697536468506
1,1,0,0,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.48043052837573386,25.148333311080933
1,0,0,1,1,0,0,kneighborsClassifier,NA,brute,nan,NA,20,NA,nan,NA,nan,nan,nan,8,NA,distance,0.6311154598825832,29.968175649642944
0,1,0,0,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.2984344422700587,34.8519446849823
0,1,0,0,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8473581213307241,39.70619583129883
1,0,0,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,40,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9001956947162426,44.55752372741699
1,1,0,1,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.5048923679060665,48.78510928153992
0,1,0,0,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8111545988258317,53.21234130859375
0,0,0,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8473581213307241,58.18639874458313
