feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,1,0,0,nnClassifier,identity,NA,22,NA,nan,invscaling,nan,NA,nan,nan,10,nan,sgd,NA,0.0009784735812133072,12.450002193450928
1,1,0,1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,38,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.8796477495107632,16.988236665725708
0,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,auto,1,30,nan,nan,NA,NA,0.3659491193737769,22.009605169296265
0,1,0,1,0,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,1,NA,distance,0.26614481409001955,26.473928451538086
0,1,0,0,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.7084148727984344,30.89920425415039
1,0,0,1,0,0,1,kneighborsClassifier,NA,auto,nan,NA,20,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.41389432485322897,35.67598915100098
1,1,1,1,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,32,NA,nan,NA,nan,nan,nan,5,NA,distance,0.7592954990215264,40.399802446365356
0,1,1,0,1,1,1,nnClassifier,identity,NA,26,NA,nan,adaptive,nan,NA,nan,nan,6,nan,sgd,NA,0.007827788649706457,59.36903715133667
0,0,0,1,1,1,0,kneighborsClassifier,NA,brute,nan,NA,31,NA,nan,NA,nan,nan,nan,10,NA,distance,0.7270058708414873,63.95352530479431
1,1,0,1,0,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,7,NA,distance,0.4843444227005871,68.45581364631653
0,0,1,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.5391389432485323,72.98828458786011
1,1,1,1,0,1,0,kneighborsClassifier,NA,brute,nan,NA,40,NA,nan,NA,nan,nan,nan,4,NA,distance,0.7729941291585127,77.75083637237549
1,0,0,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,36,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.8825831702544031,82.24443364143372
1,0,1,1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,40,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.5313111545988258,86.70674157142639
