feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,0,1,0,1,0,nnClassifier,identity,NA,11,NA,nan,adaptive,nan,NA,nan,nan,3,nan,adam,NA,0.0,19.884141445159912
1,1,0,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,31,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.5547945205479452,24.189589023590088
0,0,0,0,1,0,0,kneighborsClassifier,NA,auto,nan,NA,29,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.21428571428571427,28.665822744369507
1,1,1,0,0,1,1,kneighborsClassifier,NA,brute,nan,NA,28,NA,nan,NA,nan,nan,nan,9,NA,distance,0.901174168297456,33.53044390678406
1,1,1,1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,25,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9090019569471625,38.15098738670349
1,1,1,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,22,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9119373776908023,42.667712926864624
0,1,0,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,13,NA,nan,NA,nan,nan,nan,3,NA,distance,0.87573385518591,47.08693790435791
1,0,1,0,0,1,1,kneighborsClassifier,NA,brute,nan,NA,23,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8884540117416829,52.028491497039795
0,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,88,auto,17,3,nan,nan,NA,NA,0.50293542074364,57.419726848602295
1,0,1,1,1,0,0,kneighborsClassifier,NA,auto,nan,NA,24,NA,nan,NA,nan,nan,nan,2,NA,distance,0.7690802348336595,62.24942374229431
0,1,1,0,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8424657534246576,66.43943309783936
