feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,72,sqrt,10,2,nan,nan,NA,NA,0.9749552772808586,5.964134216308594
0,0,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,13,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9785330948121646,10.95626187324524
0,0,1,1,0,0,nnClassifier,logistic,NA,24,NA,nan,invscaling,nan,NA,nan,nan,1,nan,lbfgs,NA,1.0,16.072580337524414
0,0,0,0,0,0,nnClassifier,identity,NA,25,NA,nan,invscaling,nan,NA,nan,nan,9,nan,adam,NA,0.0,20.961031198501587
1,1,0,1,1,0,nnClassifier,tanh,NA,14,NA,nan,invscaling,nan,NA,nan,nan,2,nan,adam,NA,1.0,31.5903742313385
0,0,0,1,1,1,nnClassifier,tanh,NA,8,NA,nan,invscaling,nan,NA,nan,nan,2,nan,adam,NA,1.0,45.5621120929718
0,0,0,1,1,0,nnClassifier,logistic,NA,19,NA,nan,invscaling,nan,NA,nan,nan,1,nan,lbfgs,NA,1.0,51.014976501464844
1,1,1,1,1,0,nnClassifier,relu,NA,19,NA,nan,constant,nan,NA,nan,nan,6,nan,adam,NA,1.0,58.596147775650024
1,0,0,1,1,1,nnClassifier,identity,NA,19,NA,nan,adaptive,nan,NA,nan,nan,4,nan,lbfgs,NA,1.0,63.806549072265625
1,0,1,0,0,1,nnClassifier,tanh,NA,9,NA,nan,constant,nan,NA,nan,nan,3,nan,sgd,NA,1.0,80.18347454071045
0,1,0,0,0,1,nnClassifier,relu,NA,25,NA,nan,adaptive,nan,NA,nan,nan,6,nan,lbfgs,NA,1.0,85.16260528564453
1,0,1,1,0,1,nnClassifier,tanh,NA,12,NA,nan,invscaling,nan,NA,nan,nan,9,nan,adam,NA,1.0,95.89828562736511
0,0,0,1,0,0,nnClassifier,identity,NA,31,NA,nan,constant,nan,NA,nan,nan,5,nan,sgd,NA,1.0,103.22980117797852
0,0,0,1,1,0,nnClassifier,tanh,NA,23,NA,nan,invscaling,nan,NA,nan,nan,6,nan,lbfgs,NA,1.0,108.1767189502716
1,1,0,1,0,1,nnClassifier,tanh,NA,32,NA,nan,invscaling,nan,NA,nan,nan,8,nan,adam,NA,1.0,116.80916142463684
