feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,0,1,0,nnClassifier,tanh,NA,29,NA,nan,constant,nan,NA,nan,nan,8,nan,adam,NA,1.0,9.069736003875732
0,1,1,0,0,0,nnClassifier,relu,NA,17,NA,nan,invscaling,nan,NA,nan,nan,5,nan,lbfgs,NA,1.0,14.397862195968628
0,1,1,0,0,0,nnClassifier,logistic,NA,30,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,1.0,34.51824235916138
1,0,0,1,1,0,nnClassifier,tanh,NA,27,NA,nan,constant,nan,NA,nan,nan,7,nan,lbfgs,NA,1.0,40.474132776260376
1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,90,auto,20,36,nan,nan,NA,NA,0.9758497316636852,46.3927104473114
0,0,0,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,8,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9821109123434705,51.03875708580017
1,0,1,0,0,1,nnClassifier,logistic,NA,31,NA,nan,invscaling,nan,NA,nan,nan,5,nan,adam,NA,1.0,61.927796363830566
1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,95,log2,3,40,nan,nan,NA,NA,0.9821109123434705,67.82837724685669
0,0,0,0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,20,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9794275491949911,73.0466365814209
1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,95,log2,12,3,nan,nan,NA,NA,0.9758497316636852,78.23112201690674
1,1,1,1,1,1,nnClassifier,relu,NA,15,NA,nan,constant,nan,NA,nan,nan,2,nan,adam,NA,1.0,86.52328252792358
0,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,95,log2,3,39,nan,nan,NA,NA,0.9785330948121646,91.81381368637085
0,0,0,0,0,1,kneighborsClassifier,NA,auto,nan,NA,13,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9561717352415027,96.94639444351196
0,1,1,1,1,0,nnClassifier,tanh,NA,9,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,1.0,102.2762725353241
0,0,0,1,1,1,nnClassifier,identity,NA,20,NA,nan,adaptive,nan,NA,nan,nan,1,nan,sgd,NA,1.0,116.78564739227295
0,0,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,37,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9785330948121646,121.60986995697021
0,1,0,1,1,0,kneighborsClassifier,NA,auto,nan,NA,28,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.983005366726297,126.87973260879517
1,0,0,1,0,0,nnClassifier,identity,NA,18,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,1.0,131.68535327911377
1,1,1,0,0,0,nnClassifier,tanh,NA,25,NA,nan,constant,nan,NA,nan,nan,5,nan,lbfgs,NA,1.0,136.70170331001282
1,1,1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,38,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9838998211091234,141.7125928401947
0,1,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,33,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9821109123434705,146.93791127204895
0,1,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,20,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9821109123434705,152.19800806045532
0,1,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,28,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.981216457960644,156.86700010299683
0,1,0,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,14,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9758497316636852,161.72828125953674
1,1,0,0,1,1,kneighborsClassifier,NA,auto,nan,NA,36,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.983005366726297,166.7003734111786
1,0,0,1,1,0,nnClassifier,logistic,NA,31,NA,nan,invscaling,nan,NA,nan,nan,9,nan,sgd,NA,1.0,186.9783182144165
1,1,0,0,0,1,nnClassifier,relu,NA,25,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,1.0,201.5872039794922
0,0,1,1,1,0,nnClassifier,identity,NA,26,NA,nan,constant,nan,NA,nan,nan,9,nan,adam,NA,1.0,208.5736403465271
