feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,1,0,0,0,kneighborsClassifier,NA,auto,nan,NA,34,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9677996422182469,5.260731935501099
0,0,0,1,0,1,nnClassifier,relu,NA,21,NA,nan,constant,nan,NA,nan,nan,6,nan,lbfgs,NA,1.0,9.803250074386597
1,1,1,0,0,1,nnClassifier,relu,NA,30,NA,nan,constant,nan,NA,nan,nan,3,nan,sgd,NA,1.0,17.83388042449951
1,1,0,1,1,0,nnClassifier,identity,NA,25,NA,nan,constant,nan,NA,nan,nan,10,nan,adam,NA,1.0,23.72809934616089
1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,97,log2,11,9,nan,nan,NA,NA,0.9838998211091234,29.0768563747406
0,1,0,0,0,0,kneighborsClassifier,NA,auto,nan,NA,12,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9758497316636852,33.9158673286438
1,1,1,1,0,1,nnClassifier,relu,NA,15,NA,nan,adaptive,nan,NA,nan,nan,1,nan,lbfgs,NA,1.0,38.333446979522705
0,0,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,26,auto,11,33,nan,nan,NA,NA,0.9758497316636852,43.304232597351074
1,0,0,0,0,0,nnClassifier,tanh,NA,27,NA,nan,constant,nan,NA,nan,nan,4,nan,adam,NA,1.0,52.202351808547974
0,1,1,1,0,0,nnClassifier,logistic,NA,26,NA,nan,adaptive,nan,NA,nan,nan,10,nan,lbfgs,NA,1.0,57.10440278053284
0,1,1,1,0,0,nnClassifier,identity,NA,26,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,1.0,63.44448137283325
