feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,14,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9767441860465116,5.312307834625244
0,0,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,57,log2,12,9,nan,nan,NA,NA,0.9767441860465116,10.621841192245483
1,1,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,14,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9856887298747764,15.573532819747925
1,1,0,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9856887298747764,20.920845985412598
1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,100,auto,3,13,nan,nan,NA,NA,0.9785330948121646,26.57753086090088
0,1,1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,31,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9776386404293381,31.476233959197998
1,0,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,11,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9749552772808586,35.969889640808105
0,0,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.981216457960644,41.18503260612488
1,1,0,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9821109123434705,46.14906430244446
1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,68,sqrt,11,36,nan,nan,NA,NA,0.9776386404293381,51.95865321159363
0,0,0,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,21,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9785330948121646,56.461448669433594
1,1,1,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,9,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9821109123434705,60.560362100601196
1,1,0,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,14,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9856887298747764,65.2444326877594
1,1,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9865831842576028,69.79180431365967
1,0,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,36,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9794275491949911,74.4063823223114
0,1,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,32,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9838998211091234,79.33325839042664
0,1,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,5,NA,distance,0.981216457960644,84.54140758514404
1,1,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,27,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9865831842576028,89.39679265022278
1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,15,log2,5,38,nan,nan,NA,NA,0.9821109123434705,95.29966378211975
1,1,1,0,1,0,kneighborsClassifier,NA,auto,nan,NA,28,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9803220035778175,99.92251253128052
1,0,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,4,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9776386404293381,104.52487134933472
1,1,1,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9821109123434705,109.26086711883545
1,1,1,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,30,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9856887298747764,114.24816298484802
0,1,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,14,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.981216457960644,118.90612149238586
0,1,0,1,0,1,kneighborsClassifier,NA,brute,nan,NA,20,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.9838998211091234,123.82773613929749
1,1,0,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9838998211091234,128.81833219528198
1,1,1,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9856887298747764,133.78066229820251
1,1,1,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,30,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9821109123434705,138.64861631393433
1,1,1,1,0,0,kneighborsClassifier,NA,brute,nan,NA,40,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9856887298747764,143.53812193870544
1,1,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,20,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9856887298747764,148.45644783973694
1,1,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9838998211091234,153.53512954711914
1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,54,auto,18,40,nan,nan,NA,NA,0.9803220035778175,158.5125343799591
0,1,1,1,0,0,kneighborsClassifier,NA,auto,nan,NA,40,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9767441860465116,163.19166254997253
1,1,1,1,0,0,kneighborsClassifier,NA,auto,nan,NA,28,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.981216457960644,167.7655963897705
0,1,1,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9713774597495528,171.98230528831482
1,1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,1,NA,distance,0.983005366726297,176.61356687545776
0,1,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.981216457960644,181.21947145462036
1,1,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,4,NA,distance,0.983005366726297,185.58573985099792
