feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,0,0,0,nnClassifier,logistic,NA,29,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,1.0,10.195234537124634
0,1,0,1,1,0,kneighborsClassifier,NA,brute,nan,NA,32,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9767441860465116,15.041252851486206
1,0,0,1,0,1,nnClassifier,logistic,NA,28,NA,nan,adaptive,nan,NA,nan,nan,9,nan,sgd,NA,1.0,31.415793418884277
1,1,1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9803220035778175,36.07930660247803
0,0,0,1,0,0,nnClassifier,relu,NA,8,NA,nan,adaptive,nan,NA,nan,nan,9,nan,sgd,NA,1.0,65.88378047943115
0,0,1,0,1,1,nnClassifier,relu,NA,19,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,1.0,73.72977542877197
1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,15,log2,18,26,nan,nan,NA,NA,0.9776386404293381,78.68272137641907
1,0,0,1,0,1,nnClassifier,tanh,NA,13,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,1.0,84.02156233787537
0,1,0,1,1,0,kneighborsClassifier,NA,brute,nan,NA,13,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9704830053667263,88.8622043132782
0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,51,sqrt,9,38,nan,nan,NA,NA,0.9704830053667263,94.55875730514526
0,1,0,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9794275491949911,99.48039031028748
1,1,1,1,0,1,nnClassifier,identity,NA,21,NA,nan,adaptive,nan,NA,nan,nan,2,nan,adam,NA,1.0,106.48413801193237
1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,49,sqrt,1,7,nan,nan,NA,NA,0.9803220035778175,111.99830436706543
0,0,0,0,0,1,nnClassifier,tanh,NA,28,NA,nan,adaptive,nan,NA,nan,nan,7,nan,sgd,NA,1.0,128.3811354637146
0,0,1,0,1,1,nnClassifier,logistic,NA,30,NA,nan,invscaling,nan,NA,nan,nan,2,nan,sgd,NA,1.0,149.24841785430908
1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,30,sqrt,7,36,nan,nan,NA,NA,0.9794275491949911,155.1768388748169
0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,100,sqrt,1,2,nan,nan,NA,NA,0.9803220035778175,160.68548321723938
1,1,1,1,0,1,nnClassifier,relu,NA,11,NA,nan,constant,nan,NA,nan,nan,6,nan,adam,NA,1.0,170.48982954025269
1,0,0,1,1,1,nnClassifier,relu,NA,14,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,1.0,207.260400056839
1,0,1,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9713774597495528,212.11139249801636
1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,48,sqrt,2,31,nan,nan,NA,NA,0.981216457960644,217.49682068824768
1,0,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,42,sqrt,2,5,nan,nan,NA,NA,0.9713774597495528,223.54730367660522
1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,34,sqrt,2,30,nan,nan,NA,NA,0.9758497316636852,228.8245656490326
0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,89,sqrt,20,10,nan,nan,NA,NA,0.9785330948121646,234.2657492160797
1,1,0,1,0,1,kneighborsClassifier,NA,brute,nan,NA,11,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9767441860465116,239.09267950057983
1,0,0,0,0,1,nnClassifier,relu,NA,20,NA,nan,adaptive,nan,NA,nan,nan,10,nan,lbfgs,NA,1.0,243.94376683235168
0,0,1,1,0,0,nnClassifier,tanh,NA,18,NA,nan,invscaling,nan,NA,nan,nan,7,nan,lbfgs,NA,1.0,249.02839636802673
0,0,1,1,0,0,nnClassifier,identity,NA,24,NA,nan,constant,nan,NA,nan,nan,7,nan,adam,NA,1.0,255.33440160751343
0,0,1,1,1,1,nnClassifier,tanh,NA,9,NA,nan,adaptive,nan,NA,nan,nan,4,nan,adam,NA,1.0,267.61276412010193
0,1,0,1,1,0,nnClassifier,relu,NA,25,NA,nan,constant,nan,NA,nan,nan,7,nan,lbfgs,NA,1.0,272.3118176460266
1,1,1,0,1,0,nnClassifier,logistic,NA,12,NA,nan,adaptive,nan,NA,nan,nan,1,nan,sgd,NA,1.0,300.7376375198364
0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,52,sqrt,1,40,nan,nan,NA,NA,0.9767441860465116,306.07962226867676
