activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,29,entropy,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,6,invscaling,34,sqrt,9,6,nnClassifier,2,2,sgd,distance,0.0
tanh,kd_tree,9,gini,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,16,invscaling,43,auto,18,4,randomForestClassifier,7,8,lbfgs,uniform,0.9157509157509157
relu,brute,10,gini,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,29,adaptive,74,sqrt,10,22,kneighborsClassifier,1,2,lbfgs,distance,0.8553113553113553
relu,ball_tree,8,entropy,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,6,constant,43,auto,5,8,nnClassifier,3,7,sgd,distance,0.32783882783882784
relu,brute,28,gini,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,3,constant,21,auto,19,35,kneighborsClassifier,5,5,lbfgs,distance,0.8827838827838828
tanh,kd_tree,29,entropy,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,38,invscaling,21,sqrt,7,29,kneighborsClassifier,3,4,lbfgs,distance,0.8937728937728938
tanh,auto,8,entropy,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,3,invscaling,5,log2,13,25,randomForestClassifier,3,5,adam,uniform,0.9597069597069597
relu,brute,29,gini,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,4,constant,48,log2,12,9,kneighborsClassifier,9,10,lbfgs,uniform,0.826007326007326
identity,brute,24,entropy,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,15,invscaling,92,auto,16,19,randomForestClassifier,8,3,sgd,distance,0.9706959706959707
tanh,ball_tree,29,entropy,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,34,constant,62,sqrt,8,22,kneighborsClassifier,1,10,lbfgs,uniform,0.8241758241758241
logistic,kd_tree,31,gini,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,9,constant,85,sqrt,8,11,randomForestClassifier,9,7,lbfgs,uniform,0.9029304029304029
relu,kd_tree,13,entropy,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,36,adaptive,33,log2,4,16,nnClassifier,4,3,lbfgs,uniform,0.3131868131868132
tanh,ball_tree,23,entropy,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,36,adaptive,98,log2,2,17,nnClassifier,8,9,lbfgs,uniform,0.315018315018315
relu,brute,24,gini,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,14,adaptive,14,log2,4,35,kneighborsClassifier,10,9,sgd,distance,0.9010989010989011
relu,ball_tree,15,gini,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,8,adaptive,30,auto,20,36,randomForestClassifier,10,9,lbfgs,uniform,0.8736263736263736
relu,ball_tree,28,entropy,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,6,adaptive,46,log2,15,7,kneighborsClassifier,3,7,sgd,distance,0.8186813186813187
identity,ball_tree,26,gini,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,36,invscaling,12,log2,2,26,randomForestClassifier,6,6,lbfgs,distance,0.9578754578754579
relu,ball_tree,32,entropy,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,24,adaptive,81,auto,10,25,randomForestClassifier,3,4,adam,uniform,0.9175824175824175
logistic,ball_tree,20,entropy,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,9,invscaling,53,log2,18,3,kneighborsClassifier,1,9,lbfgs,uniform,0.8589743589743589
tanh,auto,26,gini,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,20,constant,33,log2,3,21,nnClassifier,9,3,sgd,distance,0.326007326007326
logistic,brute,8,gini,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,27,adaptive,54,log2,8,10,kneighborsClassifier,2,9,lbfgs,uniform,0.8644688644688645
logistic,ball_tree,17,entropy,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,16,invscaling,45,log2,16,38,nnClassifier,8,4,lbfgs,distance,0.30952380952380953
logistic,auto,17,gini,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,12,invscaling,76,log2,17,31,nnClassifier,8,8,lbfgs,uniform,0.3076923076923077
identity,kd_tree,31,gini,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,8,adaptive,48,sqrt,2,7,kneighborsClassifier,1,6,lbfgs,uniform,0.8736263736263736
logistic,auto,26,entropy,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,19,constant,100,sqrt,9,10,randomForestClassifier,9,7,adam,distance,0.9285714285714286
relu,auto,29,entropy,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,24,constant,63,log2,10,7,kneighborsClassifier,4,2,sgd,distance,0.836996336996337
logistic,kd_tree,9,entropy,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,35,constant,12,sqrt,3,2,nnClassifier,1,10,lbfgs,distance,0.0
relu,brute,14,entropy,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,4,invscaling,36,log2,12,34,randomForestClassifier,7,10,adam,uniform,0.9871794871794872
relu,kd_tree,9,gini,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,30,adaptive,70,sqrt,9,11,nnClassifier,8,5,adam,uniform,0.32051282051282054
identity,auto,20,entropy,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,23,constant,12,sqrt,4,13,kneighborsClassifier,8,2,adam,distance,0.8663003663003663
relu,auto,18,gini,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,30,constant,84,sqrt,19,13,nnClassifier,3,4,lbfgs,distance,0.2948717948717949
