activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,26,gini,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,20,constant,44,auto,19,25,nnClassifier,10,2,sgd,distance,0.21245421245421245
identity,brute,28,entropy,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,22,invscaling,36,auto,13,37,kneighborsClassifier,4,9,adam,uniform,0.8406593406593407
logistic,brute,15,entropy,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,31,adaptive,100,auto,8,21,nnClassifier,4,4,lbfgs,uniform,0.358974358974359
logistic,kd_tree,24,gini,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,15,adaptive,3,auto,17,16,randomForestClassifier,1,6,adam,uniform,0.7655677655677655
relu,kd_tree,18,gini,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,21,constant,91,sqrt,18,22,kneighborsClassifier,5,8,lbfgs,distance,0.8461538461538461
logistic,ball_tree,9,entropy,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,17,invscaling,27,log2,6,15,kneighborsClassifier,3,4,lbfgs,uniform,0.8186813186813187
logistic,kd_tree,24,gini,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,9,constant,65,auto,7,27,randomForestClassifier,8,8,lbfgs,distance,0.9212454212454212
relu,auto,18,gini,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2,adaptive,9,auto,15,13,kneighborsClassifier,1,2,adam,distance,0.9102564102564102
tanh,auto,22,entropy,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,38,adaptive,44,log2,19,24,nnClassifier,7,1,lbfgs,uniform,0.32783882783882784
relu,auto,31,entropy,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,26,constant,56,sqrt,18,13,nnClassifier,9,5,lbfgs,uniform,0.33882783882783885
logistic,kd_tree,17,gini,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,9,constant,22,log2,3,6,randomForestClassifier,4,3,adam,distance,0.9871794871794872
tanh,ball_tree,19,gini,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,20,adaptive,56,sqrt,19,2,nnClassifier,10,10,lbfgs,distance,0.326007326007326
tanh,brute,15,entropy,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,40,constant,33,auto,7,22,randomForestClassifier,9,1,lbfgs,distance,0.9157509157509157
relu,ball_tree,28,gini,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,18,constant,47,auto,19,14,nnClassifier,5,5,sgd,distance,0.32967032967032966
tanh,kd_tree,31,entropy,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,35,adaptive,3,log2,4,9,randomForestClassifier,2,10,adam,uniform,0.8003663003663004
relu,kd_tree,23,entropy,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,20,constant,81,auto,5,12,kneighborsClassifier,3,5,lbfgs,uniform,0.8021978021978022
identity,brute,17,gini,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,invscaling,88,auto,13,18,nnClassifier,9,7,sgd,uniform,0.08608058608058608
tanh,auto,22,entropy,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,14,constant,79,log2,16,8,kneighborsClassifier,4,5,lbfgs,distance,0.8315018315018315
logistic,auto,25,entropy,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,21,constant,87,log2,8,21,randomForestClassifier,7,9,sgd,uniform,0.9761904761904762
identity,auto,26,entropy,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,23,adaptive,82,sqrt,3,9,nnClassifier,2,5,adam,uniform,0.18864468864468864
tanh,auto,24,entropy,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,15,invscaling,96,log2,16,39,kneighborsClassifier,5,1,sgd,distance,0.8901098901098901
relu,auto,14,entropy,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,20,constant,95,auto,3,36,nnClassifier,2,6,adam,distance,0.34615384615384615
identity,kd_tree,10,gini,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,adaptive,20,sqrt,6,7,randomForestClassifier,4,9,lbfgs,uniform,0.9926739926739927
logistic,auto,24,entropy,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,31,invscaling,48,auto,18,5,nnClassifier,5,1,sgd,distance,0.0
relu,ball_tree,24,gini,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,14,constant,50,sqrt,16,35,randomForestClassifier,3,2,lbfgs,distance,0.9175824175824175
tanh,ball_tree,26,gini,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,40,invscaling,96,log2,14,19,nnClassifier,6,7,sgd,uniform,0.2326007326007326
relu,kd_tree,23,gini,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,38,invscaling,57,auto,3,29,kneighborsClassifier,4,8,adam,uniform,0.7948717948717948
relu,auto,8,entropy,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,16,adaptive,91,auto,2,29,nnClassifier,6,9,sgd,uniform,0.3516483516483517
tanh,brute,9,entropy,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,11,adaptive,89,auto,17,7,kneighborsClassifier,4,1,lbfgs,distance,0.9120879120879121
tanh,auto,21,entropy,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,7,adaptive,81,sqrt,13,13,kneighborsClassifier,10,10,sgd,uniform,0.826007326007326
logistic,kd_tree,11,entropy,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,34,adaptive,91,auto,14,37,nnClassifier,5,5,adam,distance,0.2600732600732601
relu,ball_tree,21,entropy,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,33,constant,31,sqrt,12,39,nnClassifier,7,9,sgd,distance,0.29853479853479853
logistic,auto,30,gini,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,9,invscaling,32,auto,19,13,randomForestClassifier,1,3,sgd,distance,0.9706959706959707
relu,auto,23,gini,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,2,invscaling,92,sqrt,7,13,randomForestClassifier,10,10,lbfgs,uniform,0.967032967032967
relu,brute,25,entropy,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,30,constant,70,auto,9,29,nnClassifier,4,2,lbfgs,distance,0.32234432234432236
identity,kd_tree,26,entropy,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,36,adaptive,77,log2,19,35,kneighborsClassifier,2,6,adam,uniform,0.8626373626373627
relu,kd_tree,24,entropy,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,36,constant,54,log2,13,39,randomForestClassifier,10,5,sgd,distance,0.9688644688644689
relu,auto,12,entropy,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,11,adaptive,13,log2,13,36,nnClassifier,5,1,sgd,distance,0.33516483516483514
relu,brute,21,gini,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,35,invscaling,37,log2,2,37,kneighborsClassifier,7,6,adam,distance,0.8846153846153846
logistic,kd_tree,13,entropy,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,38,constant,68,log2,2,29,kneighborsClassifier,4,5,lbfgs,distance,0.891941391941392
logistic,ball_tree,32,gini,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,16,invscaling,55,log2,14,15,randomForestClassifier,4,3,sgd,distance,0.989010989010989
tanh,ball_tree,24,gini,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2,constant,72,auto,4,7,kneighborsClassifier,10,3,lbfgs,distance,0.8681318681318682
identity,kd_tree,28,gini,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,13,invscaling,47,log2,17,12,kneighborsClassifier,9,6,sgd,uniform,0.8241758241758241
tanh,brute,28,entropy,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,40,constant,20,log2,5,3,randomForestClassifier,6,3,adam,distance,0.9029304029304029
identity,brute,23,entropy,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,32,adaptive,100,sqrt,16,11,kneighborsClassifier,5,3,adam,uniform,0.7967032967032966
identity,auto,24,entropy,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,34,invscaling,31,sqrt,11,8,nnClassifier,10,10,sgd,distance,0.28205128205128205
identity,ball_tree,17,gini,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,22,adaptive,77,sqrt,2,6,nnClassifier,7,10,sgd,distance,0.17399267399267399
identity,kd_tree,31,gini,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,21,invscaling,23,log2,18,29,nnClassifier,7,2,sgd,uniform,0.11355311355311355
relu,brute,15,entropy,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,10,constant,36,auto,15,22,nnClassifier,7,2,lbfgs,uniform,0.3498168498168498
logistic,ball_tree,28,entropy,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,6,invscaling,47,sqrt,12,40,nnClassifier,10,8,sgd,uniform,0.0
identity,ball_tree,18,entropy,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,31,invscaling,18,auto,18,28,nnClassifier,9,2,sgd,distance,0.2893772893772894
tanh,brute,17,gini,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,17,invscaling,84,auto,2,37,randomForestClassifier,8,1,adam,distance,0.9761904761904762
relu,auto,27,gini,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,24,constant,64,auto,3,30,randomForestClassifier,5,8,lbfgs,uniform,0.978021978021978
logistic,kd_tree,19,entropy,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,23,adaptive,4,sqrt,4,6,nnClassifier,6,5,adam,distance,0.3058608058608059
logistic,auto,22,gini,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,23,constant,82,auto,12,2,kneighborsClassifier,6,1,sgd,uniform,0.8424908424908425
tanh,kd_tree,32,entropy,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,4,adaptive,92,auto,9,33,kneighborsClassifier,6,7,lbfgs,distance,0.86996336996337
logistic,kd_tree,22,gini,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,39,adaptive,42,log2,11,11,kneighborsClassifier,2,10,lbfgs,uniform,0.793040293040293
identity,kd_tree,20,entropy,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,26,invscaling,3,sqrt,18,9,kneighborsClassifier,7,1,adam,distance,0.8754578754578755
logistic,ball_tree,23,entropy,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,38,constant,53,log2,16,19,randomForestClassifier,2,5,lbfgs,uniform,0.86996336996337
logistic,brute,28,entropy,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,25,adaptive,59,log2,8,21,nnClassifier,2,3,sgd,uniform,0.24175824175824176
identity,ball_tree,30,gini,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,33,invscaling,65,sqrt,19,22,randomForestClassifier,1,8,adam,distance,0.9633699633699634
tanh,ball_tree,8,gini,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,28,adaptive,8,sqrt,5,38,randomForestClassifier,1,7,lbfgs,distance,0.8992673992673993
relu,kd_tree,29,gini,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,15,adaptive,2,log2,15,30,randomForestClassifier,9,1,adam,uniform,0.9010989010989011
tanh,brute,20,gini,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,9,invscaling,13,auto,15,6,kneighborsClassifier,3,3,adam,uniform,0.8553113553113553
