activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,17,gini,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,38,adaptive,5,auto,16,16,kneighborsClassifier,10,10,adam,uniform,0.8553113553113553
identity,brute,23,gini,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,13,adaptive,7,log2,18,14,randomForestClassifier,7,7,sgd,distance,0.8498168498168498
logistic,kd_tree,15,entropy,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,33,constant,48,auto,7,3,nnClassifier,10,6,sgd,uniform,0.21978021978021978
logistic,kd_tree,32,gini,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,25,adaptive,75,auto,12,33,kneighborsClassifier,8,6,lbfgs,uniform,0.836996336996337
tanh,auto,19,gini,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,34,invscaling,63,sqrt,12,36,nnClassifier,2,8,sgd,distance,0.21611721611721613
identity,kd_tree,11,entropy,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,24,constant,48,log2,11,17,nnClassifier,1,5,adam,distance,0.2802197802197802
logistic,ball_tree,26,gini,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,26,invscaling,99,log2,5,17,kneighborsClassifier,9,9,lbfgs,uniform,0.7692307692307693
relu,kd_tree,13,entropy,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,29,constant,12,sqrt,7,25,kneighborsClassifier,4,5,sgd,distance,0.9102564102564102
identity,ball_tree,22,entropy,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,8,constant,88,auto,2,8,kneighborsClassifier,6,5,lbfgs,uniform,0.8992673992673993
tanh,kd_tree,31,gini,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,31,invscaling,61,log2,11,7,randomForestClassifier,8,8,sgd,uniform,0.9761904761904762
identity,kd_tree,14,entropy,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,34,invscaling,17,sqrt,16,26,nnClassifier,5,6,adam,distance,0.304029304029304
relu,kd_tree,20,gini,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,6,invscaling,88,sqrt,5,24,kneighborsClassifier,3,9,sgd,uniform,0.8608058608058609
logistic,ball_tree,14,entropy,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,14,adaptive,100,sqrt,15,35,nnClassifier,3,4,sgd,distance,0.31868131868131866
identity,kd_tree,31,entropy,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,6,constant,57,auto,19,27,nnClassifier,2,1,sgd,uniform,0.28205128205128205
identity,brute,18,gini,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,21,invscaling,15,log2,10,22,kneighborsClassifier,7,7,sgd,distance,0.8681318681318682
logistic,auto,13,gini,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,2,constant,26,auto,11,8,nnClassifier,10,1,sgd,uniform,0.2765567765567766
tanh,auto,28,gini,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,35,invscaling,96,log2,15,38,randomForestClassifier,6,1,lbfgs,distance,0.945054945054945
logistic,kd_tree,16,gini,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,18,constant,93,log2,7,7,kneighborsClassifier,10,5,adam,distance,0.8131868131868132
logistic,ball_tree,21,entropy,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,30,adaptive,51,auto,20,34,nnClassifier,3,9,sgd,uniform,0.2490842490842491
relu,kd_tree,8,entropy,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,30,invscaling,34,sqrt,5,27,kneighborsClassifier,8,6,adam,uniform,0.8461538461538461
relu,kd_tree,14,entropy,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,34,invscaling,100,log2,10,38,nnClassifier,10,10,sgd,distance,0.11904761904761904
identity,auto,22,gini,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,7,invscaling,56,auto,8,38,nnClassifier,9,4,sgd,distance,0.24358974358974358
relu,brute,8,entropy,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,35,constant,74,auto,13,9,randomForestClassifier,1,2,sgd,distance,0.9487179487179487
relu,brute,16,gini,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,24,invscaling,64,log2,20,20,randomForestClassifier,6,3,adam,uniform,0.8956043956043956
tanh,auto,13,entropy,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,36,constant,58,auto,14,5,nnClassifier,3,1,lbfgs,uniform,0.358974358974359
logistic,kd_tree,22,entropy,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,33,adaptive,89,log2,7,39,kneighborsClassifier,9,4,adam,uniform,0.8205128205128205
tanh,kd_tree,13,entropy,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,4,adaptive,3,sqrt,16,27,nnClassifier,6,8,adam,distance,0.336996336996337
tanh,brute,31,gini,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,4,invscaling,87,auto,12,29,nnClassifier,4,4,sgd,distance,0.0695970695970696
relu,auto,11,entropy,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,15,invscaling,34,log2,14,7,kneighborsClassifier,9,6,lbfgs,distance,0.8937728937728938
relu,brute,20,gini,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,15,adaptive,31,log2,17,9,randomForestClassifier,2,1,adam,uniform,0.9139194139194139
logistic,auto,30,gini,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,9,adaptive,40,sqrt,20,20,randomForestClassifier,8,9,adam,distance,0.8717948717948718
tanh,ball_tree,30,gini,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,4,adaptive,55,sqrt,8,26,kneighborsClassifier,8,3,adam,uniform,0.8278388278388278
relu,auto,30,gini,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,38,constant,35,sqrt,19,36,kneighborsClassifier,7,3,adam,uniform,0.8864468864468864
identity,kd_tree,20,gini,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,8,adaptive,69,auto,14,35,nnClassifier,2,3,adam,distance,0.22893772893772893
logistic,kd_tree,20,gini,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,13,invscaling,95,sqrt,8,6,randomForestClassifier,1,9,sgd,uniform,0.9468864468864469
logistic,brute,32,gini,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,15,invscaling,14,auto,13,31,kneighborsClassifier,2,5,adam,uniform,0.8223443223443223
identity,kd_tree,26,gini,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,34,adaptive,76,auto,5,29,kneighborsClassifier,8,4,lbfgs,distance,0.9047619047619048
tanh,brute,10,entropy,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,21,adaptive,38,log2,16,10,nnClassifier,2,1,adam,distance,0.36813186813186816
logistic,ball_tree,12,entropy,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,18,invscaling,67,log2,17,39,nnClassifier,4,6,adam,distance,0.336996336996337
tanh,auto,19,entropy,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,26,constant,83,log2,9,31,kneighborsClassifier,6,9,sgd,uniform,0.7948717948717948
logistic,ball_tree,20,entropy,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,29,invscaling,72,log2,6,26,kneighborsClassifier,9,1,sgd,uniform,0.8809523809523809
logistic,brute,15,gini,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,14,constant,16,sqrt,3,31,kneighborsClassifier,1,5,sgd,distance,0.9029304029304029
relu,auto,24,gini,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,2,invscaling,39,sqrt,13,40,randomForestClassifier,9,3,lbfgs,uniform,0.9597069597069597
identity,ball_tree,28,entropy,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,2,adaptive,32,auto,11,10,randomForestClassifier,4,8,adam,distance,0.9633699633699634
relu,ball_tree,25,entropy,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,14,adaptive,31,sqrt,3,27,nnClassifier,10,1,sgd,uniform,0.3443223443223443
relu,auto,19,entropy,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,9,invscaling,5,sqrt,14,2,kneighborsClassifier,2,3,lbfgs,distance,0.8498168498168498
identity,auto,15,gini,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,32,constant,3,sqrt,3,32,kneighborsClassifier,5,3,adam,uniform,0.8809523809523809
identity,brute,25,gini,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,11,constant,41,log2,12,3,randomForestClassifier,4,4,sgd,uniform,0.9175824175824175
relu,ball_tree,21,gini,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,40,invscaling,17,log2,12,6,kneighborsClassifier,1,5,lbfgs,distance,0.8553113553113553
identity,auto,19,gini,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,33,adaptive,13,sqrt,17,33,randomForestClassifier,2,10,adam,uniform,0.9706959706959707
