activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,14,gini,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,29,adaptive,45,sqrt,20,8,randomForestClassifier,6,8,sgd,uniform,0.945054945054945
relu,brute,13,gini,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,35,constant,58,log2,9,37,kneighborsClassifier,3,7,lbfgs,uniform,0.8681318681318682
identity,ball_tree,25,gini,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,21,constant,99,auto,3,13,nnClassifier,7,7,adam,distance,0.16666666666666666
identity,ball_tree,16,gini,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,17,constant,82,auto,6,37,randomForestClassifier,10,6,lbfgs,uniform,0.9065934065934066
identity,kd_tree,25,gini,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,34,adaptive,33,sqrt,6,40,randomForestClassifier,2,6,lbfgs,distance,0.9835164835164835
tanh,kd_tree,30,gini,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,adaptive,30,log2,19,13,kneighborsClassifier,2,4,adam,distance,0.8315018315018315
logistic,auto,28,gini,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,35,constant,1,log2,3,28,kneighborsClassifier,6,10,adam,distance,0.8351648351648352
logistic,auto,13,gini,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,21,adaptive,72,sqrt,6,29,nnClassifier,4,5,adam,distance,0.2619047619047619
relu,brute,11,gini,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,4,constant,81,auto,5,6,nnClassifier,6,3,lbfgs,distance,0.315018315018315
tanh,ball_tree,30,entropy,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,26,adaptive,55,sqrt,9,6,kneighborsClassifier,10,2,lbfgs,distance,0.8717948717948718
