activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,9,entropy,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,40,adaptive,68,log2,16,30,nnClassifier,7,7,adam,distance,0.32234432234432236
identity,auto,17,gini,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,20,adaptive,12,log2,9,28,randomForestClassifier,7,2,sgd,uniform,0.9908424908424909
logistic,auto,9,entropy,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,24,adaptive,78,auto,8,16,nnClassifier,2,10,adam,distance,0.3626373626373626
identity,kd_tree,14,gini,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,39,invscaling,100,sqrt,16,9,nnClassifier,2,2,lbfgs,distance,0.1684981684981685
identity,kd_tree,21,gini,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,30,invscaling,88,log2,11,21,kneighborsClassifier,7,9,adam,distance,0.8516483516483516
identity,kd_tree,30,entropy,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,31,adaptive,9,log2,7,36,kneighborsClassifier,5,5,sgd,distance,0.9194139194139194
identity,ball_tree,25,gini,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,40,invscaling,59,log2,12,15,nnClassifier,6,6,adam,distance,0.25457875457875456
logistic,kd_tree,13,gini,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,28,constant,33,auto,8,34,kneighborsClassifier,6,9,lbfgs,uniform,0.7985347985347986
identity,auto,14,gini,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,39,invscaling,65,sqrt,20,7,randomForestClassifier,5,2,lbfgs,uniform,0.9102564102564102
tanh,ball_tree,25,entropy,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,31,adaptive,54,auto,11,28,randomForestClassifier,9,5,adam,uniform,0.9047619047619048
logistic,kd_tree,19,gini,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,27,invscaling,61,auto,13,30,nnClassifier,10,3,adam,uniform,0.32234432234432236
logistic,auto,9,entropy,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,10,constant,57,log2,18,22,randomForestClassifier,8,9,lbfgs,distance,0.9835164835164835
identity,kd_tree,13,gini,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,12,constant,2,sqrt,3,5,kneighborsClassifier,5,1,lbfgs,distance,0.8827838827838828
tanh,kd_tree,32,gini,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,16,adaptive,28,auto,3,26,kneighborsClassifier,2,10,adam,distance,0.847985347985348
identity,auto,24,entropy,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,34,invscaling,60,log2,18,27,randomForestClassifier,6,10,adam,uniform,0.9615384615384616
identity,ball_tree,15,entropy,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,21,invscaling,59,sqrt,11,27,kneighborsClassifier,6,5,sgd,uniform,0.7875457875457875
relu,brute,19,entropy,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,6,adaptive,89,sqrt,11,7,nnClassifier,9,2,adam,distance,0.32051282051282054
identity,ball_tree,22,entropy,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,10,constant,16,auto,18,26,kneighborsClassifier,8,3,sgd,uniform,0.7912087912087912
relu,ball_tree,9,gini,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,17,constant,16,log2,2,29,kneighborsClassifier,4,8,lbfgs,distance,0.9029304029304029
logistic,kd_tree,24,gini,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,3,adaptive,26,log2,16,37,nnClassifier,1,8,sgd,distance,0.0
identity,auto,10,entropy,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,10,invscaling,77,log2,7,12,kneighborsClassifier,2,6,lbfgs,distance,0.9120879120879121
tanh,ball_tree,14,entropy,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,40,adaptive,86,auto,13,9,kneighborsClassifier,7,7,adam,uniform,0.8131868131868132
identity,auto,28,gini,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,15,constant,48,sqrt,7,38,nnClassifier,1,9,adam,distance,0.07692307692307693
tanh,ball_tree,24,entropy,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,37,adaptive,58,sqrt,3,26,randomForestClassifier,9,5,sgd,distance,0.9029304029304029
relu,ball_tree,15,entropy,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,2,constant,8,auto,7,19,kneighborsClassifier,9,10,lbfgs,uniform,0.7912087912087912
relu,kd_tree,32,entropy,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,28,adaptive,84,sqrt,12,7,randomForestClassifier,10,8,lbfgs,distance,0.8901098901098901
identity,kd_tree,23,entropy,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,21,adaptive,15,sqrt,12,31,kneighborsClassifier,1,10,adam,distance,0.826007326007326
tanh,auto,16,gini,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,4,constant,11,auto,11,40,nnClassifier,8,8,adam,distance,0.3241758241758242
