feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,0,0,nnClassifier,relu,NA,13,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,0.5851851851851851,21.668501615524292
1,1,1,0,0,nnClassifier,tanh,NA,8,NA,nan,adaptive,nan,NA,nan,nan,4,nan,adam,NA,0.5574074074074075,56.57752561569214
0,1,0,1,1,nnClassifier,relu,NA,27,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,0.5388888888888889,63.200971841812134
0,1,0,1,1,nnClassifier,identity,NA,30,NA,nan,invscaling,nan,NA,nan,nan,8,nan,lbfgs,NA,0.6388888888888888,67.52263712882996
1,0,1,1,0,nnClassifier,identity,NA,29,NA,nan,constant,nan,NA,nan,nan,7,nan,adam,NA,0.6259259259259259,73.55665016174316
0,0,1,0,1,nnClassifier,relu,NA,28,NA,nan,adaptive,nan,NA,nan,nan,10,nan,sgd,NA,0.6,86.52449941635132
1,1,1,1,1,nnClassifier,tanh,NA,30,NA,nan,constant,nan,NA,nan,nan,7,nan,adam,NA,0.5592592592592592,102.16583275794983
0,1,0,0,0,nnClassifier,identity,NA,18,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,0.7018518518518518,107.32516884803772
0,1,1,0,0,nnClassifier,identity,NA,23,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,0.6407407407407407,111.64662480354309
0,0,1,0,0,nnClassifier,identity,NA,24,NA,nan,constant,nan,NA,nan,nan,1,nan,lbfgs,NA,0.65,116.25417852401733
1,1,0,0,0,nnClassifier,identity,NA,10,NA,nan,adaptive,nan,NA,nan,nan,1,nan,lbfgs,NA,0.65,120.77771496772766
0,0,1,1,0,nnClassifier,identity,NA,14,NA,nan,adaptive,nan,NA,nan,nan,10,nan,adam,NA,0.6240740740740741,127.89912033081055
0,0,1,0,0,nnClassifier,identity,NA,18,NA,nan,invscaling,nan,NA,nan,nan,1,nan,adam,NA,0.6592592592592592,133.99161791801453
