feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8444444444444444,5.305128574371338
1,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,11,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9055555555555556,9.890989065170288
1,1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,32,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8685185185185185,14.804116010665894
0,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,10,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.8444444444444444,19.49144983291626
0,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,4,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.8611111111111112,24.482463598251343
0,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,16,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.8296296296296296,29.245631456375122
1,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,13,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.8814814814814815,33.78566646575928
0,0,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,11,NA,nan,NA,nan,nan,nan,5,NA,distance,0.7796296296296297,38.094562292099
1,1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,11,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8851851851851852,42.76728129386902
1,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,21,NA,nan,NA,nan,nan,nan,7,NA,distance,0.85,47.044689893722534
0,1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,8,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8462962962962963,51.83348107337952
1,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8759259259259259,56.92767858505249
1,0,0,1,0,kneighborsClassifier,NA,auto,nan,NA,15,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.7907407407407407,62.11373019218445
1,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,11,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.8388888888888889,66.74731183052063
1,0,1,0,1,kneighborsClassifier,NA,brute,nan,NA,11,NA,nan,NA,nan,nan,nan,5,NA,distance,0.85,71.55390667915344
1,1,1,0,0,kneighborsClassifier,NA,auto,nan,NA,15,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8481481481481481,76.36024379730225
1,1,1,0,0,kneighborsClassifier,NA,auto,nan,NA,12,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.8462962962962963,80.95390510559082
1,1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,30,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8685185185185185,85.30523562431335
0,0,1,1,0,kneighborsClassifier,NA,auto,nan,NA,39,NA,nan,NA,nan,nan,nan,4,NA,distance,0.7777777777777778,90.167231798172
0,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,13,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8537037037037037,94.94022107124329
1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9148148148148149,99.79690742492676
0,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,32,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8444444444444444,104.3212742805481
1,1,0,1,1,nnClassifier,logistic,NA,25,NA,nan,constant,nan,NA,nan,nan,1,nan,adam,NA,0.6055555555555555,114.17689657211304
1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,47,log2,10,22,nan,nan,NA,NA,0.8722222222222222,120.07771301269531
1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,8,sqrt,11,28,nan,nan,NA,NA,0.8574074074074074,125.87154173851013
1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,sqrt,17,20,nan,nan,NA,NA,0.837037037037037,130.8408238887787
1,0,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8518518518518519,135.08974647521973
1,1,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.8555555555555555,139.8736321926117
1,1,0,1,1,nnClassifier,tanh,NA,26,NA,nan,adaptive,nan,NA,nan,nan,9,nan,lbfgs,NA,0.6185185185185185,148.24757719039917
0,1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8314814814814815,153.195161819458
1,1,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,10,NA,nan,NA,nan,nan,nan,1,NA,distance,0.825925925925926,157.96135878562927
1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,53,log2,4,30,nan,nan,NA,NA,0.8851851851851852,163.53016185760498
1,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,12,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8685185185185185,168.0036904811859
1,1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,5,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8740740740740741,172.86181354522705
1,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8925925925925926,177.51207304000854
1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,49,log2,9,33,nan,nan,NA,NA,0.8796296296296297,183.3804063796997
1,1,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8648148148148148,187.89107847213745
1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,6,NA,distance,0.9148148148148149,192.59970211982727
1,1,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8870370370370371,197.36967587471008
1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9074074074074074,202.34417390823364
1,1,1,1,1,nnClassifier,relu,NA,26,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,0.6129629629629629,208.96271967887878
1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8611111111111112,213.89216589927673
0,1,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8351851851851851,218.53924894332886
1,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,40,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8907407407407407,222.78846621513367
1,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8907407407407407,227.57994627952576
1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9148148148148149,232.29120659828186
0,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8555555555555555,237.2132384777069
1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.8833333333333333,241.8158302307129
1,0,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,9,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8537037037037037,245.83515644073486
1,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,5,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8888888888888888,250.17555379867554
0,1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8018518518518518,254.5309066772461
1,1,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8740740740740741,259.24794030189514
1,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,24,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9111111111111111,263.71611285209656
1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,10,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9092592592592592,268.27135372161865
