feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,0,0,kneighborsClassifier,NA,auto,nan,NA,6,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.7481481481481481,5.4087841510772705
0,1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.7777777777777778,10.891575574874878
1,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,3,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8759259259259259,16.03114914894104
1,1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,6,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8740740740740741,20.832804441452026
1,0,0,0,1,kneighborsClassifier,NA,brute,nan,NA,7,NA,nan,NA,nan,nan,nan,7,NA,distance,0.7425925925925926,26.12330675125122
1,1,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8740740740740741,30.730144023895264
0,1,0,1,1,nnClassifier,relu,NA,27,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,0.5555555555555556,44.31067490577698
0,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,5,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8722222222222222,49.23970675468445
1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,49,auto,14,15,nan,nan,NA,NA,0.8444444444444444,54.48383951187134
1,0,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8296296296296296,59.65265893936157
1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,32,auto,1,30,nan,nan,NA,NA,0.8481481481481481,65.4254219532013
1,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,5,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8796296296296297,70.56848073005676
0,1,1,1,0,kneighborsClassifier,NA,brute,nan,NA,5,NA,nan,NA,nan,nan,nan,1,NA,distance,0.825925925925926,74.87571024894714
0,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8537037037037037,79.22538900375366
1,1,1,0,0,nnClassifier,tanh,NA,27,NA,nan,invscaling,nan,NA,nan,nan,7,nan,lbfgs,NA,0.5796296296296296,87.32189750671387
1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8777777777777778,92.85548973083496
1,1,0,0,1,nnClassifier,identity,NA,20,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,0.6592592592592592,99.6036729812622
0,0,1,0,0,kneighborsClassifier,NA,auto,nan,NA,5,NA,nan,NA,nan,nan,nan,5,NA,distance,0.7055555555555556,104.30257725715637
1,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,3,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.85,108.83940839767456
1,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8759259259259259,113.33197283744812
