,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,kneighborsClassifier,None,brute,None,None,8,None,None,None,None,None,None,2,None,uniform,0.001953125,ok,0.08544039400294423
1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,kneighborsClassifier,None,kd_tree,None,None,6,None,None,None,None,None,None,8,None,uniform,0.005859375,ok,0.14396438794210553
2,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,25.0,sqrt,12.0,13.0,None,None,None,None,0.16015625,ok,8.13359349197708
3,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,kneighborsClassifier,None,auto,None,None,33,None,None,None,None,None,None,6,None,distance,0.001953125,ok,8.183933249907568
4,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,29.0,sqrt,7.0,39.0,None,None,None,None,0.03515625,ok,10.130171983968467
5,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,nnClassifier,tanh,None,28.0,None,None,adaptive,None,None,None,None,9.0,None,adam,None,0.990234375,ok,20.90114403492771
6,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,81.0,auto,4.0,19.0,None,None,None,None,0.130859375,ok,30.416924546007067
7,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,kneighborsClassifier,None,ball_tree,None,None,29,None,None,None,None,None,None,1,None,distance,0.015625,ok,30.458616549847648
8,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,8,None,None,None,None,None,None,7,None,uniform,0.009765625,ok,30.50057426095009
9,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,94.0,sqrt,4.0,26.0,None,None,None,None,0.080078125,ok,32.98924052785151
10,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,kneighborsClassifier,None,auto,None,None,29,None,None,None,None,None,None,7,None,distance,0.009765625,ok,33.03897296497598
11,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,nnClassifier,identity,None,16.0,None,None,invscaling,None,None,None,None,5.0,None,lbfgs,None,0.98828125,ok,33.41854630084708
12,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,kneighborsClassifier,None,brute,None,None,27,None,None,None,None,None,None,4,None,distance,0.013671875,ok,33.48669457389042
13,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,kneighborsClassifier,None,auto,None,None,15,None,None,None,None,None,None,5,None,distance,0.0,ok,33.5370053560473
14,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,66.0,sqrt,19.0,22.0,None,None,None,None,0.078125,ok,34.75058898003772
15,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,38.0,sqrt,16.0,9.0,None,None,None,None,0.43359375,ok,36.280280876904726
16,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,kneighborsClassifier,None,brute,None,None,20,None,None,None,None,None,None,1,None,distance,0.013671875,ok,36.32765014283359
17,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,kneighborsClassifier,None,brute,None,None,36,None,None,None,None,None,None,9,None,uniform,0.005859375,ok,36.39790920983069
18,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,nnClassifier,tanh,None,18.0,None,None,invscaling,None,None,None,None,4.0,None,sgd,None,0.990234375,ok,49.24634733889252
19,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,91.0,sqrt,6.0,16.0,None,None,None,None,0.05078125,ok,52.401387576945126
20,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,nnClassifier,tanh,None,22.0,None,None,adaptive,None,None,None,None,4.0,None,adam,None,0.990234375,ok,58.796536745969206
21,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,nnClassifier,tanh,None,22.0,None,None,adaptive,None,None,None,None,1.0,None,sgd,None,0.990234375,ok,69.54914025682956
22,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,nnClassifier,relu,None,8.0,None,None,invscaling,None,None,None,None,1.0,None,sgd,None,0.990234375,ok,93.67147486004978
23,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,nnClassifier,relu,None,9.0,None,None,constant,None,None,None,None,1.0,None,adam,None,0.990234375,ok,108.30471383687109
24,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,nnClassifier,logistic,None,25.0,None,None,constant,None,None,None,None,1.0,None,sgd,None,0.990234375,ok,111.83910819003358
25,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,nnClassifier,logistic,None,31.0,None,None,constant,None,None,None,None,1.0,None,sgd,None,0.990234375,ok,115.24843294988386
26,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,nnClassifier,logistic,None,30.0,None,None,constant,None,None,None,None,2.0,None,sgd,None,0.990234375,ok,118.01797668985091
27,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,nnClassifier,logistic,None,32.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,0.990234375,ok,123.86634457088076
28,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,nnClassifier,relu,None,9.0,None,None,invscaling,None,None,None,None,3.0,None,lbfgs,None,0.990234375,ok,124.65728305699304
29,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,nnClassifier,relu,None,10.0,None,None,invscaling,None,None,None,None,7.0,None,lbfgs,None,0.990234375,ok,125.25101551692933
30,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,nnClassifier,relu,None,13.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,0.98828125,ok,127.10476027894765
31,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,nnClassifier,logistic,None,14.0,None,None,adaptive,None,None,None,None,3.0,None,lbfgs,None,0.990234375,ok,128.49346928391606
32,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,nnClassifier,identity,None,13.0,None,None,adaptive,None,None,None,None,7.0,None,lbfgs,None,0.98828125,ok,128.7623002389446
33,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,nnClassifier,tanh,None,21.0,None,None,constant,None,None,None,None,2.0,None,adam,None,0.990234375,ok,133.50097896391526
