,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,13,auto,10,14,None,None,None,None,0.16796875,ok,9.23653755011037
1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,84,log2,8,5,None,None,None,None,0.57421875,ok,11.549393036169931
2,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,kneighborsClassifier,None,kd_tree,None,None,12.0,None,None,None,None,None,None,3.0,None,uniform,0.00390625,ok,11.607595162000507
3,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,kneighborsClassifier,None,ball_tree,None,None,28.0,None,None,None,None,None,None,4.0,None,uniform,0.009765625,ok,11.651118392124772
4,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,kneighborsClassifier,None,ball_tree,None,None,38.0,None,None,None,None,None,None,8.0,None,distance,0.015625,ok,11.700169558171183
5,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,nnClassifier,relu,None,28.0,None,None,constant,None,None,None,None,3.0,None,sgd,None,0.990234375,ok,17.641554297180846
6,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,26,log2,17,23,None,None,None,None,0.02734375,ok,19.93523853016086
7,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,22.0,None,None,None,None,None,None,2.0,None,uniform,0.021484375,ok,20.09488437604159
8,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,nnClassifier,tanh,None,28.0,None,None,adaptive,None,None,None,None,2.0,None,lbfgs,None,0.986328125,ok,21.311705934116617
9,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,kneighborsClassifier,None,ball_tree,None,None,36.0,None,None,None,None,None,None,5.0,None,uniform,0.009765625,ok,21.35785655514337
10,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,55,sqrt,12,23,None,None,None,None,0.357421875,ok,29.836575068999082
11,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,28,auto,6,6,None,None,None,None,0.7109375,ok,32.12457513716072
12,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,kneighborsClassifier,None,auto,None,None,34.0,None,None,None,None,None,None,8.0,None,distance,0.052734375,ok,32.17960003321059
13,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,nnClassifier,logistic,None,27.0,None,None,adaptive,None,None,None,None,6.0,None,adam,None,0.986328125,ok,42.849017882021144
