,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,nnClassifier,logistic,None,15,None,None,constant,None,None,None,None,2,None,sgd,None,0.99609375,ok,5.403116571018472
1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,nnClassifier,identity,None,18,None,None,invscaling,None,None,None,None,7,None,adam,None,0.984375,ok,10.47628904110752
2,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,kneighborsClassifier,None,auto,None,None,33.0,None,None,None,None,None,None,3.0,None,uniform,0.021484375,ok,10.522037175949663
3,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,nnClassifier,tanh,None,14,None,None,adaptive,None,None,None,None,9,None,sgd,None,0.982421875,ok,26.712874368065968
4,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,96.0,log2,20.0,24.0,None,None,None,None,0.037109375,ok,36.865145788993686
5,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,kneighborsClassifier,None,auto,None,None,40.0,None,None,None,None,None,None,4.0,None,distance,0.017578125,ok,36.90984082990326
6,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,kneighborsClassifier,None,ball_tree,None,None,25.0,None,None,None,None,None,None,2.0,None,distance,0.025390625,ok,36.949178690090775
7,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,78.0,sqrt,7.0,8.0,None,None,None,None,0.19140625,ok,45.14630889799446
8,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,nnClassifier,relu,None,28,None,None,constant,None,None,None,None,7,None,adam,None,0.98828125,ok,49.476143701933324
9,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,nnClassifier,tanh,None,31,None,None,adaptive,None,None,None,None,5,None,sgd,None,0.99609375,ok,58.0090306319762
10,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,37.0,None,None,None,None,None,None,8.0,None,distance,0.005859375,ok,58.05778815806843
11,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,96.0,log2,12.0,25.0,None,None,None,None,0.54296875,ok,60.37836647196673
