,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
40,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,nnClassifier,relu,None,26,None,None,invscaling,None,None,None,None,5,None,sgd,None,0.99609375,ok,172.8336409209296
41,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,30.0,None,None,None,None,None,None,7.0,None,uniform,0.01953125,ok,172.90097008110024
42,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,83.0,log2,14.0,18.0,None,None,None,None,0.1875,ok,174.85809960309416
43,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,nnClassifier,logistic,None,25,None,None,adaptive,None,None,None,None,1,None,sgd,None,0.99609375,ok,181.8915387939196
44,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,kneighborsClassifier,None,ball_tree,None,None,2.0,None,None,None,None,None,None,8.0,None,uniform,0.0078125,ok,181.96489611407742
45,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,nnClassifier,relu,None,25,None,None,invscaling,None,None,None,None,5,None,sgd,None,0.99609375,ok,188.8124582490418
46,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,63.0,auto,5.0,32.0,None,None,None,None,0.435546875,ok,196.90449085412547
47,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,kneighborsClassifier,None,brute,None,None,32.0,None,None,None,None,None,None,10.0,None,uniform,0.01171875,ok,197.0062741150614
48,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,nnClassifier,relu,None,24,None,None,invscaling,None,None,None,None,3,None,lbfgs,None,0.98046875,ok,197.389125459129
49,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,nnClassifier,relu,None,20,None,None,invscaling,None,None,None,None,3,None,adam,None,0.986328125,ok,205.0038163550198
50,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,99.0,sqrt,20.0,3.0,None,None,None,None,0.376953125,ok,207.09019536012784
51,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,kneighborsClassifier,None,auto,None,None,8.0,None,None,None,None,None,None,1.0,None,uniform,0.01953125,ok,207.16458999202587
52,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,nnClassifier,relu,None,16,None,None,adaptive,None,None,None,None,8,None,sgd,None,0.98828125,ok,220.99864283809438
53,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,nnClassifier,tanh,None,11,None,None,invscaling,None,None,None,None,6,None,lbfgs,None,0.982421875,ok,221.44245495693758
54,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,kneighborsClassifier,None,ball_tree,None,None,28.0,None,None,None,None,None,None,6.0,None,uniform,0.0078125,ok,221.51505821803585
55,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,19.0,auto,17.0,17.0,None,None,None,None,0.138671875,ok,228.3461959271226
56,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,nnClassifier,identity,None,28,None,None,invscaling,None,None,None,None,5,None,sgd,None,0.99609375,ok,231.4096312969923
57,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,nnClassifier,relu,None,30,None,None,adaptive,None,None,None,None,9,None,adam,None,0.986328125,ok,235.00789372599684
58,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,nnClassifier,relu,None,21,None,None,invscaling,None,None,None,None,2,None,sgd,None,0.99609375,ok,240.61685511097312
59,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,kneighborsClassifier,None,kd_tree,None,None,35.0,None,None,None,None,None,None,3.0,None,uniform,0.0078125,ok,240.6833823940251
